NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	56	2.5256905555725098	0.018719152	No	
row_1	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	484	1.5509735345840454	0.009040015	No	
row_2	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	562	1.4684160947799683	0.017526347	No	
row_3	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	626	1.4160932302474976	0.026317365	No	
row_4	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	817	1.2799702882766724	0.027087418	No	
row_5	RFX5	regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]	822	1.2777810096740723	0.03786991	No	
row_6	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1381	1.0122950077056885	0.016489174	No	
row_7	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1782	0.8908324241638184	0.0025841722	No	
row_8	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	1916	0.8566401600837708	0.002784608	No	
row_9	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	1977	0.8423196077346802	0.006798791	No	
row_10	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	2042	0.8247039914131165	0.010445625	No	
row_11	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	2198	0.789620578289032	0.008882709	No	
row_12	ENY2	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	2227	0.7819656729698181	0.01410322	No	
row_13	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	2241	0.7794701457023621	0.020111226	No	
row_14	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	2387	0.7514423131942749	0.018759014	No	
row_15	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	2808	0.6735333800315857	0.0019050264	No	
row_16	GTF2A1L	general transcription factor IIA subunit 1 like [Source:HGNC Symbol;Acc:HGNC:30727]	2832	0.6682491898536682	0.006416406	No	
row_17	GTF2A1	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	2932	0.652437150478363	0.0066928845	No	
row_18	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3012	0.6416276097297668	0.007954955	No	
row_19	TAF7	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	3050	0.6363391280174255	0.011436633	No	
row_20	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	3076	0.6321963667869568	0.015529833	No	
row_21	POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	3137	0.622077465057373	0.01764833	No	
