NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	561	1.469284176826477	-0.003580984	No	
row_1	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	757	1.3197112083435059	0.0097464295	No	
row_2	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1540	0.9620003700256348	-0.014808587	No	
row_3	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	1603	0.9398750066757202	-0.001199661	No	
row_4	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1642	0.9277200102806091	0.013475738	No	
row_5	FGD2	FYVE, RhoGEF and PH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3664]	1665	0.9220286011695862	0.028905563	No	
row_6	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2123	0.8053075075149536	0.018934775	No	
row_7	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	2689	0.6942377090454102	0.001178961	No	
row_8	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	2905	0.656657874584198	0.0014918862	No	
row_9	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	3062	0.634794294834137	0.004570972	No	
row_10	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	3365	0.588858425617218	-9.969794E-4	No	
row_11	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	3925	0.5104653835296631	-0.021741655	No	
row_12	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3935	0.5089284181594849	-0.013056567	No	
row_13	IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	4124	0.483612060546875	-0.014414553	No	
row_14	FGD5	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]	4253	0.46666866540908813	-0.012864193	No	
row_15	MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	4506	0.4376455843448639	-0.01847793	No	
row_16	PLEKHO1	pleckstrin homology domain containing O1 [Source:HGNC Symbol;Acc:HGNC:24310]	4703	0.41783690452575684	-0.021449167	No	
row_17	NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]	4726	0.41579288244247437	-0.015137958	No	
row_18	PACSIN1	protein kinase C and casein kinase substrate in neurons 1 [Source:HGNC Symbol;Acc:HGNC:8570]	4868	0.39944592118263245	-0.015494721	No	
row_19	MYO6	myosin VI [Source:HGNC Symbol;Acc:HGNC:7605]	4919	0.39381492137908936	-0.011079044	No	
row_20	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	5001	0.3832937479019165	-0.008513209	No	
row_21	HIP1R	huntingtin interacting protein 1 related [Source:HGNC Symbol;Acc:HGNC:18415]	5017	0.3821439743041992	-0.0024331918	No	
row_22	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	5534	0.3237588107585907	-0.0242379	No	
row_23	APPL2	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]	5637	0.31134358048439026	-0.024092812	No	
row_24	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	5700	0.3055053651332855	-0.021910528	No	
row_25	SH3YL1	SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]	5708	0.3051483929157257	-0.016788928	No	
row_26	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	5720	0.3045016825199127	-0.011893213	No	
row_27	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	5745	0.30218827724456787	-0.007735435	No	
row_28	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	6039	0.2741456925868988	-0.018490147	No	
row_29	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	6077	0.27064841985702515	-0.015596751	No	
row_30	MTMR6	myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453]	6092	0.2695644497871399	-0.011491023	No	
row_31	TWF1	twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]	6106	0.2682096064090729	-0.00735614	No	
row_32	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	6322	0.2503487467765808	-0.014361895	No	
row_33	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	6518	0.2323111593723297	-0.020621372	No	
row_34	PDE4A	phosphodiesterase 4A [Source:HGNC Symbol;Acc:HGNC:8780]	6646	0.22156332433223724	-0.023432435	No	
row_35	PDE9A	phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]	6820	0.20819686353206635	-0.028947977	No	
row_36	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 [Source:HGNC Symbol;Acc:HGNC:15568]	6915	0.20018532872200012	-0.030376667	No	
row_37	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	6917	0.2000935673713684	-0.026826022	No	
row_38	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	7075	0.18679441511631012	-0.031870134	No	
