NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SNORD121B	1	SNORD121B	
KRT16P2	1	KRT16P2	
KRT16P1	1	KRT16P1	
SNORD121A	1	SNORD121A	
KRT16P6	1	KRT16P6	
CRHBP	1	CRHBP	
RNU1-134P	1	RNU1-134P	
OR8Q1P	1	OR8Q1P	
BBX	1	BBX	
EXOC3-AS1	1	EXOC3-AS1	
WDR83OS	1	WDR83OS	
GSTK1	1	GSTK1	
DHDH	1	DHDH	
BCR	1	BCR	
ORAI3	1	ORAI3	
ORAI2	1	ORAI2	
VOPP1	1	VOPP1	
ORAI1	1	ORAI1	
CLEC20A	1	LINC00083	
COL13A1	1	COL13A1	
SHMT2	1	SHMT2	
SHMT1	1	SHMT1	
B3GLCT	1	B3GLCT	
FOXP1-IT1	1	FOXP1-IT1	
FAM187B2P	1	FAM187B2P	
PLBD1-AS1	1	PLBD1-AS1	
RDH11	1	RDH11	
RDH10	1	RDH10	
RDH16	1	RDH16	
RDH14	1	RDH14	
RDH13	1	RDH13	
GTF2IRD2B	1	GTF2IRD2B	
SRP72P2	1	SRP72P2	
GSTM4	1	GSTM4	
GSTM3	1	GSTM3	
GSTM2	1	GSTM2	
GSTM1	1	GSTM1	
NEBL	1	NEBL	
TMEM254-AS1	1	TMEM254-AS1	
SPAG5-AS1	1	SPAG5-AS1	
DHFR	1	DHFR	
PKIB	1	PKIB	
GLDCP1	1	GLDCP1	
DCLRE1CP1	1	DCLRE1CP1	
STRC	1	STRC	
STRN	1	STRN	
L1TD1	1	L1TD1	
PKIG	1	PKIG	
GSTM5	1	GSTM5	
GTF2H2C	1	GTF2H2C	
KCNC3	1	KCNC3	
KCNC4	1	KCNC4	
BBC3	1	BBC3	
GLT1D1	1	GLT1D1	
ZNF32-AS2	1	ZNF32-AS2	
MYBPC3	1	MYBPC3	
MYBPC2	1	MYBPC2	
KCND1	1	KCND1	
FLJ20021	1	FLJ20021	
GSTO2	1	GSTO2	
GSTO1	1	GSTO1	
KCND3	1	KCND3	
BGN	1	BGN	
CDK2AP2P2	1	CDK2AP2P2	
CDK2AP2P1	1	CDK2AP2P1	
TMEFF1	1	TMEFF1	
RPL3P4	1	RPL3P4	
RPL3P7	1	RPL3P7	
EIF1B-AS1	1	EIF1B-AS1	
GTF2H2B	1	GTF2H2B	
RPL3P2	1	RPL3P2	
RPS7P11	1	RPS7P11	
RPS7P10	1	RPS7P10	
PKN3	1	PKN3	
GSTP1	1	GSTP1	
SYNPO2	1	SYNPO2	
ANKRD36P1	1	ANKRD36P1	
PTAFR	1	PTAFR	
ADAM22	1	ADAM22	
ADAM21	1	ADAM21	
ADAM20	1	ADAM20	
KCNA6	1	KCNA6	
SDAD1	1	SDAD1	
PAXBP1-AS1	1	PAXBP1-AS1	
ADAM28	1	ADAM28	
BORCS7-ASMT	1	BORCS7-ASMT	
ADAM23	1	ADAM23	
STX6	1	STX6	
STX5	1	STX5	
STX4	1	STX4	
STX3	1	STX3	
BID	1	BID	
STX2	1	STX2	
SPDEF	1	SPDEF	
RPS7P14	1	RPS7P14	
MBD3	1	MBD3	
MBD4	1	MBD4	
ARL5AP4	1	ARL5AP4	
MBD5	1	MBD5	
MBD6	1	MBD6	
BIK	1	BIK	
MBD1	1	MBD1	
MBD2	1	MBD2	
ADAM32	1	ADAM32	
KIAA2013	1	KIAA2013	
PKN2	1	PKN2	
MITD1	1	MITD1	
PKN1	1	PKN1	
RASL11B	1	RASL11B	
FBXO27	1	FBXO27	
FBXO28	1	FBXO28	
RASL11A	1	RASL11A	
PDLIM1P4	1	PDLIM1P4	
FBXO25	1	FBXO25	
GOLIM4	1	GOLIM4	
PDLIM1P1	1	PDLIM1P1	
FBXO24	1	FBXO24	
FBXO21	1	FBXO21	
FBXO22	1	FBXO22	
FADS3	1	FADS3	
FADS2	1	FADS2	
POTEM	1	POTEM	
POFUT2	1	POFUT2	
PTAR1	1	PTAR1	
FNTA	1	FNTA	
MYBPHL	1	MYBPHL	
POTEH	1	POTEH	
POFUT1	1	POFUT1	
POTEI	1	POTEI	
POTEJ	1	POTEJ	
FNTB	1	FNTB	
TNFRSF8	1	TNFRSF8	
NEK1	1	NEK1	
POTEE	1	POTEE	
NEK2	1	NEK2	
POTEF	1	POTEF	
NEK3	1	NEK3	
POTEG	1	POTEG	
FADS1	1	FADS1	
KCNH1	1	KCNH1	
KCNH2	1	KCNH2	
PIAS4	1	PIAS4	
PIAS3	1	PIAS3	
KCNH3	1	KCNH3	
KCNH4	1	KCNH4	
DGAT2	1	DGAT2	
KCNH5	1	KCNH5	
DGAT1	1	DGAT1	
RXYLT1-AS1	1	TMEM5-AS1	
STX8	1	STX8	
FBXO16	1	FBXO16	
STX7	1	STX7	
FBXO17	1	FBXO17	
FBXO15	1	FBXO15	
FBXO10	1	FBXO10	
NEAT1	1	NEAT1	
FBXO11	1	FBXO11	
PIAS2	1	PIAS2	
PIAS1	1	PIAS1	
MINPP1	1	MINPP1	
DMTF1	1	DMTF1	
PKP2	1	PKP2	
PKP1	1	PKP1	
PKP4	1	PKP4	
PKP3	1	PKP3	
MIR210HG	1	MIR210HG	
BLM	1	BLM	
KCNE1	1	KCNE1	
KCNE2	1	KCNE2	
KCNE3	1	KCNE3	
KCNE4	1	KCNE4	
ZC4H2	1	ZC4H2	
KCNE5	1	KCNE5	
IREB2	1	IREB2	
FBXO47	1	FBXO47	
FBXO48	1	FBXO48	
PDGFA-DT	1	HRAT92	
GSTT2	1	GSTT2	
FBXO45	1	FBXO45	
FBXO46	1	FBXO46	
FBXO43	1	FBXO43	
FBXO44	1	FBXO44	
NPAS1	1	NPAS1	
FBXO41	1	FBXO41	
CCDC144A	1	CCDC144A	
NPAS2	1	NPAS2	
FBXO42	1	FBXO42	
GRAMD4P3	1	GRAMD4P3	
MBIP	1	MBIP	
BMF	1	BMF	
NEK8	1	NEK8	
NEK9	1	NEK9	
SDF2L1	1	SDF2L1	
RASL10A	1	RASL10A	
