NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_NUCLEOTIDE_EXCISION_REPAIR_COMPLEX	11		Rejected!	
GOCC_HISTONE_DEACETYLASE_COMPLEX	79	79		
GOCC_RNA_POLYMERASE_I_TRANSCRIPTION_REGULATOR_COMPLEX	6		Rejected!	
GOCC_SAGA_COMPLEX	25	23		
GOCC_TRANSCRIPTION_FACTOR_TFIIIC_COMPLEX	6		Rejected!	
GOCC_GOLGI_CIS_CISTERNA	31	18		
GOCC_GOLGI_TRANS_CISTERNA	10		Rejected!	
GOCC_GOLGI_MEMBRANE	653		Rejected!	
GOCC_EXOCYST	13		Rejected!	
GOCC_UBIQUITIN_LIGASE_COMPLEX	307	286		
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	44	43		
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX	13		Rejected!	
GOCC_PROTEIN_PHOSPHATASE_TYPE_2A_COMPLEX	17	16		
GOCC_PROTEIN_PHOSPHATASE_TYPE_1_COMPLEX	19	17		
GOCC_RIBONUCLEASE_MRP_COMPLEX	10		Rejected!	
GOCC_NUCLEAR_EXOSOME_RNASE_COMPLEX	12		Rejected!	
GOCC_CYTOPLASMIC_EXOSOME_RNASE_COMPLEX	15	15		
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN	10		Rejected!	
GOCC_NUCLEAR_CHROMOSOME	224	205		
GOCC_PERICENTRIOLAR_MATERIAL	22	22		
GOCC_COMMITMENT_COMPLEX	5		Rejected!	
GOCC_MITOCHONDRIAL_PROTON_TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_F_O	11		Rejected!	
GOCC_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX	50	49		
GOCC_ORGANELLAR_RIBOSOME	89	88		
GOCC_TRANSCRIPTION_EXPORT_COMPLEX	10		Rejected!	
GOCC_THO_COMPLEX	6		Rejected!	
GOCC_PHAGOPHORE_ASSEMBLY_SITE	37	36		
GOCC_EKC_KEOPS_COMPLEX	5		Rejected!	
GOCC_AUTOPHAGOSOME_MEMBRANE	52	49		
GOCC_PROTEASOME_COMPLEX	60	56		
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	7		Rejected!	
GOCC_CHROMOSOME_CENTROMERIC_REGION	249	233		
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	170	163		
GOCC_CHROMOSOME_TELOMERIC_REGION	169	152		
GOCC_CHROMATIN	1358		Rejected!	
GOCC_NUCLEOSOME	133	93		
GOCC_EUCHROMATIN	60	51		
GOCC_HETEROCHROMATIN	81	78		
GOCC_CONDENSED_CHROMOSOME	271	250		
GOCC_CONDENSED_NUCLEAR_CHROMOSOME	80	66		
GOCC_CONDENSIN_COMPLEX	8		Rejected!	
GOCC_LATERAL_ELEMENT	12		Rejected!	
GOCC_CENTRAL_ELEMENT	8		Rejected!	
GOCC_SEX_CHROMOSOME	32	26		
GOCC_X_CHROMOSOME	11		Rejected!	
GOCC_ORIGIN_RECOGNITION_COMPLEX	9		Rejected!	
GOCC_SWR1_COMPLEX	13		Rejected!	
GOCC_ESCRT_I_COMPLEX	11		Rejected!	
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	9		Rejected!	
GOCC_HRD1P_UBIQUITIN_LIGASE_ERAD_L_COMPLEX	6		Rejected!	
GOCC_SPINDLE_POLE	171	164		
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOCC_GAMMA_TUBULIN_COMPLEX	16	15		
GOCC_GAMMA_TUBULIN_RING_COMPLEX	7		Rejected!	
GOCC_P_BODY	98	96		
GOCC_INNER_KINETOCHORE	6		Rejected!	
GOCC_OUTER_KINETOCHORE	13		Rejected!	
GOCC_PRP19_COMPLEX	13		Rejected!	
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR	5		Rejected!	
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	8		Rejected!	
GOCC_OUTER_DENSE_FIBER	5		Rejected!	
GOCC_MICROFIBRIL	13		Rejected!	
GOCC_CORNIFIED_ENVELOPE	59	35		
GOCC_FIBRILLAR_CENTER	146	136		
GOCC_GRANULAR_COMPONENT	7		Rejected!	
GOCC_ACROSOMAL_VESICLE	141	99		
GOCC_MALE_GERM_CELL_NUCLEUS	52	41		
GOCC_FEMALE_GERM_CELL_NUCLEUS	16		Rejected!	
GOCC_RUFFLE	182	174		
GOCC_SEX_CHROMATIN	5		Rejected!	
GOCC_BARR_BODY	6		Rejected!	
GOCC_XY_BODY	14		Rejected!	
GOCC_PHOTORECEPTOR_OUTER_SEGMENT	95	62		
GOCC_IMMUNOLOGICAL_SYNAPSE	43	35		
GOCC_PHAGOCYTIC_CUP	28	24		
GOCC_PHOTORECEPTOR_INNER_SEGMENT	71	45		
GOCC_FEMALE_PRONUCLEUS	10		Rejected!	
GOCC_MALE_PRONUCLEUS	8		Rejected!	
GOCC_INNER_ACROSOMAL_MEMBRANE	5		Rejected!	
GOCC_ACROSOMAL_MEMBRANE	32	24		
GOCC_PODOSOME	30	29		
GOCC_SEMAPHORIN_RECEPTOR_COMPLEX	11		Rejected!	
GOCC_STEREOCILIA_COUPLING_LINK	6		Rejected!	
GOCC_MANCHETTE	19	18		
GOCC_PALMITOYLTRANSFERASE_COMPLEX	11		Rejected!	
GOCC_RIBOSE_PHOSPHATE_DIPHOSPHOKINASE_COMPLEX	5		Rejected!	
GOCC_ZONA_PELLUCIDA_RECEPTOR_COMPLEX	8		Rejected!	
GOCC_FIBRINOGEN_COMPLEX	8		Rejected!	
GOCC_MEMBRANE_ATTACK_COMPLEX	7		Rejected!	
GOCC_COLLAGEN_TRIMER	85	45		
GOCC_FIBRILLAR_COLLAGEN_TRIMER	12		Rejected!	
GOCC_COLLAGEN_TYPE_IV_TRIMER	6		Rejected!	
GOCC_COLLAGEN_TYPE_XI_TRIMER	5		Rejected!	
GOCC_FACIT_COLLAGEN_TRIMER	6		Rejected!	
GOCC_BASEMENT_MEMBRANE	84	65		
GOCC_INTERSTITIAL_MATRIX	11		Rejected!	
GOCC_NUCLEAR_ENVELOPE	490	446		
GOCC_NUCLEAR_INNER_MEMBRANE	64	55		
GOCC_LAMIN_FILAMENT	5		Rejected!	
GOCC_NUCLEAR_OUTER_MEMBRANE	30	25		
GOCC_NUCLEAR_ENVELOPE_LUMEN	10		Rejected!	
GOCC_ANNULATE_LAMELLAE	5		Rejected!	
GOCC_NUCLEAR_PORE	97	95		
GOCC_NUCLEAR_LAMINA	12		Rejected!	
GOCC_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX	6		Rejected!	
GOCC_REPLICATION_FORK	66	65		
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_A_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	5		Rejected!	
GOCC_RNA_POLYMERASE_II_CORE_COMPLEX	15	15		
GOCC_RNA_POLYMERASE_III_COMPLEX	18	18		
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	515	437		
GOCC_RNA_POLYMERASE_TRANSCRIPTION_FACTOR_SL1_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	46	33		
GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX	13		Rejected!	
GOCC_CHROMATIN_SILENCING_COMPLEX	13		Rejected!	
GOCC_ANAPHASE_PROMOTING_COMPLEX	21	21		
GOCC_SPLICEOSOMAL_COMPLEX	196	185		
GOCC_U5_SNRNP	25	20		
GOCC_U7_SNRNP	7		Rejected!	
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	92	89		
GOCC_U1_SNRNP	32	24		
GOCC_U2_SNRNP	28	25		
GOCC_U4_SNRNP	13		Rejected!	
GOCC_U6_SNRNP	11		Rejected!	
