NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_RUFFLE_MEMBRANE	GOCC_RUFFLE_MEMBRANE	Details ...	97	-0.36308053	-1.5885017	0.0	1.0	0.606	3393	tags=28%, list=18%, signal=34%	
GOCC_CELL_BODY_MEMBRANE	GOCC_CELL_BODY_MEMBRANE	Details ...	19	-0.53278285	-1.5757424	0.0	1.0	0.711	1254	tags=37%, list=7%, signal=39%	
GOCC_GERM_CELL_NUCLEUS	GOCC_GERM_CELL_NUCLEUS	Details ...	52	-0.37583548	-1.4652181	0.09650924	1.0	0.898	4345	tags=33%, list=23%, signal=42%	
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	Details ...	31	-0.41703898	-1.4514713	0.09791667	1.0	0.898	4801	tags=39%, list=26%, signal=52%	
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	Details ...	71	-0.47619882	-1.4387964	0.0	1.0	0.898	4529	tags=42%, list=24%, signal=55%	
GOCC_I_BAND	GOCC_I_BAND	Details ...	120	-0.44143927	-1.4293072	0.0	1.0	0.898	2626	tags=33%, list=14%, signal=39%	
GOCC_LEADING_EDGE_MEMBRANE	GOCC_LEADING_EDGE_MEMBRANE	Details ...	151	-0.32936922	-1.424103	0.0	1.0	0.898	4075	tags=33%, list=22%, signal=42%	
GOCC_A_BAND	GOCC_A_BAND	Details ...	27	-0.5874015	-1.423005	0.0	1.0	0.898	2221	tags=41%, list=12%, signal=46%	
GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	Details ...	226	-0.3669942	-1.4165554	0.0	1.0	0.898	3570	tags=30%, list=19%, signal=37%	
GOCC_RUFFLE	GOCC_RUFFLE	Details ...	174	-0.3320774	-1.4158704	0.0	1.0	0.898	4328	tags=33%, list=23%, signal=42%	
