NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_POLE_PLASM	GOCC_POLE_PLASM	Details ...	16	0.5080231	1.5041854	0.0	1.0	0.848	638	tags=19%, list=3%, signal=19%	
GOCC_CELL_CORTEX_REGION	GOCC_CELL_CORTEX_REGION	Details ...	31	0.5279485	1.4942122	0.0	1.0	0.899	2931	tags=32%, list=16%, signal=38%	
GOCC_CLATHRIN_ADAPTOR_COMPLEX	GOCC_CLATHRIN_ADAPTOR_COMPLEX	Details ...	23	0.40778735	1.4828973	0.0	1.0	0.899	333	tags=9%, list=2%, signal=9%	
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	Details ...	35	0.40590358	1.4708565	0.0	1.0	0.899	5094	tags=34%, list=27%, signal=47%	
GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE	Details ...	74	0.33130765	1.454908	0.0	1.0	0.899	2746	tags=20%, list=15%, signal=24%	
GOCC_MICROTUBULE_PLUS_END	GOCC_MICROTUBULE_PLUS_END	Details ...	24	0.48382896	1.4307948	0.18235295	1.0	0.899	814	tags=13%, list=4%, signal=13%	
GOCC_CENTRIOLE	GOCC_CENTRIOLE	Details ...	146	0.29699677	1.3948492	0.0	1.0	0.953	3698	tags=25%, list=20%, signal=30%	
GOCC_MICROBODY_MEMBRANE	GOCC_MICROBODY_MEMBRANE	Details ...	59	0.32217416	1.3744869	0.0	1.0	0.953	4918	tags=29%, list=26%, signal=39%	
GOCC_PRC1_COMPLEX	GOCC_PRC1_COMPLEX	Details ...	15	0.4558315	1.3561594	0.0	1.0	0.953	1776	tags=27%, list=9%, signal=29%	
GOCC_SPERM_PRINCIPAL_PIECE	GOCC_SPERM_PRINCIPAL_PIECE	Details ...	26	0.50613064	1.3473164	0.10714286	1.0	1.0	2438	tags=35%, list=13%, signal=40%	
GOCC_DYNEIN_COMPLEX	GOCC_DYNEIN_COMPLEX	Details ...	48	0.46367696	1.3462284	0.0	1.0	1.0	3742	tags=33%, list=20%, signal=42%	
GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	GOCC_MICROTUBULE_ASSOCIATED_COMPLEX	Details ...	140	0.32960528	1.3400159	0.0	1.0	1.0	4027	tags=23%, list=21%, signal=29%	
GOCC_SITE_OF_POLARIZED_GROWTH	GOCC_SITE_OF_POLARIZED_GROWTH	Details ...	143	0.30875307	1.3343695	0.197556	1.0	1.0	3062	tags=23%, list=16%, signal=27%	
GOCC_MICROTUBULE_END	GOCC_MICROTUBULE_END	Details ...	33	0.38661164	1.3324634	0.1875	1.0	1.0	814	tags=9%, list=4%, signal=9%	
GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	GOCC_CYTOPLASMIC_DYNEIN_COMPLEX	Details ...	21	0.47455746	1.329132	0.0	1.0	1.0	3742	tags=38%, list=20%, signal=48%	
GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX	Details ...	58	0.25996026	1.3264567	0.10625	1.0	1.0	4308	tags=26%, list=23%, signal=33%	
