NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	33	2.7317187786102295	0.03764688	Yes	
row_1	CATSPERG	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	80	2.3902926445007324	0.06967003	Yes	
row_2	AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	109	2.2272651195526123	0.10030617	Yes	
row_3	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	256	1.8300045728683472	0.118881695	Yes	
row_4	SPATA6L	spermatogenesis associated 6 like [Source:HGNC Symbol;Acc:HGNC:25472]	274	1.8085538148880005	0.14406607	Yes	
row_5	FLACC1	flagellum associated containing coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:14439]	428	1.6123460531234741	0.15912552	Yes	
row_6	QRICH2	glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]	616	1.4248929023742676	0.16965672	Yes	
row_7	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	799	1.2915056943893433	0.1785314	Yes	
row_8	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	812	1.282322645187378	0.19639081	Yes	
row_9	FSIP2	fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]	847	1.2609045505523682	0.21276128	Yes	
row_10	CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	930	1.2035282850265503	0.22572958	Yes	
row_11	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]	942	1.1972322463989258	0.24241483	Yes	
row_12	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	959	1.1857202053070068	0.2586658	Yes	
row_13	CATSPERE	catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]	1098	1.1204701662063599	0.2674323	Yes	
row_14	SLC9B2	solute carrier family 9 member B2 [Source:HGNC Symbol;Acc:HGNC:25143]	1358	1.0221213102340698	0.2682904	Yes	
row_15	TCTE1	t-complex-associated-testis-expressed 1 [Source:HGNC Symbol;Acc:HGNC:11693]	1379	1.0131593942642212	0.28183693	Yes	
row_16	CD52	CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]	1663	0.9228084683418274	0.27997485	Yes	
row_17	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	2127	0.805180013179779	0.26676196	Yes	
row_18	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	2131	0.8045633435249329	0.2782103	Yes	
row_19	CATSPER4	cation channel sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220]	2150	0.7998067736625671	0.28878558	Yes	
row_20	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	2385	0.7520066499710083	0.28708687	Yes	
row_21	SLC9B1	solute carrier family 9 member B1 [Source:HGNC Symbol;Acc:HGNC:24244]	2440	0.7408117651939392	0.29488018	Yes	
row_22	DNAH2	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	2763	0.6818746328353882	0.28745002	Yes	
row_23	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	2802	0.6754042506217957	0.29515764	Yes	
row_24	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	2827	0.670475959777832	0.30354497	Yes	
row_25	SPATA33	spermatogenesis associated 33 [Source:HGNC Symbol;Acc:HGNC:26463]	2894	0.6592962741851807	0.3095185	Yes	
row_26	TSSK4	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	3078	0.6322265267372131	0.30882663	Yes	
row_27	IQCG	IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]	3312	0.5970978140830994	0.30494633	Yes	
row_28	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]	3418	0.5819193720817566	0.30771175	Yes	
row_29	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	3419	0.5818331837654114	0.31610718	Yes	
row_30	CFAP52	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]	3626	0.5484813451766968	0.31297344	Yes	
row_31	LYZL4	lysozyme like 4 [Source:HGNC Symbol;Acc:HGNC:28387]	3996	0.5016942024230957	0.30042273	Yes	
row_32	SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	4095	0.48723867535591125	0.30219743	Yes	
row_33	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]	4136	0.4825671911239624	0.30701527	Yes	
row_34	SPACA9	sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367]	4247	0.4673096835613251	0.30785882	Yes	
row_35	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	4305	0.46061089634895325	0.31144813	Yes	
row_36	ODAD4	outer dynein arm docking complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:25280]	4316	0.4597910940647125	0.31754628	Yes	
