NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYBPHL	myosin binding protein H like [Source:HGNC Symbol;Acc:HGNC:30434]	72	2.430389165878296	0.0134027805	No	
row_1	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	118	2.206564426422119	0.026667835	No	
row_2	TMOD2	tropomodulin 2 [Source:HGNC Symbol;Acc:HGNC:11872]	175	2.035370111465454	0.03812358	No	
row_3	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	243	1.8617157936096191	0.047752533	No	
row_4	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	246	1.8543998003005981	0.060828798	No	
row_5	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	331	1.7212821245193481	0.06854412	No	
row_6	ADPRHL1	ADP-ribosylhydrolase like 1 [Source:HGNC Symbol;Acc:HGNC:21303]	334	1.7204798460006714	0.08066828	No	
row_7	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	481	1.5538280010223389	0.08385526	No	
row_8	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	572	1.4616742134094238	0.08940187	No	
row_9	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	954	1.187528133392334	0.07733321	No	
row_10	TNNI1	troponin I1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11945]	967	1.1814879179000854	0.08508702	No	
row_11	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1111	1.1171634197235107	0.08533102	No	
row_12	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1129	1.1079301834106445	0.092292696	No	
row_13	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1158	1.0965982675552368	0.098581605	No	
row_14	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1200	1.0828245878219604	0.10407273	No	
row_15	NPNT	nephronectin [Source:HGNC Symbol;Acc:HGNC:27405]	1461	0.984978437423706	0.09707817	No	
row_16	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	1534	0.9648905396461487	0.10006192	No	
row_17	MYLK2	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	1970	0.8443645238876343	0.08264639	No	
row_18	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	1980	0.8420298099517822	0.08814832	No	
row_19	HABP4	hyaluronan binding protein 4 [Source:HGNC Symbol;Acc:HGNC:17062]	2034	0.8271254301071167	0.091175504	No	
row_20	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	2082	0.8137000203132629	0.09443026	No	
