NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NSG2	neuronal vesicle trafficking associated 2 [Source:HGNC Symbol;Acc:HGNC:24955]	62	2.4632678031921387	0.052275818	Yes	
row_1	SMPD1	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	73	2.426152229309082	0.106494315	Yes	
row_2	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	190	1.9979485273361206	0.14538161	Yes	
row_3	ASAH1	N-acylsphingosine amidohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:735]	521	1.5068689584732056	0.16174427	Yes	
row_4	CSPG5	chondroitin sulfate proteoglycan 5 [Source:HGNC Symbol;Acc:HGNC:2467]	632	1.4122951030731201	0.1877354	Yes	
row_5	HYAL1	hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	722	1.3384289741516113	0.21318233	Yes	
row_6	ACP2	acid phosphatase 2, lysosomal [Source:HGNC Symbol;Acc:HGNC:123]	848	1.2578980922698975	0.23488703	Yes	
row_7	SDC3	syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]	955	1.1871740818023682	0.25601155	Yes	
row_8	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	1219	1.0752547979354858	0.26621586	Yes	
row_9	HEXB	hexosaminidase subunit beta [Source:HGNC Symbol;Acc:HGNC:4879]	1277	1.052607536315918	0.28692338	Yes	
row_10	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	1338	1.03128182888031	0.3069892	Yes	
row_11	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	1472	0.9794861674308777	0.32198298	Yes	
row_12	MANBA	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	1609	0.9390676021575928	0.3359042	Yes	
row_13	CTSL	cathepsin L [Source:HGNC Symbol;Acc:HGNC:2537]	1932	0.8530279397964478	0.3379388	Yes	
row_14	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:26527]	1990	0.8392193913459778	0.35383058	Yes	
row_15	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	2239	0.7799573540687561	0.35817266	Yes	
row_16	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	2421	0.7441307306289673	0.36528856	Yes	
row_17	LIPA	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	2614	0.7047623991966248	0.37092784	Yes	
row_18	MAN2B2	mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]	2816	0.6727671027183533	0.37536383	Yes	
row_19	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	2950	0.6509645581245422	0.38294357	Yes	
row_20	NCAN	neurocan [Source:HGNC Symbol;Acc:HGNC:2465]	3156	0.6201246380805969	0.3859777	Yes	
row_21	ARSA	arylsulfatase A [Source:HGNC Symbol;Acc:HGNC:713]	3709	0.5390247106552124	0.36862835	No	
row_22	RNASET2	ribonuclease T2 [Source:HGNC Symbol;Acc:HGNC:21686]	3927	0.510513186454773	0.36854714	No	
row_23	GLB1	galactosidase beta 1 [Source:HGNC Symbol;Acc:HGNC:4298]	3946	0.5083783268928528	0.37905777	No	
row_24	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	4109	0.4853149950504303	0.3813486	No	
row_25	ARSB	arylsulfatase B [Source:HGNC Symbol;Acc:HGNC:714]	4374	0.45272088050842285	0.3774502	No	
row_26	ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	4582	0.43053165078163147	0.37609863	No	
row_27	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	4621	0.4267667531967163	0.3836981	No	
row_28	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	4863	0.40101945400238037	0.37986264	No	
row_29	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	4949	0.38960370421409607	0.38411045	No	
row_30	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	5095	0.372780978679657	0.38477057	No	
row_31	SGSH	N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]	5644	0.3109889626502991	0.36248884	No	
row_32	CTSF	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	5802	0.296710729598999	0.3607906	No	
row_33	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	6315	0.25099650025367737	0.33907977	No	
row_34	GYG1	glycogenin 1 [Source:HGNC Symbol;Acc:HGNC:4699]	6384	0.24453453719615936	0.34096262	No	
