NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	33	2.7317187786102295	0.023563389	Yes	
row_1	CATSPERG	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]	80	2.3902926445007324	0.043259826	Yes	
row_2	AKAP3	A-kinase anchoring protein 3 [Source:HGNC Symbol;Acc:HGNC:373]	109	2.2272651195526123	0.06241298	Yes	
row_3	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	256	1.8300045728683472	0.0715288	Yes	
row_4	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	272	1.8116581439971924	0.08752655	Yes	
row_5	SPATA6L	spermatogenesis associated 6 like [Source:HGNC Symbol;Acc:HGNC:25472]	274	1.8085538148880005	0.104249164	Yes	
row_6	FLACC1	flagellum associated containing coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:14439]	428	1.6123460531234741	0.11096912	Yes	
row_7	DNAI4	dynein axonemal intermediate chain 4 [Source:HGNC Symbol;Acc:HGNC:26252]	535	1.4922232627868652	0.11910494	Yes	
row_8	QRICH2	glutamine rich 2 [Source:HGNC Symbol;Acc:HGNC:25326]	616	1.4248929023742676	0.12801585	Yes	
row_9	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	799	1.2915056943893433	0.13019848	Yes	
row_10	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]	812	1.282322645187378	0.14144751	Yes	
row_11	FSIP2	fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]	847	1.2609045505523682	0.15131356	Yes	
row_12	CFAP251	cilia and flagella associated protein 251 [Source:HGNC Symbol;Acc:HGNC:28506]	930	1.2035282850265503	0.1580634	Yes	
row_13	SPA17	sperm autoantigenic protein 17 [Source:HGNC Symbol;Acc:HGNC:11210]	942	1.1972322463989258	0.16857696	Yes	
row_14	CFAP70	cilia and flagella associated protein 70 [Source:HGNC Symbol;Acc:HGNC:30726]	959	1.1857202053070068	0.17871456	Yes	
row_15	DRC7	dynein regulatory complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:25289]	974	1.1790567636489868	0.18889803	Yes	
row_16	CATSPERE	catsper channel auxiliary subunit epsilon [Source:HGNC Symbol;Acc:HGNC:28491]	1098	1.1204701662063599	0.19267024	Yes	
row_17	TSGA10	testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]	1342	1.0298620462417603	0.18914202	Yes	
row_18	SLC9B2	solute carrier family 9 member B2 [Source:HGNC Symbol;Acc:HGNC:25143]	1358	1.0221213102340698	0.1978159	Yes	
row_19	TCTE1	t-complex-associated-testis-expressed 1 [Source:HGNC Symbol;Acc:HGNC:11693]	1379	1.0131593942642212	0.20613746	Yes	
row_20	IFT46	intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146]	1406	1.0048797130584717	0.21405925	Yes	
row_21	TEKT2	tektin 2 [Source:HGNC Symbol;Acc:HGNC:11725]	1459	0.9855027198791504	0.22040161	Yes	
row_22	CD52	CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]	1663	0.9228084683418274	0.21803366	Yes	
row_23	ROPN1L	rhophilin associated tail protein 1 like [Source:HGNC Symbol;Acc:HGNC:24060]	1726	0.9052613973617554	0.22309338	Yes	
row_24	CFAP206	cilia and flagella associated protein 206 [Source:HGNC Symbol;Acc:HGNC:21405]	1736	0.9017905592918396	0.23097403	Yes	
row_25	ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	1758	0.8973882794380188	0.23816787	Yes	
row_26	CFAP43	cilia and flagella associated protein 43 [Source:HGNC Symbol;Acc:HGNC:26684]	2127	0.805180013179779	0.22582634	Yes	
row_27	AK1	adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]	2131	0.8045633435249329	0.2331281	Yes	
row_28	C7orf31	chromosome 7 open reading frame 31 [Source:HGNC Symbol;Acc:HGNC:21722]	2144	0.8020475506782532	0.23992203	Yes	
row_29	CATSPER4	cation channel sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220]	2150	0.7998067736625671	0.24707201	Yes	
row_30	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	2385	0.7520066499710083	0.24145085	Yes	
row_31	SLC9B1	solute carrier family 9 member B1 [Source:HGNC Symbol;Acc:HGNC:24244]	2440	0.7408117651939392	0.24541576	Yes	
row_32	ROPN1B	rhophilin associated tail protein 1B [Source:HGNC Symbol;Acc:HGNC:31927]	2451	0.7398055195808411	0.25174	Yes	
row_33	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:24595]	2458	0.7382023930549622	0.2582647	Yes	
row_34	CATSPER2	cation channel sperm associated 2 [Source:HGNC Symbol;Acc:HGNC:18810]	2612	0.7051265239715576	0.25656912	Yes	
row_35	NPHP1	nephrocystin 1 [Source:HGNC Symbol;Acc:HGNC:7905]	2701	0.6929934024810791	0.25826016	Yes	
row_36	DNAH2	dynein axonemal heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:2948]	2763	0.6818746328353882	0.26130152	Yes	
row_37	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	2802	0.6754042506217957	0.26552102	Yes	
row_38	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	2827	0.670475959777832	0.27044848	Yes	
row_39	SPATA33	spermatogenesis associated 33 [Source:HGNC Symbol;Acc:HGNC:26463]	2894	0.6592962741851807	0.27301127	Yes	
row_40	CFAP44	cilia and flagella associated protein 44 [Source:HGNC Symbol;Acc:HGNC:25631]	2898	0.6580437421798706	0.27895388	Yes	
row_41	TTLL9	tubulin tyrosine ligase like 9 [Source:HGNC Symbol;Acc:HGNC:16118]	2997	0.6445792317390442	0.27965748	Yes	
row_42	TSSK4	testis specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	3078	0.6322265267372131	0.2812155	Yes	
row_43	CFAP36	cilia and flagella associated protein 36 [Source:HGNC Symbol;Acc:HGNC:30540]	3228	0.6091921329498291	0.27884534	Yes	
row_44	RSPH3	radial spoke head 3 [Source:HGNC Symbol;Acc:HGNC:21054]	3250	0.6057321429252625	0.28333372	Yes	
row_45	IQCG	IQ motif containing G [Source:HGNC Symbol;Acc:HGNC:25251]	3312	0.5970978140830994	0.2855887	Yes	
row_46	VPS13A	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]	3418	0.5819193720817566	0.28533423	Yes	
row_47	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	3419	0.5818331837654114	0.2907314	Yes	
row_48	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	3491	0.568782389163971	0.2921854	Yes	
row_49	CFAP52	cilia and flagella associated protein 52 [Source:HGNC Symbol;Acc:HGNC:16053]	3626	0.5484813451766968	0.2900596	Yes	
row_50	SPAG17	sperm associated antigen 17 [Source:HGNC Symbol;Acc:HGNC:26620]	3647	0.5456912517547607	0.29404485	Yes	
row_51	LYZL4	lysozyme like 4 [Source:HGNC Symbol;Acc:HGNC:28387]	3996	0.5016942024230957	0.2799648	Yes	
row_52	TTLL1	TTL family tubulin polyglutamylase complex subunit L1 [Source:HGNC Symbol;Acc:HGNC:1312]	4067	0.49171382188796997	0.28075773	Yes	
row_53	TEPP	testis, prostate and placenta expressed [Source:HGNC Symbol;Acc:HGNC:33745]	4073	0.4907030165195465	0.28504038	Yes	
row_54	SPEF2	sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]	4095	0.48723867535591125	0.28842962	Yes	
row_55	AK8	adenylate kinase 8 [Source:HGNC Symbol;Acc:HGNC:26526]	4136	0.4825671911239624	0.29075265	Yes	
