NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBLL1	fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]	1818	0.8835805654525757	-0.071052864	No	
row_1	RRP36	ribosomal RNA processing 36 [Source:HGNC Symbol;Acc:HGNC:21374]	4449	0.44442155957221985	-0.19869073	No	
row_2	UTP23	UTP23 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:28224]	4965	0.3885027766227722	-0.21469963	No	
row_3	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	5452	0.3329174518585205	-0.23081167	No	
row_4	NIP7	nucleolar pre-rRNA processing protein NIP7 [Source:HGNC Symbol;Acc:HGNC:24328]	5999	0.27880698442459106	-0.25175038	No	
row_5	RPS12	ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10385]	6161	0.2644588053226471	-0.2524932	No	
row_6	UTP14C	UTP14C small subunit processome component [Source:HGNC Symbol;Acc:HGNC:20321]	6504	0.2337014079093933	-0.2638484	No	
row_7	NSA2	NSA2 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:30728]	7305	0.16782230138778687	-0.30170095	No	
row_8	C1orf131	chromosome 1 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:25332]	7321	0.1666710525751114	-0.2975372	No	
row_9	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	7597	0.1447596698999405	-0.30795407	No	
row_10	KRI1	KRI1 homolog [Source:HGNC Symbol;Acc:HGNC:25769]	7600	0.14442528784275055	-0.30375698	No	
row_11	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]	7623	0.14282584190368652	-0.30067888	No	
row_12	WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]	7639	0.1416950523853302	-0.2972595	No	
row_13	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	7739	0.1323118805885315	-0.29861945	No	
row_14	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	7936	0.11841703206300735	-0.30558956	No	
row_15	MAK16	MAK16 homolog [Source:HGNC Symbol;Acc:HGNC:13703]	8135	0.10239555686712265	-0.3131443	No	
row_16	IMP3	IMP U3 small nucleolar ribonucleoprotein 3 [Source:HGNC Symbol;Acc:HGNC:14497]	8146	0.1015550047159195	-0.31065336	No	
row_17	RPS23	ribosomal protein S23 [Source:HGNC Symbol;Acc:HGNC:10410]	8335	0.08662071079015732	-0.31814253	No	
row_18	PDCD11	programmed cell death 11 [Source:HGNC Symbol;Acc:HGNC:13408]	8388	0.08253773301839828	-0.3184682	No	
row_19	KRR1	KRR1 small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]	8424	0.079799123108387	-0.31796485	No	
row_20	RPF1	ribosome production factor 1 homolog [Source:HGNC Symbol;Acc:HGNC:30350]	8656	0.06268693506717682	-0.32847074	No	
row_21	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	9207	0.018403228372335434	-0.35738444	No	
row_22	EBNA1BP2	EBNA1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15531]	9266	0.013417559675872326	-0.36009148	No	
row_23	UTP6	UTP6 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:18279]	9354	0.007618874777108431	-0.3645248	No	
row_24	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	9471	-0.0010359493317082524	-0.37070778	No	
row_25	WDR3	WD repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:12755]	9537	-0.005127598997205496	-0.37403685	No	
row_26	FCF1	FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]	9652	-0.012072752229869366	-0.37978375	No	
row_27	UTP3	UTP3 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24477]	9724	-0.018729254603385925	-0.38302886	No	
row_28	RRS1	ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]	9793	-0.02513052150607109	-0.38592252	No	
row_29	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	9891	-0.03169995918869972	-0.39017382	No	
row_30	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	9944	-0.035311464220285416	-0.39190698	No	
row_31	WDR36	WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]	9998	-0.03908860310912132	-0.39358112	No	
row_32	RPS7	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	10034	-0.041044823825359344	-0.39423275	No	
row_33	SNU13	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	10113	-0.046201881021261215	-0.39703408	No	
row_34	UTP15	UTP15 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:25758]	10131	-0.047830961644649506	-0.39651924	No	
row_35	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136]	10148	-0.04916582256555557	-0.39591104	No	
row_36	EIF6	eukaryotic translation initiation factor 6 [Source:HGNC Symbol;Acc:HGNC:6159]	10717	-0.09331434220075607	-0.42355642	No	
row_37	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]	10825	-0.10183747857809067	-0.42625314	No	
row_38	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	10920	-0.10903020203113556	-0.4280391	No	
row_39	NOP58	NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]	10986	-0.11396689713001251	-0.4281245	No	
row_40	UTP14A	UTP14A small subunit processome component [Source:HGNC Symbol;Acc:HGNC:10665]	11057	-0.12018192559480667	-0.42829248	No	
row_41	ZNF622	zinc finger protein 622 [Source:HGNC Symbol;Acc:HGNC:30958]	11141	-0.12611263990402222	-0.42898008	Yes	
