NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOP9	NOP9 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:19826]	7739	0.1323118805885315	-0.39578968	No	
row_1	RIOK2	RIO kinase 2 [Source:HGNC Symbol;Acc:HGNC:18999]	7936	0.11841703206300735	-0.39127725	No	
row_2	FTSJ3	FtsJ RNA 2'-O-methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17136]	10148	-0.04916582256555557	-0.502917	No	
row_3	LTV1	LTV1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:21173]	11277	-0.13540209829807281	-0.54593635	No	
row_4	NOC4L	nucleolar complex associated 4 homolog [Source:HGNC Symbol;Acc:HGNC:28461]	12155	-0.20205532014369965	-0.5671566	No	
row_5	SLX9	SLX9 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15811]	15045	-0.4785352051258087	-0.6606929	Yes	
row_6	UTP20	UTP20 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:17897]	16001	-0.6048247814178467	-0.6351888	Yes	
row_7	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	16129	-0.6245954632759094	-0.56305295	Yes	
row_8	RRP1B	ribosomal RNA processing 1B [Source:HGNC Symbol;Acc:HGNC:23818]	16169	-0.6351464986801147	-0.48489365	Yes	
row_9	NOP14	NOP14 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:16821]	16228	-0.6439850926399231	-0.40663052	Yes	
row_10	NOB1	NIN1 (RPN12) binding protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:29540]	16368	-0.6695877909660339	-0.32945043	Yes	
row_11	RRP1	ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:HGNC:18785]	16757	-0.7469644546508789	-0.25576755	Yes	
row_12	BYSL	bystin like [Source:HGNC Symbol;Acc:HGNC:1157]	17164	-0.8451091051101685	-0.17064552	Yes	
row_13	TSR1	TSR1 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:25542]	17613	-1.0097044706344604	-0.06696881	Yes	
row_14	RIOK1	RIO kinase 1 [Source:HGNC Symbol;Acc:HGNC:18656]	17633	-1.0199671983718872	0.06087096	Yes	
