NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	56	2.5256905555725098	0.018720457	No	
row_1	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	484	1.5509735345840454	0.009051251	No	
row_2	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	562	1.4684160947799683	0.017539375	No	
row_3	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	626	1.4160932302474976	0.026331859	No	
row_4	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	817	1.2799702882766724	0.027106332	No	
row_5	RFX5	regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]	822	1.2777810096740723	0.037888918	No	
row_6	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1382	1.0122950077056885	0.01646725	No	
row_7	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1784	0.8908324241638184	0.0025176445	No	
row_8	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	1918	0.8566401600837708	0.0027211742	No	
row_9	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	1979	0.8423196077346802	0.0067367526	No	
row_10	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	2044	0.8247039914131165	0.010385076	No	
row_11	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	2200	0.789620578289032	0.008825765	No	
row_12	ENY2	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	2229	0.7819656729698181	0.014046928	No	
row_13	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	2243	0.7794701457023621	0.020055236	No	
row_14	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	2389	0.7514423131942749	0.018706398	No	
row_15	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	2811	0.6735333800315857	0.0018082705	No	
row_16	GTF2A1L	general transcription factor IIA subunit 1 like [Source:HGNC Symbol;Acc:HGNC:30727]	2835	0.6682491898536682	0.0063201855	No	
row_17	GTF2A1	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	2935	0.652437150478363	0.006598967	No	
row_18	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	3015	0.6416276097297668	0.007862875	No	
row_19	TAF7	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	3053	0.6363391280174255	0.011345414	No	
row_20	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	3079	0.6321963667869568	0.0154391965	No	
row_21	POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	3140	0.622077465057373	0.017559089	No	
row_22	MED21	mediator complex subunit 21 [Source:HGNC Symbol;Acc:HGNC:11473]	3173	0.6160311102867126	0.021136373	No	
row_23	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	3230	0.6091176867485046	0.023360351	No	
row_24	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	3301	0.5982174277305603	0.024735792	No	
row_25	NFE2	nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]	3314	0.5969624519348145	0.029227113	No	
row_26	DBP	D-box binding PAR bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:2697]	3317	0.596680760383606	0.034255095	No	
row_27	BATF	basic leucine zipper ATF-like transcription factor [Source:HGNC Symbol;Acc:HGNC:958]	3584	0.5539905428886414	0.024683824	No	
row_28	RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	3631	0.5478569865226746	0.026919598	No	
row_29	GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	4076	0.490005761384964	0.007201903	No	
row_30	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	4377	0.45211368799209595	-0.005079135	No	
row_31	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]	4480	0.4411168098449707	-0.0067809713	No	
