NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	118	2.206564426422119	0.021504475	No	
row_1	POPDC2	popeye domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17648]	253	1.8321006298065186	0.03742863	No	
row_2	STAC3	SH3 and cysteine rich domain 3 [Source:HGNC Symbol;Acc:HGNC:28423]	273	1.8110275268554688	0.059250914	No	
row_3	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	479	1.5551786422729492	0.06787699	No	
row_4	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	820	1.2791979312896729	0.0657865	No	
row_5	DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	1017	1.1555571556091309	0.069854945	No	
row_6	FKRP	fukutin related protein [Source:HGNC Symbol;Acc:HGNC:17997]	1055	1.1381173133850098	0.0822257	No	
row_7	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	1117	1.1134190559387207	0.09299859	No	
row_8	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1158	1.0965982675552368	0.10468491	No	
row_9	AKAP6	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	1658	0.9236025810241699	0.08958739	No	
row_10	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	1915	0.8571850061416626	0.08667681	No	
row_11	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	1980	0.8420298099517822	0.09386614	No	
row_12	CAVIN4	caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]	2123	0.805723249912262	0.09641683	No	
row_13	SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	2468	0.7361533641815186	0.08726308	No	
row_14	FLOT1	flotillin 1 [Source:HGNC Symbol;Acc:HGNC:3757]	2594	0.7089537978172302	0.089504495	No	
row_15	POPDC3	popeye domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17649]	2745	0.6841678619384766	0.090093344	No	
row_16	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	3065	0.634794294834137	0.08100122	No	
row_17	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]	3217	0.610744297504425	0.08061045	No	
row_18	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	3235	0.6082221269607544	0.08737016	No	
row_19	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	3667	0.543674647808075	0.07112573	No	
row_20	CLCN1	chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]	4269	0.464822381734848	0.044774957	No	
row_21	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	4356	0.45489904284477234	0.045902614	No	
row_22	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	4591	0.42967861890792847	0.03877951	No	
