NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPNL	espin like [Source:HGNC Symbol;Acc:HGNC:27937]	200	1.9760905504226685	0.19629903	Yes	
row_1	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	1066	1.1333400011062622	0.2688873	Yes	
row_2	MORN4	MORN repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:24001]	2309	0.767733633518219	0.28308892	Yes	
row_3	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	2399	0.7487529516220093	0.3567632	Yes	
row_4	ESPN	espin [Source:HGNC Symbol;Acc:HGNC:13281]	3328	0.5950842499732971	0.36962065	Yes	
row_5	LHFPL5	LHFPL tetraspan subfamily member 5 [Source:HGNC Symbol;Acc:HGNC:21253]	3369	0.5887513756752014	0.4291496	Yes	
row_6	STRC	stereocilin [Source:HGNC Symbol;Acc:HGNC:16035]	3899	0.5148686170578003	0.45487455	Yes	
row_7	USH1C	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	4091	0.48803722858428955	0.49580646	Yes	
row_8	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	5705	0.3054776191711426	0.44181895	No	
row_9	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	5724	0.3045016825199127	0.47275054	No	
row_10	CDH23	cadherin related 23 [Source:HGNC Symbol;Acc:HGNC:13733]	8548	0.0699416995048523	0.32959595	No	
row_11	STRCP1	stereocilin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33915]	8867	0.046108879148960114	0.31747407	No	
row_12	WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	10172	-0.05109003186225891	0.25331524	No	
row_13	EPS8L2	EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]	14178	-0.3860737383365631	0.08026339	No	
row_14	TMC1	transmembrane channel like 1 [Source:HGNC Symbol;Acc:HGNC:16513]	14426	-0.40997692942619324	0.1100348	No	
row_15	PDZD7	PDZ domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26257]	17925	-1.1623467206954956	0.04530921	No	
