NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_90S_PRERIBOSOME	29	28		
GOCC_9PLUS0_MOTILE_CILIUM	5		Rejected!	
GOCC_9PLUS0_NON_MOTILE_CILIUM	132	95		
GOCC_9PLUS2_MOTILE_CILIUM	182	130		
GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	16		Rejected!	
GOCC_ACETYLTRANSFERASE_COMPLEX	105	98		
GOCC_ACROSOMAL_MEMBRANE	32	24		
GOCC_ACROSOMAL_VESICLE	145	102		
GOCC_ACTIN_BASED_CELL_PROJECTION	227	179		
GOCC_ACTIN_CYTOSKELETON	501	427		
GOCC_ACTIN_FILAMENT	118	106		
GOCC_ACTIN_FILAMENT_BUNDLE	79	68		
GOCC_ACTIVIN_RECEPTOR_COMPLEX	6		Rejected!	
GOCC_ACTOMYOSIN	77	66		
GOCC_ADHERENS_JUNCTION	188	160		
GOCC_AGGRESOME	35	30		
GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX	10		Rejected!	
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX	5		Rejected!	
GOCC_ALVEOLAR_LAMELLAR_BODY	7		Rejected!	
GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX	11		Rejected!	
GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX	26	15		
GOCC_AMPHISOME	14		Rejected!	
GOCC_AMPHISOME_MEMBRANE	12		Rejected!	
GOCC_ANAPHASE_PROMOTING_COMPLEX	21	21		
GOCC_ANCHORING_JUNCTION	901		Rejected!	
GOCC_ANKYRIN_1_COMPLEX	8		Rejected!	
GOCC_ANNULATE_LAMELLAE	5		Rejected!	
GOCC_APICAL_CORTEX	8		Rejected!	
GOCC_APICAL_DENDRITE	16		Rejected!	
GOCC_APICAL_JUNCTION_COMPLEX	150	135		
GOCC_APICAL_PART_OF_CELL	471	357		
GOCC_APICOLATERAL_PLASMA_MEMBRANE	22	18		
GOCC_APOLIPOPROTEIN_B_MRNA_EDITING_ENZYME_COMPLEX	5		Rejected!	
GOCC_AP_1_ADAPTOR_COMPLEX	12		Rejected!	
GOCC_AP_2_ADAPTOR_COMPLEX	10		Rejected!	
GOCC_AP_3_ADAPTOR_COMPLEX	9		Rejected!	
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	38	36		
GOCC_ARP2_3_PROTEIN_COMPLEX	9		Rejected!	
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX	8		Rejected!	
GOCC_ASTER	11		Rejected!	
GOCC_ASTROCYTE_END_FOOT	9		Rejected!	
GOCC_ASTROCYTE_PROJECTION	19		Rejected!	
GOCC_ASYMMETRIC_GLUTAMATERGIC_EXCITATORY_SYNAPSE	16		Rejected!	
GOCC_ATAC_COMPLEX	14		Rejected!	
GOCC_ATG12_ATG5_ATG16_COMPLEX	5		Rejected!	
GOCC_ATG1_ULK1_KINASE_COMPLEX	6		Rejected!	
GOCC_ATPASE_COMPLEX	146	141		
GOCC_ATPASE_DEPENDENT_TRANSMEMBRANE_TRANSPORT_COMPLEX	25		Rejected!	
GOCC_ATP_BINDING_CASSETTE_ABC_TRANSPORTER_COMPLEX	6		Rejected!	
GOCC_AUTOLYSOSOME	12		Rejected!	
GOCC_AUTOPHAGOSOME	117	112		
GOCC_AUTOPHAGOSOME_MEMBRANE	53	50		
GOCC_AXOLEMMA	15		Rejected!	
GOCC_AXON	648	489		
GOCC_AXONAL_GROWTH_CONE	27	20		
GOCC_AXONEMAL_DYNEIN_COMPLEX	22	19		
GOCC_AXONEMAL_MICROTUBULE	43	36		
GOCC_AXON_CYTOPLASM	63	57		
GOCC_AXON_HILLOCK	7		Rejected!	
GOCC_AXON_INITIAL_SEGMENT	21		Rejected!	
GOCC_AZUROPHIL_GRANULE	157	121		
GOCC_AZUROPHIL_GRANULE_LUMEN	91	69		
GOCC_AZUROPHIL_GRANULE_MEMBRANE	59	46		
GOCC_A_BAND	34	26		
GOCC_BARR_BODY	8		Rejected!	
GOCC_BASAL_CORTEX	5		Rejected!	
GOCC_BASAL_DENDRITE	6		Rejected!	
GOCC_BASAL_PART_OF_CELL	303	240		
GOCC_BASEMENT_MEMBRANE	90	70		
GOCC_BASEMENT_MEMBRANE_COLLAGEN_TRIMER	8		Rejected!	
GOCC_BASOLATERAL_PLASMA_MEMBRANE	251	195		
GOCC_BBAF_COMPLEX	10		Rejected!	
GOCC_BBSOME	8		Rejected!	
GOCC_BCL_2_FAMILY_PROTEIN_COMPLEX	10		Rejected!	
GOCC_BETA_CATENIN_DESTRUCTION_COMPLEX	11		Rejected!	
GOCC_BETA_CATENIN_TCF_COMPLEX	13		Rejected!	
GOCC_BLEB	9		Rejected!	
GOCC_BLOC_1_COMPLEX	9		Rejected!	
GOCC_BLOC_COMPLEX	14		Rejected!	
GOCC_BLOOD_MICROPARTICLE	144	68		
GOCC_BORC_COMPLEX	8		Rejected!	
GOCC_BOX_C_D_RNP_COMPLEX	6		Rejected!	
GOCC_BOX_H_ACA_RNP_COMPLEX	9		Rejected!	
GOCC_BOX_H_ACA_TELOMERASE_RNP_COMPLEX	5		Rejected!	
GOCC_BRAHMA_COMPLEX	14		Rejected!	
GOCC_BRCA1_A_COMPLEX	8		Rejected!	
GOCC_BRCA1_C_COMPLEX	6		Rejected!	
GOCC_BRISC_COMPLEX	6		Rejected!	
GOCC_BRUSH_BORDER	108	93		
GOCC_BRUSH_BORDER_MEMBRANE	60	50		
GOCC_B_CELL_RECEPTOR_COMPLEX	5		Rejected!	
GOCC_B_WICH_COMPLEX	7		Rejected!	
GOCC_CAJAL_BODY	81	74		
GOCC_CALCINEURIN_COMPLEX	6		Rejected!	
GOCC_CALCITONIN_FAMILY_RECEPTOR_COMPLEX	5		Rejected!	
GOCC_CALCIUM_AND_CALMODULIN_DEPENDENT_PROTEIN_KINASE_COMPLEX	5		Rejected!	
GOCC_CALCIUM_CHANNEL_COMPLEX	79	63		
GOCC_CALYX_OF_HELD	19		Rejected!	
GOCC_CAMP_DEPENDENT_PROTEIN_KINASE_COMPLEX	9		Rejected!	
GOCC_CANONICAL_INFLAMMASOME_COMPLEX	17		Rejected!	
GOCC_CARBOXY_TERMINAL_DOMAIN_PROTEIN_KINASE_COMPLEX	19	17		
GOCC_CARDIAC_MYOFIBRIL	6		Rejected!	
GOCC_CASPASE_COMPLEX	10		Rejected!	
GOCC_CATALYTIC_COMPLEX	1730		Rejected!	
GOCC_CATALYTIC_STEP_1_SPLICEOSOME	12		Rejected!	
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	91	89		
GOCC_CATENIN_COMPLEX	31	17		
GOCC_CATION_CHANNEL_COMPLEX	193	122		
GOCC_CATION_TRANSPORTING_ATPASE_COMPLEX	19		Rejected!	
GOCC_CATSPER_COMPLEX	14		Rejected!	
GOCC_CAVEOLA	82	63		
GOCC_CBM_COMPLEX	5		Rejected!	
GOCC_CCAAT_BINDING_FACTOR_COMPLEX	5		Rejected!	
GOCC_CCR4_NOT_COMPLEX	14		Rejected!	
GOCC_CCR4_NOT_CORE_COMPLEX	6		Rejected!	
GOCC_CD40_RECEPTOR_COMPLEX	11		Rejected!	
GOCC_CD95_DEATH_INDUCING_SIGNALING_COMPLEX	6		Rejected!	
GOCC_CDC73_PAF1_COMPLEX	7		Rejected!	
GOCC_CELL_BODY	555	410		
GOCC_CELL_BODY_FIBER	7		Rejected!	
GOCC_CELL_BODY_MEMBRANE	32	18		
GOCC_CELL_CELL_CONTACT_ZONE	72	60		
GOCC_CELL_CELL_JUNCTION	513	420		
GOCC_CELL_CORTEX	305	254		
GOCC_CELL_CORTEX_REGION	38	31		
GOCC_CELL_DIVISION_SITE	73	59		
GOCC_CELL_LEADING_EDGE	424	376		
GOCC_CELL_POLE	7		Rejected!	
GOCC_CELL_PROJECTION_MEMBRANE	353	289		
GOCC_CELL_SUBSTRATE_JUNCTION	434	395		
GOCC_CELL_SURFACE	903		Rejected!	
GOCC_CELL_TIP	5		Rejected!	
GOCC_CELL_TRAILING_EDGE	14		Rejected!	
GOCC_CENTRAL_ELEMENT	8		Rejected!	
GOCC_CENTRIOLAR_SATELLITE	118	103		
GOCC_CENTRIOLAR_SUBDISTAL_APPENDAGE	10		Rejected!	
GOCC_CENTRIOLE	157	146		
GOCC_CENTROSOME	640		Rejected!	
GOCC_CEREBELLAR_CLIMBING_FIBER_TO_PURKINJE_CELL_SYNAPSE	7		Rejected!	
GOCC_CEREBELLAR_MOSSY_FIBER	7		Rejected!	
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	11		Rejected!	
GOCC_CHECKPOINT_CLAMP_COMPLEX	5		Rejected!	
GOCC_CHITOSOME	21	15		
GOCC_CHLORIDE_CHANNEL_COMPLEX	55	30		
GOCC_CHOLINERGIC_SYNAPSE	11		Rejected!	
GOCC_CHROMAFFIN_GRANULE	13		Rejected!	
GOCC_CHROMAFFIN_GRANULE_MEMBRANE	9		Rejected!	
GOCC_CHROMATIN_SILENCING_COMPLEX	13		Rejected!	
GOCC_CHROMATOID_BODY	13		Rejected!	
GOCC_CHROMOCENTER	14		Rejected!	
GOCC_CHROMOSOMAL_REGION	399	370		
GOCC_CHROMOSOME	1956		Rejected!	
GOCC_CHROMOSOME_CENTROMERIC_CORE_DOMAIN	19		Rejected!	
