NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_ACTIN_FILAMENT_BUNDLE	GOCC_ACTIN_FILAMENT_BUNDLE	Details ...	68	-0.54244125	-2.1213405	0.0	0.0052407384	0.004	2823	tags=43%, list=15%, signal=50%	
GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR	Details ...	15	-0.7211463	-1.9765596	0.0	0.022525692	0.033	3732	tags=67%, list=20%, signal=83%	
GOCC_A_BAND	GOCC_A_BAND	Details ...	26	-0.5877992	-1.8802058	0.0	0.059555747	0.124	2222	tags=42%, list=12%, signal=48%	
GOCC_I_BAND	GOCC_I_BAND	Details ...	125	-0.44736448	-1.8779248	0.0	0.046014916	0.128	2627	tags=34%, list=14%, signal=40%	
GOCC_ACTOMYOSIN	GOCC_ACTOMYOSIN	Details ...	66	-0.4902214	-1.8746053	0.0	0.039476756	0.137	2823	tags=39%, list=15%, signal=46%	
GOCC_CATALYTIC_STEP_2_SPLICEOSOME	GOCC_CATALYTIC_STEP_2_SPLICEOSOME	Details ...	89	-0.4563731	-1.8441489	0.0	0.047340367	0.192	6121	tags=54%, list=33%, signal=80%	
GOCC_BLOOD_MICROPARTICLE	GOCC_BLOOD_MICROPARTICLE	Details ...	68	-0.47416764	-1.8379195	0.0	0.044785846	0.209	2249	tags=29%, list=12%, signal=33%	
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME	Details ...	108	-0.43273857	-1.8091077	0.0	0.05417513	0.275	7636	tags=62%, list=41%, signal=104%	
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	Details ...	70	-0.4641384	-1.8065358	0.0	0.049932458	0.284	4530	tags=41%, list=24%, signal=54%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	278	-0.37393954	-1.8003296	0.0	0.04825647	0.3	2202	tags=26%, list=12%, signal=29%	
GOCC_CONTRACTILE_FIBER	GOCC_CONTRACTILE_FIBER	Details ...	201	-0.38377744	-1.750386	0.0	0.07362111	0.447	2699	tags=31%, list=14%, signal=36%	
GOCC_P_BODY	GOCC_P_BODY	Details ...	96	-0.42549706	-1.7466179	0.0	0.07015053	0.463	4750	tags=46%, list=25%, signal=61%	
GOCC_INO80_TYPE_COMPLEX	GOCC_INO80_TYPE_COMPLEX	Details ...	26	-0.55414367	-1.7449372	0.0043572984	0.06549503	0.467	6031	tags=62%, list=32%, signal=91%	
GOCC_SPLICEOSOMAL_COMPLEX	GOCC_SPLICEOSOMAL_COMPLEX	Details ...	193	-0.3787847	-1.7336178	0.0	0.06972855	0.508	6827	tags=54%, list=36%, signal=84%	
GOCC_90S_PRERIBOSOME	GOCC_90S_PRERIBOSOME	Details ...	28	-0.54212505	-1.73092	0.01369863	0.06687635	0.517	6914	tags=75%, list=37%, signal=119%	
GOCC_SARCOLEMMA	GOCC_SARCOLEMMA	Details ...	119	-0.40330726	-1.7231046	0.0	0.065971665	0.537	2611	tags=32%, list=14%, signal=37%	
GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	Details ...	226	-0.3670217	-1.7187839	0.0	0.0656641	0.554	3571	tags=30%, list=19%, signal=37%	
GOCC_COPI_COATED_VESICLE_MEMBRANE	GOCC_COPI_COATED_VESICLE_MEMBRANE	Details ...	17	-0.59679	-1.7044415	0.006134969	0.06969315	0.604	6186	tags=71%, list=33%, signal=105%	
GOCC_HISTONE_DEACETYLASE_COMPLEX	GOCC_HISTONE_DEACETYLASE_COMPLEX	Details ...	82	-0.42229527	-1.6927351	0.004651163	0.073285915	0.644	7023	tags=66%, list=37%, signal=105%	
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	Details ...	354	-0.34584004	-1.6826305	0.0	0.075748034	0.668	2202	tags=25%, list=12%, signal=27%	
GOCC_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX	GOCC_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX		90	-0.41532335	-1.68202	0.004576659	0.0725146	0.668	5340	tags=48%, list=28%, signal=66%	
GOCC_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX	GOCC_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX		42	-0.4831695	-1.6819654	0.0066815144	0.06921848	0.668	6031	tags=67%, list=32%, signal=98%	
GOCC_MLL1_2_COMPLEX	GOCC_MLL1_2_COMPLEX		32	-0.5160887	-1.6808137	0.006741573	0.06701802	0.673	7676	tags=78%, list=41%, signal=132%	
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_TRANSCRIPTION_REGULATOR_COMPLEX		435	-0.3366917	-1.6721873	0.0	0.06919961	0.701	3571	tags=29%, list=19%, signal=35%	
GOCC_SMALL_SUBUNIT_PROCESSOME	GOCC_SMALL_SUBUNIT_PROCESSOME		73	-0.41840157	-1.6438785	0.0	0.08333799	0.776	7857	tags=67%, list=42%, signal=115%	
GOCC_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	GOCC_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX		28	-0.51381135	-1.6312039	0.011415525	0.089253075	0.806	6031	tags=68%, list=32%, signal=100%	
GOCC_PROTEIN_LIPID_COMPLEX	GOCC_PROTEIN_LIPID_COMPLEX		29	-0.5028634	-1.6137332	0.022123894	0.09952439	0.856	3985	tags=45%, list=21%, signal=57%	
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX		89	-0.39951178	-1.6054562	0.005181347	0.102827586	0.872	6097	tags=44%, list=32%, signal=65%	
GOCC_RNAI_EFFECTOR_COMPLEX	GOCC_RNAI_EFFECTOR_COMPLEX		99	-0.3897335	-1.6012393	0.0	0.10243614	0.879	2681	tags=24%, list=14%, signal=28%	
GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE	GOCC_HIGH_DENSITY_LIPOPROTEIN_PARTICLE		20	-0.54059047	-1.6003093	0.029350106	0.09991977	0.884	3875	tags=45%, list=21%, signal=57%	
GOCC_ACTIN_FILAMENT	GOCC_ACTIN_FILAMENT		106	-0.38627425	-1.5959891	0.0043763677	0.09970805	0.892	3622	tags=36%, list=19%, signal=44%	
GOCC_PHOSPHATASE_COMPLEX	GOCC_PHOSPHATASE_COMPLEX		49	-0.43916857	-1.5885673	0.014117647	0.10236602	0.903	6753	tags=57%, list=36%, signal=89%	
GOCC_INTERCALATED_DISC	GOCC_INTERCALATED_DISC		40	-0.4484389	-1.5748312	0.014344262	0.1116588	0.922	2259	tags=30%, list=12%, signal=34%	
GOCC_NBAF_COMPLEX	GOCC_NBAF_COMPLEX		15	-0.59113705	-1.5624049	0.04077253	0.1178663	0.936	4306	tags=67%, list=23%, signal=86%	
GOCC_LAMELLIPODIUM_MEMBRANE	GOCC_LAMELLIPODIUM_MEMBRANE		19	-0.5322772	-1.5612713	0.047227927	0.115428634	0.939	3962	tags=47%, list=21%, signal=60%	
GOCC_M_BAND	GOCC_M_BAND		16	-0.56321704	-1.5600853	0.01746725	0.11314695	0.939	3200	tags=50%, list=17%, signal=60%	
GOCC_BASEMENT_MEMBRANE	GOCC_BASEMENT_MEMBRANE		70	-0.40482503	-1.5582801	0.0071090045	0.111533135	0.946	2877	tags=33%, list=15%, signal=39%	
GOCC_PIGMENT_GRANULE	GOCC_PIGMENT_GRANULE		102	-0.3692989	-1.5484785	0.002352941	0.116904646	0.956	3991	tags=37%, list=21%, signal=47%	
GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX	GOCC_HISTONE_METHYLTRANSFERASE_COMPLEX		61	-0.4127186	-1.5473931	0.018691588	0.114612564	0.957	6031	tags=54%, list=32%, signal=79%	
GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX	GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX		17	-0.54520315	-1.5473926	0.035564855	0.11174725	0.957	4847	tags=47%, list=26%, signal=63%	
GOCC_KERATIN_FILAMENT	GOCC_KERATIN_FILAMENT		26	-0.5121052	-1.5459833	0.040089086	0.110201694	0.958	3953	tags=38%, list=21%, signal=49%	
GOCC_CELL_BODY_MEMBRANE	GOCC_CELL_BODY_MEMBRANE		18	-0.5387598	-1.539956	0.03655914	0.11226571	0.964	1255	tags=39%, list=7%, signal=42%	
