NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_AXONEMAL_MICROTUBULE	GOCC_AXONEMAL_MICROTUBULE	Details ...	36	0.55632204	1.8641719	0.0017921147	0.09780484	0.128	4249	tags=56%, list=23%, signal=72%	
GOCC_CELL_CORTEX_REGION	GOCC_CELL_CORTEX_REGION	Details ...	31	0.52785504	1.680812	0.0037037036	0.4188394	0.672	2934	tags=32%, list=16%, signal=38%	
GOCC_CYTOPLASMIC_REGION	GOCC_CYTOPLASMIC_REGION	Details ...	246	0.36091262	1.6181734	0.0	0.52467585	0.879	4487	tags=35%, list=24%, signal=46%	
GOCC_DYNEIN_COMPLEX	GOCC_DYNEIN_COMPLEX	Details ...	48	0.46360165	1.6085047	0.0017574693	0.4284862	0.895	3745	tags=33%, list=20%, signal=42%	
GOCC_CILIARY_PLASM	GOCC_CILIARY_PLASM	Details ...	138	0.38300368	1.6078832	0.0	0.34412438	0.896	4316	tags=37%, list=23%, signal=48%	
GOCC_CYTOPLASMIC_MICROTUBULE	GOCC_CYTOPLASMIC_MICROTUBULE	Details ...	95	0.3969666	1.5583595	0.003407155	0.43654084	0.971	5621	tags=45%, list=30%, signal=64%	
GOCC_SPERM_PRINCIPAL_PIECE	GOCC_SPERM_PRINCIPAL_PIECE	Details ...	26	0.50607914	1.5554157	0.024340771	0.3833692	0.976	2440	tags=35%, list=13%, signal=40%	
GOCC_TRAPP_COMPLEX	GOCC_TRAPP_COMPLEX	Details ...	16	0.549784	1.4873055	0.05156538	0.582048	0.998	6848	tags=75%, list=36%, signal=118%	
GOCC_MICROTUBULE_PLUS_END	GOCC_MICROTUBULE_PLUS_END	Details ...	24	0.4838475	1.4738177	0.06822262	0.5747307	1.0	814	tags=13%, list=4%, signal=13%	
GOCC_LYSOSOMAL_LUMEN	GOCC_LYSOSOMAL_LUMEN	Details ...	73	0.3859777	1.4540311	0.02112676	0.599948	1.0	3156	tags=29%, list=17%, signal=34%	
GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	GOCC_INTRACILIARY_TRANSPORT_PARTICLE_B	Details ...	18	0.5164787	1.4511847	0.05185185	0.5574484	1.0	1993	tags=28%, list=11%, signal=31%	
GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX	Details ...	36	0.42888317	1.4124682	0.055028465	0.6728117	1.0	5098	tags=36%, list=27%, signal=49%	
