NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CX3CR1	C-X3-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:2558]	353	0.8914786577224731	-0.0027413843	No	
row_1	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	583	0.7570168375968933	-0.0012720885	No	
row_2	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	771	0.677811861038208	0.001011614	No	
row_3	CCR8	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	950	0.6006625890731812	0.0023761296	No	
row_4	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	1549	0.46456190943717957	-0.021272408	No	
row_5	CCL25	C-C motif chemokine ligand 25 [Source:HGNC Symbol;Acc:HGNC:10624]	1563	0.46227529644966125	-0.0135682775	No	
row_6	CD70	CD70 molecule [Source:HGNC Symbol;Acc:HGNC:11937]	1639	0.44983720779418945	-0.009417458	No	
row_7	TNFRSF13C	TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]	1690	0.4423711895942688	-0.0040606996	No	
row_8	TNFSF4	TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]	1695	0.4413992762565613	0.0037470004	No	
row_9	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1742	0.4339381754398346	0.009165152	No	
row_10	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1767	0.4289020001888275	0.015672408	No	
row_11	PLEKHO2	pleckstrin homology domain containing O2 [Source:HGNC Symbol;Acc:HGNC:30026]	1827	0.4196210503578186	0.020132698	No	
row_12	IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	1850	0.41582709550857544	0.026509652	No	
row_13	TNFSF13B	TNF superfamily member 13b [Source:HGNC Symbol;Acc:HGNC:11929]	1881	0.41202524304389954	0.032388184	No	
row_14	INHBC	inhibin subunit beta C [Source:HGNC Symbol;Acc:HGNC:6068]	2078	0.3877561092376709	0.028917182	No	
row_15	TNFRSF14	TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]	2143	0.38048139214515686	0.032397788	No	
row_16	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	2342	0.3589574694633484	0.028296046	No	
row_17	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	2874	0.30672404170036316	0.005374409	No	
row_18	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	3039	0.29305413365364075	0.0018995045	No	
row_19	IL5	interleukin 5 [Source:HGNC Symbol;Acc:HGNC:6016]	3264	0.27457931637763977	-0.005131097	No	
row_20	IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	3399	0.2635185420513153	-0.0075328457	No	
row_21	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	3451	0.2595176696777344	-0.005553086	No	
row_22	IL23A	interleukin 23 subunit alpha [Source:HGNC Symbol;Acc:HGNC:15488]	3535	0.2546107769012451	-0.0053797993	No	
row_23	AMHR2	anti-Mullerian hormone receptor type 2 [Source:HGNC Symbol;Acc:HGNC:465]	3927	0.231378972530365	-0.022157673	No	
row_24	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	4359	0.205630823969841	-0.04155013	No	
row_25	PDGFRA	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]	4416	0.20222166180610657	-0.04088004	No	
row_26	EDA	ectodysplasin A [Source:HGNC Symbol;Acc:HGNC:3157]	5075	0.1654142290353775	-0.07318546	No	
row_27	CCL27	C-C motif chemokine ligand 27 [Source:HGNC Symbol;Acc:HGNC:10626]	5244	0.1556629240512848	-0.079372086	No	
row_28	TNFRSF10C	TNF receptor superfamily member 10c [Source:HGNC Symbol;Acc:HGNC:11906]	5337	0.15082977712154388	-0.081567995	No	
row_29	IL11RA	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	5421	0.1474401205778122	-0.083342515	No	
row_30	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	5643	0.13791361451148987	-0.092695996	No	
row_31	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	5819	0.12968593835830688	-0.09973041	No	
row_32	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	6048	0.12017937749624252	-0.10978187	No	
row_33	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	6124	0.11705189198255539	-0.11167937	No	
row_34	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	6130	0.11677700281143188	-0.10982529	No	
row_35	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	6365	0.10651322454214096	-0.12044712	No	
row_36	XCL1	X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]	6557	0.0982009768486023	-0.12891242	No	
row_37	CLCF1	cardiotrophin like cytokine factor 1 [Source:HGNC Symbol;Acc:HGNC:17412]	6640	0.09481938928365707	-0.13158965	No	
row_38	TNFRSF11A	TNF receptor superfamily member 11a [Source:HGNC Symbol;Acc:HGNC:11908]	7143	0.07649163156747818	-0.15713942	No	
row_39	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	7531	0.062265545129776	-0.17677625	No	
row_40	TNFRSF6B	TNF receptor superfamily member 6b [Source:HGNC Symbol;Acc:HGNC:11921]	7680	0.05695085972547531	-0.18368365	No	
row_41	FLT4	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	7800	0.05215427652001381	-0.18912193	No	
row_42	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	8122	0.04023877531290054	-0.20561717	No	
row_43	PDGFA	platelet derived growth factor subunit A [Source:HGNC Symbol;Acc:HGNC:8799]	8309	0.03355906158685684	-0.21498899	No	
row_44	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	8575	0.023554474115371704	-0.2287822	No	
row_45	AMH	anti-Mullerian hormone [Source:HGNC Symbol;Acc:HGNC:464]	8948	0.010029840283095837	-0.24856342	No	
row_46	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	9013	0.008001328445971012	-0.25185257	No	
row_47	IL17B	interleukin 17B [Source:HGNC Symbol;Acc:HGNC:5982]	9487	-0.008163005113601685	-0.27708793	No	
row_48	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	9516	-0.009136003442108631	-0.2784245	No	
row_49	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	9777	-0.018329055979847908	-0.29204437	No	
row_50	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	9803	-0.019179213792085648	-0.2930374	No	
row_51	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	9811	-0.019470054656267166	-0.29305923	No	
row_52	TNFRSF25	TNF receptor superfamily member 25 [Source:HGNC Symbol;Acc:HGNC:11910]	9836	-0.020696835592389107	-0.29397103	No	
row_53	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	9872	-0.021960387006402016	-0.29545018	No	
row_54	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	9940	-0.024089841172099113	-0.29860795	No	
row_55	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	10012	-0.02646266669034958	-0.30193722	No	
row_56	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	10020	-0.026585686951875687	-0.3018297	No	
row_57	CCR10	C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]	10169	-0.03122490830719471	-0.30920464	No	
row_58	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	10528	-0.04408881440758705	-0.32761553	No	
row_59	TNFSF12	TNF superfamily member 12 [Source:HGNC Symbol;Acc:HGNC:11927]	11162	-0.06491196900606155	-0.36040592	No	
row_60	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	11940	-0.09164883196353912	-0.4004382	No	
row_61	CCR4	C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]	11948	-0.09209004044532776	-0.39914015	No	
row_62	CNTF	ciliary neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:2169]	12026	-0.09459330141544342	-0.40155315	No	
row_63	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	12086	-0.09696712344884872	-0.40295705	No	
row_64	IL21R	interleukin 21 receptor [Source:HGNC Symbol;Acc:HGNC:6006]	12165	-0.10063424706459045	-0.40531394	No	
row_65	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	12200	-0.10182715952396393	-0.40528786	No	
row_66	GH1	growth hormone 1 [Source:HGNC Symbol;Acc:HGNC:4261]	12209	-0.10220444947481155	-0.40385965	No	
row_67	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	12328	-0.10670642554759979	-0.40825278	No	
row_68	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	12574	-0.11569726467132568	-0.419298	No	
row_69	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	12626	-0.11753244698047638	-0.4198988	No	
row_70	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	12947	-0.13067126274108887	-0.4346968	No	
row_71	CD27	CD27 molecule [Source:HGNC Symbol;Acc:HGNC:11922]	12993	-0.13229548931121826	-0.43470728	No	
row_72	TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	13108	-0.13686378300189972	-0.43833765	No	
row_73	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	13866	-0.1714664250612259	-0.47584593	No	
row_74	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	14127	-0.18385805189609528	-0.48645732	No	
row_75	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	14254	-0.19120527803897858	-0.48974404	No	
row_76	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	14298	-0.19323769211769104	-0.48853958	No	
row_77	ACVR2B	activin A receptor type 2B [Source:HGNC Symbol;Acc:HGNC:174]	14345	-0.19584029912948608	-0.4874488	No	
row_78	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	14362	-0.19710640609264374	-0.4847251	No	
row_79	EPOR	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	14553	-0.20822598040103912	-0.49113703	No	
row_80	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	14601	-0.21096691489219666	-0.489825	No	
row_81	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	14855	-0.22503304481506348	-0.4993124	No	
