NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	330	0.9079115986824036	0.009984406	No	
row_1	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1057	0.5750699639320374	-0.011469597	No	
row_2	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1085	0.5686138868331909	0.0044377483	No	
row_3	ADRB1	adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]	1745	0.4324765205383301	-0.01776919	No	
row_4	WWP1	WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:17004]	1890	0.41116824746131897	-0.0129547985	No	
row_5	RAB11FIP2	RAB11 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29152]	1952	0.4032354950904846	-0.003922843	No	
row_6	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	1965	0.4021244943141937	0.0077080475	No	
row_7	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	2195	0.37514597177505493	0.0068555935	No	
row_8	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	2215	0.37237483263015747	0.017202193	No	
row_9	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	2525	0.34006157517433167	0.010980183	No	
row_10	VTA1	vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]	2539	0.3387701213359833	0.02062332	No	
row_11	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2852	0.3084624707698822	0.013275488	No	
row_12	GRK4	G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]	2967	0.29884907603263855	0.016273057	No	
row_13	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	3049	0.2924918830394745	0.020849703	No	
row_14	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	3209	0.27947670221328735	0.020837966	No	
row_15	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	3278	0.2733564078807831	0.025528975	No	
row_16	VPS36	vacuolar protein sorting 36 homolog [Source:HGNC Symbol;Acc:HGNC:20312]	3310	0.2709510624408722	0.032134626	No	
row_17	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	3382	0.26487913727760315	0.036405656	No	
row_18	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	3655	0.24664746224880219	0.02932006	No	
row_19	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	3788	0.23894762992858887	0.029521843	No	
row_20	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	4152	0.21820637583732605	0.016678445	No	
row_21	PDGFRA	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]	4416	0.20222166180610657	0.008720247	No	
row_22	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	4483	0.19767026603221893	0.0112082455	No	
row_23	GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	4525	0.1946416050195694	0.014947079	No	
row_24	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	4534	0.1938779354095459	0.020435745	No	
row_25	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	4675	0.18704180419445038	0.018623145	No	
row_26	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	4678	0.18693874776363373	0.024222368	No	
row_27	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	4800	0.18045072257518768	0.023229463	No	
row_28	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	4845	0.1784723401069641	0.026313502	No	
row_29	IQSEC2	IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059]	4891	0.17547839879989624	0.029252414	No	
row_30	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	4967	0.17131958901882172	0.03045242	No	
row_31	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	5008	0.16902947425842285	0.033463124	No	
row_32	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	5482	0.14448797702789307	0.012458836	No	
row_33	RABEP1	rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]	5491	0.1438695341348648	0.016420893	No	
row_34	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	5643	0.13791361451148987	0.012517507	No	
row_35	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]	5656	0.13733278214931488	0.01606509	No	
row_36	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]	5991	0.12247494608163834	0.0018575131	No	
row_37	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	6110	0.11760766059160233	-8.926093E-4	No	
row_38	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	6141	0.11632033437490463	0.0010463563	No	
row_39	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 [Source:HGNC Symbol;Acc:HGNC:16469]	6248	0.11164668202400208	-0.0012409572	No	
row_40	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	6317	0.10882694274187088	-0.0015725457	No	
row_41	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	6365	0.10651322454214096	-8.4640045E-4	No	
row_42	TSG101	tumor susceptibility 101 [Source:HGNC Symbol;Acc:HGNC:15971]	6379	0.10590136796236038	0.0016879434	No	
row_43	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	6452	0.10269235819578171	9.541573E-4	No	
row_44	FGFR4	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]	6837	0.0870671346783638	-0.0170209	No	
row_45	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	6839	0.08688130229711533	-0.014422402	No	
row_46	VPS25	vacuolar protein sorting 25 homolog [Source:HGNC Symbol;Acc:HGNC:28122]	6881	0.08538155257701874	-0.014018954	No	
row_47	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	6910	0.08456297963857651	-0.012941983	No	
row_48	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	7017	0.08107612282037735	-0.016162524	No	
row_49	F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	7082	0.07865370064973831	-0.017200287	No	
row_50	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	7088	0.07850413769483566	-0.015072446	No	
row_51	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	7149	0.07626238465309143	-0.01596828	No	
row_52	RUFY1	RUN and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19760]	7187	0.0748547613620758	-0.015671259	No	
row_53	RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	7249	0.07228006422519684	-0.016742393	No	
row_54	VPS4A	vacuolar protein sorting 4 homolog A [Source:HGNC Symbol;Acc:HGNC:13488]	7718	0.05572930723428726	-0.04018756	No	
row_55	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	7861	0.04969989135861397	-0.046300266	No	
row_56	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	7899	0.04830589517951012	-0.0468137	No	
row_57	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	7922	0.04768813028931618	-0.046540022	No	
row_58	PDCD6IP	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]	7933	0.04743766412138939	-0.045629207	No	
row_59	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	8071	0.042351361364126205	-0.051697582	No	
