NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAL4	dynein axonemal light chain 4 [Source:HGNC Symbol;Acc:HGNC:2955]	59	1.5417803525924683	0.055217735	Yes	
row_1	NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]	728	0.6945430636405945	0.04562208	Yes	
row_2	NDUFA4L2	NDUFA4 mitochondrial complex associated like 2 [Source:HGNC Symbol;Acc:HGNC:29836]	1990	0.3991258144378662	-0.0070292703	Yes	
row_3	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	2124	0.38258588314056396	3.1208954E-4	Yes	
row_4	TAF4	TATA-box binding protein associated factor 4 [Source:HGNC Symbol;Acc:HGNC:11537]	2202	0.37349751591682434	0.010318724	Yes	
row_5	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	2269	0.3658818304538727	0.020628091	Yes	
row_6	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	2294	0.3634500503540039	0.033102456	Yes	
row_7	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	2588	0.3326464891433716	0.029954122	Yes	
row_8	ATP5PD	ATP synthase peripheral stalk subunit d [Source:HGNC Symbol;Acc:HGNC:845]	2866	0.3075122535228729	0.026713777	Yes	
row_9	NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]	2891	0.3046516180038452	0.036961403	Yes	
row_10	COX8C	cytochrome c oxidase subunit 8C [Source:HGNC Symbol;Acc:HGNC:24382]	3305	0.2714380919933319	0.025046218	Yes	
row_11	ATP5PF	ATP synthase peripheral stalk subunit F6 [Source:HGNC Symbol;Acc:HGNC:847]	3309	0.2710336744785309	0.035149254	Yes	
row_12	NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 [Source:HGNC Symbol;Acc:HGNC:7711]	3416	0.26165950298309326	0.039362025	Yes	
row_13	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	3500	0.25662919878959656	0.044620324	Yes	
row_14	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	3519	0.2552747130393982	0.05332045	Yes	
row_15	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	3571	0.25271257758140564	0.060150113	Yes	
row_16	IFT57	intraflagellar transport 57 [Source:HGNC Symbol;Acc:HGNC:17367]	3612	0.2502632439136505	0.067478165	Yes	
row_17	POLR2L	RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:HGNC:9199]	3676	0.2453240156173706	0.07338314	Yes	
row_18	NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 [Source:HGNC Symbol;Acc:HGNC:7700]	3753	0.2407306432723999	0.07841553	Yes	
row_19	POLR2J3	RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]	3882	0.23408347368240356	0.08040169	Yes	
row_20	DNAH1	dynein axonemal heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2940]	3902	0.2328694611787796	0.08819956	Yes	
row_21	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	3956	0.22979722917079926	0.09405393	Yes	
row_22	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4024	0.22614677250385284	0.09901768	Yes	
row_23	ATP5F1E	ATP synthase F1 subunit epsilon [Source:HGNC Symbol;Acc:HGNC:838]	4070	0.2232123464345932	0.10505259	Yes	
row_24	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	4300	0.20940974354743958	0.10067657	Yes	
row_25	ATP5MC3	ATP synthase membrane subunit c locus 3 [Source:HGNC Symbol;Acc:HGNC:843]	4319	0.20807750523090363	0.10758929	Yes	
row_26	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	4323	0.20792634785175323	0.115302406	Yes	
row_27	TBPL1	TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]	4364	0.20534920692443848	0.120929524	Yes	
row_28	POLR2J2	RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]	4409	0.20263603329658508	0.12623893	Yes	
row_29	UCP1	uncoupling protein 1 [Source:HGNC Symbol;Acc:HGNC:12517]	4607	0.1901646852493286	0.12285377	Yes	
row_30	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	4615	0.1895352452993393	0.12965544	Yes	
row_31	COX6C	cytochrome c oxidase subunit 6C [Source:HGNC Symbol;Acc:HGNC:2285]	4631	0.18897390365600586	0.13600592	Yes	
row_32	POLR2K	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	4714	0.18502089381217957	0.1386061	Yes	
row_33	COX7A2	cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]	4825	0.1793583482503891	0.1394871	Yes	
row_34	COX6B2	cytochrome c oxidase subunit 6B2 [Source:HGNC Symbol;Acc:HGNC:24380]	4959	0.17200808227062225	0.13885371	Yes	
row_35	DNAH3	dynein axonemal heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:2949]	4970	0.17120960354804993	0.14480016	Yes	
row_36	TFAM	transcription factor A, mitochondrial [Source:HGNC Symbol;Acc:HGNC:11741]	4987	0.1700809746980667	0.1503814	Yes	
row_37	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	5000	0.16952858865261078	0.1561567	Yes	
row_38	ATP5MC1P5	ATP synthase membrane subunit c locus 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39508]	5011	0.16897571086883545	0.16201854	Yes	
row_39	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	5141	0.1618722379207611	0.16121626	Yes	
