NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	513	0.7882711291313171	0.036985762	No	
row_1	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	2037	0.3917125463485718	-0.0123561025	No	
row_2	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	2525	0.34006157517433167	-0.010589476	No	
row_3	IMPA1	inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	3437	0.2603316009044647	-0.037978344	No	
row_4	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	3788	0.23894762992858887	-0.03715381	No	
row_5	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	3894	0.23346774280071259	-0.023692735	No	
row_6	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	4272	0.21107789874076843	-0.026586391	No	
row_7	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	4323	0.20792634785175323	-0.0122741675	No	
row_8	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	4950	0.17259086668491364	-0.031608995	No	
row_9	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	5111	0.16362334787845612	-0.026789732	No	
row_10	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	5793	0.13069485127925873	-0.05248368	No	
row_11	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	6134	0.1166117712855339	-0.06111692	No	
row_12	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	6141	0.11632033437490463	-0.051936846	No	
row_13	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	6380	0.10585587471723557	-0.056001317	No	
row_14	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	6403	0.10472292453050613	-0.048622936	No	
row_15	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	6604	0.09676934033632278	-0.051400177	No	
row_16	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]	6850	0.08648619055747986	-0.057420503	No	
row_17	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	7818	0.05124998465180397	-0.10487683	No	
row_18	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	8241	0.03555209934711456	-0.12450982	No	
row_19	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	8567	0.02409221976995468	-0.13989855	No	
row_20	PI4KB	phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]	8981	0.009052876383066177	-0.16121523	No	
row_21	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	9601	-0.011959845200181007	-0.19329582	No	
row_22	PI4KA	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	9614	-0.01276437845081091	-0.19289415	No	
row_23	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	9730	-0.01653054542839527	-0.19768552	No	
row_24	PLCD3	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	10495	-0.04274340718984604	-0.23499551	No	
row_25	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	10835	-0.054167453199625015	-0.24867551	No	
row_26	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973]	11537	-0.07844556868076324	-0.27970502	No	
row_27	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	12171	-0.10079797357320786	-0.30527738	No	
row_28	IPMK	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]	12683	-0.11968106776475906	-0.3227921	No	
row_29	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	13023	-0.1335260570049286	-0.32999048	No	
row_30	ALDH6A1	aldehyde dehydrogenase 6 family member A1 [Source:HGNC Symbol;Acc:HGNC:7179]	13064	-0.1350512057542801	-0.3210963	No	
row_31	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	13221	-0.14213396608829498	-0.31781858	No	
row_32	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	13229	-0.14242593944072723	-0.3065597	No	
row_33	ISYNA1	inositol-3-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:29821]	13366	-0.14877580106258392	-0.30167142	No	
row_34	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13587	-0.15879571437835693	-0.30045074	No	
row_35	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	14555	-0.20855584740638733	-0.33505908	No	
row_36	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	14753	-0.21954859793186188	-0.32764804	No	
row_37	INPP5B	inositol polyphosphate-5-phosphatase B [Source:HGNC Symbol;Acc:HGNC:6077]	15201	-0.24579669535160065	-0.33144435	No	
row_38	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]	15762	-0.28989002108573914	-0.33767405	Yes	
row_39	SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	15785	-0.29167288541793823	-0.31502646	Yes	
row_40	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	15936	-0.30535033345222473	-0.29809755	Yes	
row_41	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	15983	-0.30949100852012634	-0.2752764	Yes	
row_42	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	16268	-0.3386010527610779	-0.26278794	Yes	
row_43	ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	16415	-0.35455766320228577	-0.24162638	Yes	
row_44	PLCD1	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	16420	-0.35516366362571716	-0.2128319	Yes	
row_45	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	16945	-0.43051275610923767	-0.20565361	Yes	
row_46	IPPK	inositol-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:HGNC:14645]	17335	-0.49564823508262634	-0.18594575	Yes	
