NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	513	0.7882711291313171	0.017520607	No	
row_1	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	995	0.5883768796920776	0.025354493	No	
row_2	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	2037	0.3917125463485718	-0.007961772	No	
row_3	DGKQ	diacylglycerol kinase theta [Source:HGNC Symbol;Acc:HGNC:2856]	2386	0.35361143946647644	-0.0064035184	No	
row_4	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	2525	0.34006157517433167	0.005608507	No	
row_5	DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	2679	0.32395413517951965	0.015900249	No	
row_6	IMPA1	inositol monophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:6050]	3437	0.2603316009044647	-0.009724688	No	
row_7	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	3788	0.23894762992858887	-0.014811152	No	
row_8	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	3894	0.23346774280071259	-0.0071126623	No	
row_9	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	4189	0.21609798073768616	-0.010508256	No	
row_10	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	4272	0.21107789874076843	-0.0028568192	No	
row_11	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	4323	0.20792634785175323	0.0063256063	No	
row_12	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	4453	0.1997283399105072	0.010817361	No	
row_13	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	4771	0.18224915862083435	0.0042622522	No	
row_14	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma [Source:HGNC Symbol;Acc:HGNC:23786]	4950	0.17259086668491364	0.0045872256	No	
row_15	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	5111	0.16362334787845612	0.0053631556	No	
row_16	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	5377	0.1493709236383438	-2.8671982E-4	No	
row_17	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	6134	0.1166117712855339	-0.03405269	No	
row_18	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	6141	0.11632033437490463	-0.02774119	No	
row_19	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	6380	0.10585587471723557	-0.034428783	No	
row_20	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	6403	0.10472292453050613	-0.029633874	No	
row_21	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	6604	0.09676934033632278	-0.03480812	No	
row_22	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]	6850	0.08648619055747986	-0.042974327	No	
row_23	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	6876	0.08571112900972366	-0.039423794	No	
row_24	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	7306	0.07018744200468063	-0.058355723	No	
row_25	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	7599	0.059690527617931366	-0.0705623	No	
row_26	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	7818	0.05124998465180397	-0.07929419	No	
row_27	CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	8129	0.03997443616390228	-0.09358719	No	
row_28	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8157	0.038479313254356384	-0.092836596	No	
row_29	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	8241	0.03555209934711456	-0.0952466	No	
row_30	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	8567	0.02409221976995468	-0.111247025	No	
row_31	PI4KB	phosphatidylinositol 4-kinase beta [Source:HGNC Symbol;Acc:HGNC:8984]	8981	0.009052876383066177	-0.13280934	No	
row_32	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	9601	-0.011959845200181007	-0.16521841	No	
row_33	PI4KA	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	9614	-0.01276437845081091	-0.16513212	No	
row_34	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	9730	-0.01653054542839527	-0.17033736	No	
row_35	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	9834	-0.020512398332357407	-0.17467405	No	
row_36	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	9918	-0.02353992685675621	-0.17776896	No	
row_37	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	9993	-0.02583375945687294	-0.18025194	No	
row_38	PLCD3	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	10495	-0.04274340718984604	-0.20459768	No	
