NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR3GL	RNA polymerase III subunit GL [Source:HGNC Symbol;Acc:HGNC:28466]	1138	0.5500059723854065	0.045329258	Yes	
row_1	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	1192	0.5370283126831055	0.14603256	Yes	
row_2	POLR3C	RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]	3022	0.29418182373046875	0.10518381	Yes	
row_3	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	3500	0.25662919878959656	0.12921372	Yes	
row_4	POLR2L	RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:HGNC:9199]	3676	0.2453240156173706	0.16717342	Yes	
row_5	POLR2J3	RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]	3882	0.23408347368240356	0.20136586	Yes	
row_6	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	4300	0.20940974354743958	0.21949314	Yes	
row_7	POLR2J2	RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]	4409	0.20263603329658508	0.2527972	Yes	
row_8	POLR1B	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]	4584	0.19120529294013977	0.280377	Yes	
row_9	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	4615	0.1895352452993393	0.31531608	Yes	
row_10	POLR2K	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	4714	0.18502089381217957	0.34575763	Yes	
row_11	POLR1E	RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]	5371	0.14949367940425873	0.33958533	No	
row_12	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	5966	0.12333236634731293	0.33167678	No	
row_13	POLR2G	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]	6758	0.09007130563259125	0.30684766	No	
row_14	POLR3K	RNA polymerase III subunit K [Source:HGNC Symbol;Acc:HGNC:14121]	7600	0.059689152985811234	0.27349424	No	
row_15	POLR3F	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	8331	0.03283621370792389	0.24088499	No	
row_16	POLR3H	RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349]	8772	0.016824448481202126	0.22065805	No	
row_17	POLR2E	RNA polymerase II, I and III subunit E [Source:HGNC Symbol;Acc:HGNC:9192]	8935	0.010750450193881989	0.21408917	No	
row_18	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	9067	0.006478763651102781	0.20835039	No	
row_19	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]	9330	-0.0031965873204171658	0.19499107	No	
row_20	POLR2H	RNA polymerase II, I and III subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	9698	-0.015441645868122578	0.17839152	No	
row_21	POLR1D	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	9765	-0.017916209995746613	0.17832491	No	
row_22	POLR3A	RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]	11337	-0.07166042178869247	0.10833981	No	
row_23	POLR2C	RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]	12479	-0.11127685755491257	0.06892912	No	
row_24	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	13818	-0.16928207874298096	0.030192565	No	
row_25	POLR2F	RNA polymerase II, I and III subunit F [Source:HGNC Symbol;Acc:HGNC:9193]	14105	-0.1828138828277588	0.050180364	No	
row_26	POLR2I	RNA polymerase II subunit I [Source:HGNC Symbol;Acc:HGNC:9196]	14416	-0.19995595514774323	0.07219268	No	
row_27	POLR3D	RNA polymerase III subunit D [Source:HGNC Symbol;Acc:HGNC:1080]	16090	-0.3188326060771942	0.044417527	No	
row_28	POLR1H	RNA polymerase I subunit H [Source:HGNC Symbol;Acc:HGNC:13182]	17404	-0.5122425556182861	0.073131785	No	
