NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM	Details ...	30	-0.5546855	-1.5674564	0.0	1.0	0.609	4885	tags=47%, list=26%, signal=63%	
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	Details ...	83	-0.42096636	-1.5248264	0.0	0.973294	0.732	4193	tags=34%, list=22%, signal=43%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	Details ...	25	-0.45695606	-1.52255	0.0	0.6798708	0.732	454	tags=12%, list=2%, signal=12%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	108	-0.5304589	-1.4841431	0.0	0.70328987	0.799	2719	tags=31%, list=14%, signal=37%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	Details ...	17	-0.59198534	-1.4285173	0.0	0.9771613	0.889	2533	tags=35%, list=13%, signal=41%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	64	-0.411496	-1.4169687	0.0	0.90462244	0.889	5303	tags=44%, list=28%, signal=61%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	142	-0.51943266	-1.4153234	0.0	0.78841746	0.889	2425	tags=34%, list=13%, signal=39%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	51	-0.3613509	-1.4105626	0.10663984	0.7236723	0.889	3015	tags=25%, list=16%, signal=30%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER	Details ...	38	-0.45825258	-1.4009141	0.0	0.6967689	0.889	4911	tags=42%, list=26%, signal=57%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	70	-0.36353093	-1.389239	0.0	0.6643337	0.889	3015	tags=24%, list=16%, signal=29%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	61	-0.4292882	-1.3735788	0.0	0.6628859	0.889	2800	tags=25%, list=15%, signal=29%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	72	-0.3225087	-1.3698546	0.0	0.63055867	0.889	5303	tags=39%, list=28%, signal=54%	
