NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	171	1.9836795330047607	0.19268428	Yes	
row_1	GNG10	G protein subunit gamma 10 [Source:HGNC Symbol;Acc:HGNC:4402]	544	1.4404531717300415	0.3175743	Yes	
row_2	GNB4	G protein subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:20731]	881	1.1921143531799316	0.41922686	Yes	
row_3	GNG7	G protein subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:4410]	2740	0.6386626362800598	0.37193418	No	
row_4	GNG3	G protein subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:4405]	4334	0.4001094102859497	0.31629208	No	
row_5	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	7551	0.07801113277673721	0.12926199	No	
row_6	GNG4	G protein subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:4407]	7892	0.047804318368434906	0.113538034	No	
row_7	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	8218	0.01901216059923172	0.09577644	No	
row_8	GNB5	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	8267	0.014069882221519947	0.094305985	No	
row_9	LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	8920	-0.038332268595695496	0.058693036	No	
row_10	GNG5	G protein subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:4408]	10153	-0.14030112326145172	-0.0016528651	No	
row_11	CFL2	cofilin 2 [Source:HGNC Symbol;Acc:HGNC:1875]	10180	-0.14303532242774963	0.011411911	No	
row_12	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	10762	-0.19513247907161713	-0.0038452607	No	
row_13	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	10794	-0.19724352657794952	0.014465184	No	
row_14	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	12206	-0.34078744053840637	-0.03621293	No	
row_15	CXCR4	C-X-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:2561]	13456	-0.49962979555130005	-0.060808063	No	
row_16	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	13567	-0.5162128210067749	-0.014637747	No	
row_17	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	15010	-0.8093633055686951	-0.019231265	No	
row_18	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	15616	-1.075287103652954	0.054150686	No	
