NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	177	1.9524857997894287	0.036654018	No	
row_1	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	323	1.6937698125839233	0.06897041	No	
row_2	PDGFD	platelet derived growth factor D [Source:HGNC Symbol;Acc:HGNC:30620]	568	1.4205349683761597	0.08863749	No	
row_3	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	711	1.3068640232086182	0.11174176	No	
row_4	FGF17	fibroblast growth factor 17 [Source:HGNC Symbol;Acc:HGNC:3673]	1070	1.098728895187378	0.11666881	No	
row_5	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1189	1.049322485923767	0.13497792	No	
row_6	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	2138	0.7573727369308472	0.095769905	No	
row_7	FGF8	fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686]	2159	0.754257321357727	0.11286877	No	
row_8	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	2342	0.7116403579711914	0.11909022	No	
row_9	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	4631	0.3629770576953888	-0.011108478	No	
row_10	FLT3LG	fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]	4761	0.3457373082637787	-0.01055134	No	
row_11	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	5046	0.3110339045524597	-0.02025417	No	
row_12	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	5088	0.307270884513855	-0.015284411	No	
