NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	101	2.201996088027954	0.22441953	Yes	
row_1	TUBA1A	tubulin alpha 1a [Source:HGNC Symbol;Acc:HGNC:20766]	1139	1.0679291486740112	0.27335382	Yes	
row_2	TUBB4B	tubulin beta 4B class IVb [Source:HGNC Symbol;Acc:HGNC:20771]	1156	1.0594202280044556	0.3833023	Yes	
row_3	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	1212	1.0377432107925415	0.4886166	Yes	
row_4	TUBB2A	tubulin beta 2A class IIa [Source:HGNC Symbol;Acc:HGNC:12412]	2741	0.6384282112121582	0.46281302	Yes	
row_5	TUBB2B	tubulin beta 2B class IIb [Source:HGNC Symbol;Acc:HGNC:30829]	3500	0.5163670778274536	0.47091645	Yes	
row_6	TUBA1B	tubulin alpha 1b [Source:HGNC Symbol;Acc:HGNC:18809]	3923	0.4536212682723999	0.4928228	Yes	
row_7	TUBB6	tubulin beta 6 class V [Source:HGNC Symbol;Acc:HGNC:20776]	7132	0.11564423143863678	0.3104237	No	
row_8	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	7654	0.06939642131328583	0.28610015	No	
row_9	TUBA1C	tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]	8782	-0.026985598728060722	0.22059347	No	
row_10	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	8816	-0.02910848893225193	0.2216402	No	
row_11	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	9813	-0.11511969566345215	0.17330368	No	
row_12	TUBA3D	tubulin alpha 3d [Source:HGNC Symbol;Acc:HGNC:24071]	10141	-0.1397065669298172	0.16810401	No	
row_13	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	10827	-0.1995282769203186	0.14746132	No	
row_14	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]	12047	-0.3218960464000702	0.10725287	No	
row_15	TUBA3E	tubulin alpha 3e [Source:HGNC Symbol;Acc:HGNC:20765]	12455	-0.37130093574523926	0.12144999	No	
row_16	TUBA8	tubulin alpha 8 [Source:HGNC Symbol;Acc:HGNC:12410]	15780	-1.1871403455734253	0.04420049	No	
