NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	4751	0.34697389602661133	-0.2476462	No	
row_1	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	5574	0.2559826076030731	-0.26754043	No	
row_2	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	5815	0.234441876411438	-0.25464228	No	
row_3	NUP210	nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]	6136	0.20318038761615753	-0.2502603	No	
row_4	GLE1	GLE1 RNA export mediator [Source:HGNC Symbol;Acc:HGNC:4315]	6636	0.1585913747549057	-0.2619629	No	
row_5	NUP35	nucleoporin 35 [Source:HGNC Symbol;Acc:HGNC:29797]	6722	0.1503334641456604	-0.2495114	No	
row_6	SEH1L	SEH1 like nucleoporin [Source:HGNC Symbol;Acc:HGNC:30379]	8286	0.012676702812314034	-0.34286875	No	
row_7	RANBP2	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]	8464	-6.652557640336454E-4	-0.35353112	No	
row_8	NUP107	nucleoporin 107 [Source:HGNC Symbol;Acc:HGNC:29914]	8550	-0.008668041788041592	-0.35767356	No	
row_9	NUP43	nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]	8622	-0.014794982969760895	-0.3602488	No	
row_10	NUP54	nucleoporin 54 [Source:HGNC Symbol;Acc:HGNC:17359]	10264	-0.15136073529720306	-0.44209448	No	
row_11	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	10628	-0.18292275071144104	-0.4426946	Yes	
row_12	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	10644	-0.18431028723716736	-0.42201567	Yes	
row_13	NUP214	nucleoporin 214 [Source:HGNC Symbol;Acc:HGNC:8064]	10727	-0.19225668907165527	-0.4044715	Yes	
row_14	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	10732	-0.19263999164104462	-0.3821494	Yes	
row_15	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	10952	-0.21012195944786072	-0.3708257	Yes	
row_16	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	11103	-0.22306746244430542	-0.35379872	Yes	
row_17	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	11684	-0.27997612953186035	-0.356198	Yes	
row_18	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	11731	-0.28505709767341614	-0.32559922	Yes	
row_19	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	11848	-0.29994502663612366	-0.29750413	Yes	
row_20	NUP155	nucleoporin 155 [Source:HGNC Symbol;Acc:HGNC:8063]	12369	-0.3607253432273865	-0.2868041	Yes	
row_21	NXT2	nuclear transport factor 2 like export factor 2 [Source:HGNC Symbol;Acc:HGNC:18151]	12784	-0.4080491364002228	-0.26412877	Yes	
row_22	NXT1	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]	12879	-0.4183356761932373	-0.2208311	Yes	
row_23	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	12959	-0.42888209223747253	-0.17538786	Yes	
row_24	NUP205	nucleoporin 205 [Source:HGNC Symbol;Acc:HGNC:18658]	13255	-0.46762436628341675	-0.13851336	Yes	
row_25	DDX19B	DEAD-box helicase 19B [Source:HGNC Symbol;Acc:HGNC:2742]	13324	-0.47871488332748413	-0.086565495	Yes	
row_26	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	13536	-0.5124923586845398	-0.03933831	Yes	
row_27	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	13916	-0.57200026512146	0.0046651405	Yes	
row_28	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	14146	-0.609664797782898	0.06218235	Yes	
row_29	NUP160	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]	14528	-0.6927327513694763	0.120206386	Yes	
