NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY	Details ...	22	-0.49295685	-1.4163462	0.0	1.0	0.85	614	tags=18%, list=4%, signal=19%	
KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY	Details ...	29	-0.44161817	-1.3246812	0.0	1.0	1.0	3818	tags=55%, list=23%, signal=72%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	Details ...	58	-0.47819793	-1.3239857	0.0	1.0	1.0	2185	tags=38%, list=13%, signal=44%	
KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1	KEGG_MEDICUS_REFERENCE_AUTOPHAGY_VESICLE_NUCLEATION_ELONGATION_MATURATION_MTORC1_PI3KC3_C1	Details ...	16	-0.56909096	-1.3221561	0.0	1.0	1.0	4687	tags=50%, list=28%, signal=70%	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP	Details ...	15	-0.6579013	-1.3216159	0.0	1.0	1.0	2185	tags=60%, list=13%, signal=69%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	Details ...	21	-0.52561176	-1.3175741	0.0	1.0	1.0	1520	tags=24%, list=9%, signal=26%	
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	Details ...	27	-0.3827713	-1.3023849	0.0	1.0	1.0	965	tags=19%, list=6%, signal=20%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY	Details ...	21	-0.4988092	-1.260039	0.22265625	1.0	1.0	1553	tags=24%, list=9%, signal=26%	
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	Details ...	32	-0.4442628	-1.2593882	0.20507812	1.0	1.0	2149	tags=38%, list=13%, signal=43%	
KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNAI_AC_PKA_SIGNALING_PATHWAY	Details ...	21	-0.4022612	-1.2576797	0.29821074	1.0	1.0	1520	tags=19%, list=9%, signal=21%	
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	Details ...	51	-0.48198247	-1.2540065	0.0	1.0	1.0	2149	tags=39%, list=13%, signal=45%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_AGE_RAGE_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_AGE_RAGE_SIGNALING_PATHWAY	Details ...	15	-0.57912433	-1.2524271	0.09542744	1.0	1.0	2185	tags=27%, list=13%, signal=31%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_MET_TO_RAS_ERK_SIGNALING_PATHWAY	Details ...	15	-0.6075759	-1.2521673	0.09542744	1.0	1.0	3586	tags=47%, list=22%, signal=60%	
KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA	KEGG_MEDICUS_REFERENCE_NUCLEAR_EXPORT_OF_MRNA	Details ...	30	-0.4641212	-1.2521293	0.19381443	1.0	1.0	5883	tags=63%, list=36%, signal=98%	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	Details ...	20	-0.6630074	-1.2514663	0.119140625	1.0	1.0	2623	tags=60%, list=16%, signal=71%	
