NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP19	centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]	157	2.018523693084717	0.019960804	Yes	
row_1	CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]	348	1.6634819507598877	0.032706726	Yes	
row_2	AGBL2	AGBL carboxypeptidase 2 [Source:HGNC Symbol;Acc:HGNC:26296]	419	1.5713987350463867	0.051437125	Yes	
row_3	WDR62	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	467	1.513158917427063	0.07072023	Yes	
row_4	STARD9	StAR related lipid transfer domain containing 9 [Source:HGNC Symbol;Acc:HGNC:19162]	567	1.4241851568222046	0.085523106	Yes	
row_5	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	618	1.37037193775177	0.10253227	Yes	
row_6	CCDC102B	coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]	683	1.3277963399887085	0.11806257	Yes	
row_7	CIBAR1	CBY1 interacting BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30452]	709	1.308212399482727	0.13568926	Yes	
row_8	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	855	1.2064419984817505	0.14449315	Yes	
row_9	TEDC1	tubulin epsilon and delta complex 1 [Source:HGNC Symbol;Acc:HGNC:20127]	978	1.1401265859603882	0.15373151	Yes	
row_10	FBF1	Fas binding factor 1 [Source:HGNC Symbol;Acc:HGNC:24674]	1037	1.111948847770691	0.1664681	Yes	
row_11	TSGA10	testis specific 10 [Source:HGNC Symbol;Acc:HGNC:14927]	1198	1.0457271337509155	0.17200227	Yes	
row_12	CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	1224	1.034244179725647	0.18561763	Yes	
row_13	DZIP1	DAZ interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:20908]	1417	0.9547485113143921	0.18786433	Yes	
row_14	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	1465	0.9365590214729309	0.19870508	Yes	
row_15	LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1 [Source:HGNC Symbol;Acc:HGNC:29373]	1489	0.9309722185134888	0.21093059	Yes	
row_16	AHI1	Abelson helper integration site 1 [Source:HGNC Symbol;Acc:HGNC:21575]	1731	0.8605589866638184	0.20880401	Yes	
row_17	SFI1	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	1933	0.8041478991508484	0.20829572	Yes	
row_18	CETN2	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	2097	0.7685670852661133	0.20958851	Yes	
row_19	ODAD3	outer dynein arm docking complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:28303]	2135	0.7584665417671204	0.21843275	Yes	
row_20	CEP97	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]	2143	0.7568994164466858	0.22908725	Yes	
row_21	KIF3A	kinesin family member 3A [Source:HGNC Symbol;Acc:HGNC:6319]	2216	0.7377808094024658	0.23548992	Yes	
row_22	CEP164	centrosomal protein 164 [Source:HGNC Symbol;Acc:HGNC:29182]	2337	0.7129612565040588	0.2385961	Yes	
row_23	TSKS	testis specific serine kinase substrate [Source:HGNC Symbol;Acc:HGNC:30719]	2372	0.7064967751502991	0.24686275	Yes	
row_24	CEP78	centrosomal protein 78 [Source:HGNC Symbol;Acc:HGNC:25740]	2402	0.6995370388031006	0.25533304	Yes	
row_25	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	2412	0.6978534460067749	0.2650008	Yes	
row_26	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	2436	0.6917872428894043	0.27372423	Yes	
row_27	CROCC	ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:HGNC:21299]	2461	0.6865989565849304	0.2823106	Yes	
row_28	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2527	0.6736485362052917	0.28820202	Yes	
row_29	ARMC9	armadillo repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:20730]	2616	0.6614342927932739	0.29250914	Yes	
row_30	IFT43	intraflagellar transport 43 [Source:HGNC Symbol;Acc:HGNC:29669]	2984	0.5983588695526123	0.27884418	Yes	
row_31	CETN3	centrin 3 [Source:HGNC Symbol;Acc:HGNC:1868]	3032	0.5898882150650024	0.2846091	Yes	
row_32	BBS4	Bardet-Biedl syndrome 4 [Source:HGNC Symbol;Acc:HGNC:969]	3062	0.5847614407539368	0.29139888	Yes	
row_33	MDM1	Mdm1 nuclear protein [Source:HGNC Symbol;Acc:HGNC:29917]	3127	0.5725105404853821	0.2958706	Yes	
row_34	DYNC2I2	dynein 2 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:28296]	3139	0.5706517100334167	0.3035537	Yes	
row_35	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]	3228	0.5569444894790649	0.30633092	Yes	
row_36	DZIP1L	DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]	3391	0.5326810479164124	0.30423108	No	
row_37	CPLANE2	ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]	3827	0.4666000306606293	0.28448173	No	
row_38	CNTROB	centrobin, centriole duplication and spindle assembly protein [Source:HGNC Symbol;Acc:HGNC:29616]	4104	0.4323444068431854	0.27394667	No	
row_39	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	4111	0.4316752552986145	0.27990046	No	
row_40	CBY1	chibby family member 1, beta catenin antagonist [Source:HGNC Symbol;Acc:HGNC:1307]	4359	0.39802685379981995	0.27063504	No	
row_41	TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	4576	0.369671106338501	0.26284873	No	
row_42	CEP162	centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]	4788	0.34282386302948	0.25497484	No	
row_43	IFT52	intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901]	4801	0.34071770310401917	0.25923023	No	
row_44	TOPORS	TOP1 binding arginine/serine rich protein, E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:21653]	4857	0.3326742649078369	0.2607403	No	
row_45	NEDD1	NEDD1 gamma-tubulin ring complex targeting factor [Source:HGNC Symbol;Acc:HGNC:7723]	5069	0.30904635787010193	0.25237188	No	
