NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	201	1.8897055387496948	0.0778422	No	
row_1	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	318	1.696988821029663	0.15166026	No	
row_2	CNFN	cornifelin [Source:HGNC Symbol;Acc:HGNC:30183]	974	1.1418466567993164	0.16631675	No	
row_3	CYSRT1	cysteine rich tail 1 [Source:HGNC Symbol;Acc:HGNC:30529]	1970	0.794395923614502	0.14378442	No	
row_4	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	3915	0.4552619159221649	0.047501158	No	
row_5	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	4725	0.3501056730747223	0.015087152	No	
row_6	PKP4	plakophilin 4 [Source:HGNC Symbol;Acc:HGNC:9026]	5052	0.3107636570930481	0.010110397	No	
row_7	KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	6594	0.16192032396793365	-0.075693086	No	
row_8	KAZN	kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]	6724	0.15023651719093323	-0.07636327	No	
row_9	EVPL	envoplakin [Source:HGNC Symbol;Acc:HGNC:3503]	7229	0.10725964605808258	-0.10183883	No	
row_10	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	7290	0.10122848302125931	-0.10065673	No	
row_11	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	7750	0.060426704585552216	-0.12563285	No	
row_12	KLK6	kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]	8075	0.030431007966399193	-0.14384547	No	
row_13	KRT77	keratin 77 [Source:HGNC Symbol;Acc:HGNC:20411]	8455	0.0	-0.16684583	No	
row_14	KRT1	keratin 1 [Source:HGNC Symbol;Acc:HGNC:6412]	8925	-0.03860888630151749	-0.19346839	No	
row_15	DSC1	desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035]	9247	-0.06696232408285141	-0.20975831	No	
row_16	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	9756	-0.11040191352367401	-0.23532689	No	
row_17	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	10075	-0.13481022417545319	-0.24820194	No	
row_18	DSC3	desmocollin 3 [Source:HGNC Symbol;Acc:HGNC:3037]	10397	-0.16279591619968414	-0.25992557	No	
row_19	KRT10	keratin 10 [Source:HGNC Symbol;Acc:HGNC:6413]	11003	-0.21443237364292145	-0.28642398	No	
row_20	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	11444	-0.25800299644470215	-0.300833	No	
row_21	DSG2	desmoglein 2 [Source:HGNC Symbol;Acc:HGNC:3049]	11815	-0.29482731223106384	-0.3092393	No	
row_22	CAPN1	calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]	12998	-0.43537721037864685	-0.36022654	No	
row_23	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	13429	-0.49542924761772156	-0.36271584	No	
row_24	NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	13556	-0.5146350860595703	-0.34584117	No	
row_25	PKP3	plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]	13912	-0.5710389614105225	-0.3401763	No	
row_26	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	14494	-0.6848624348640442	-0.34280327	No	
row_27	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	15887	-1.2543096542358398	-0.36751446	Yes	
row_28	KRT14	keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]	15901	-1.262381672859192	-0.30815372	Yes	
row_29	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	16161	-1.581438660621643	-0.24851958	Yes	
row_30	KRT17	keratin 17 [Source:HGNC Symbol;Acc:HGNC:6427]	16449	-2.6355700492858887	-0.14035767	Yes	
row_31	CASP14	caspase 14 [Source:HGNC Symbol;Acc:HGNC:1502]	16484	-3.0208778381347656	0.0015171043	Yes	
