NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPB1	heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]	201	1.8897055387496948	0.011544972	No	
row_1	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	213	1.868412733078003	0.034409218	No	
row_2	SCN3B	sodium voltage-gated channel beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:20665]	275	1.7588096857070923	0.052843533	No	
row_3	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	501	1.4812982082366943	0.0577804	No	
row_4	PRKD1	protein kinase D1 [Source:HGNC Symbol;Acc:HGNC:9407]	842	1.214188575744629	0.05233919	No	
row_5	JPH1	junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]	1000	1.1307226419448853	0.057007197	No	
row_6	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1011	1.1240671873092651	0.070556425	No	
row_7	NOS1AP	nitric oxide synthase 1 adaptor protein [Source:HGNC Symbol;Acc:HGNC:16859]	1050	1.1085467338562012	0.082202524	No	
row_8	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1077	1.0976241827011108	0.09444288	No	
row_9	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	1377	0.9710901379585266	0.088439986	No	
row_10	SYNC	syncoilin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:28897]	1802	0.8385165333747864	0.07314381	No	
row_11	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	1831	0.8304973840713501	0.081897385	No	
row_12	CAVIN4	caveolae associated protein 4 [Source:HGNC Symbol;Acc:HGNC:33742]	1929	0.8052147626876831	0.0861244	No	
row_13	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	2781	0.6312856674194336	0.04217653	No	
row_14	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	2782	0.6309289932250977	0.050123904	No	
row_15	FBXO32	F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]	3084	0.5800381898880005	0.039073225	No	
row_16	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	3089	0.5789871215820312	0.04612238	No	
row_17	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	3287	0.5500068664550781	0.041036043	No	
row_18	PDLIM7	PDZ and LIM domain 7 [Source:HGNC Symbol;Acc:HGNC:22958]	3561	0.5050587058067322	0.03074853	No	
row_19	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	3748	0.4780309796333313	0.025426416	No	
row_20	RTN2	reticulon 2 [Source:HGNC Symbol;Acc:HGNC:10468]	4702	0.35308966040611267	-0.028246349	No	
row_21	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	5038	0.3127073347568512	-0.044737957	No	
