NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	164	1.9937320947647095	0.14317659	Yes	
row_1	PKD2	polycystin 2, transient receptor potential cation channel [Source:HGNC Symbol;Acc:HGNC:9009]	234	1.8261700868606567	0.2792458	Yes	
row_2	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	533	1.454269528388977	0.3728633	Yes	
row_3	PAM16	presequence translocase associated motor 16 [Source:HGNC Symbol;Acc:HGNC:29679]	1873	0.820127546787262	0.3546404	Yes	
row_4	SPPL2A	signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]	2279	0.7231025099754333	0.38561302	Yes	
row_5	DNAJC19	DnaJ heat shock protein family (Hsp40) member C19 [Source:HGNC Symbol;Acc:HGNC:30528]	2318	0.7164400815963745	0.43833256	Yes	
row_6	SPPL2B	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]	4232	0.4150508642196655	0.35418564	No	
row_7	SPPL3	signal peptide peptidase like 3 [Source:HGNC Symbol;Acc:HGNC:30424]	5975	0.22005921602249146	0.2654341	No	
row_8	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:15899]	6046	0.21245776116847992	0.27750584	No	
row_9	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	7028	0.12458842992782593	0.22757669	No	
row_10	CTSA	cathepsin A [Source:HGNC Symbol;Acc:HGNC:9251]	7838	0.05286067724227905	0.18257053	No	
row_11	AQP2	aquaporin 2 [Source:HGNC Symbol;Acc:HGNC:634]	9553	-0.0926039069890976	0.08572833	No	
row_12	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	10247	-0.14995571970939636	0.055214707	No	
row_13	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	11122	-0.2250768095254898	0.019492874	No	
row_14	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	12154	-0.3347207307815552	-0.017330129	No	
row_15	NOA1	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	12192	-0.3396822214126587	0.006514192	No	
row_16	HM13	histocompatibility minor 13 [Source:HGNC Symbol;Acc:HGNC:16435]	12260	-0.3491910696029663	0.029269308	No	
row_17	COA8	cytochrome c oxidase assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:20492]	12924	-0.4249526858329773	0.021695592	No	
row_18	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	13406	-0.4909416735172272	0.030228311	No	
row_19	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	14009	-0.5860604047775269	0.038727697	No	
row_20	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	14049	-0.592225968837738	0.08184666	No	
row_21	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	15202	-0.8761729598045349	0.07926977	No	
