NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	638	1.355065941810608	0.08383882	No	
row_1	MYH7B	myosin heavy chain 7B [Source:HGNC Symbol;Acc:HGNC:15906]	716	1.304931402206421	0.19715704	No	
row_2	MYL5	myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586]	3055	0.5854143500328064	0.10833932	No	
row_3	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	6076	0.20972774922847748	-0.055794835	No	
row_4	MYL11	myosin light chain 11 [Source:HGNC Symbol;Acc:HGNC:29824]	6781	0.14549578726291656	-0.08532188	No	
row_5	MYO18B	myosin XVIIIB [Source:HGNC Symbol;Acc:HGNC:18150]	7295	0.10094143450260162	-0.10729739	No	
row_6	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	7715	0.06351669877767563	-0.12695764	No	
row_7	MYL6	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	10510	-0.17150132358074188	-0.28084612	No	
row_8	MYL6B	myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]	10546	-0.175064355134964	-0.2671395	No	
row_9	MYH10	myosin heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:7568]	12118	-0.33077096939086914	-0.3324793	No	
row_10	MYH9	myosin heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:7579]	13296	-0.47287648916244507	-0.361083	No	
row_11	MYO18A	myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]	15261	-0.9050847887992859	-0.39832252	Yes	
row_12	MYH3	myosin heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:7573]	15281	-0.9144331216812134	-0.3167951	Yes	
row_13	MYL4	myosin light chain 4 [Source:HGNC Symbol;Acc:HGNC:7585]	15303	-0.9248731136322021	-0.23444505	Yes	
row_14	MYL9	myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]	15369	-0.9537853002548218	-0.15214849	Yes	
row_15	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	16422	-2.4465157985687256	0.0052747573	Yes	
