NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	229	1.830818772315979	0.19295856	Yes	
row_1	CBX6	chromobox 6 [Source:HGNC Symbol;Acc:HGNC:1556]	1062	1.1019344329833984	0.26701298	Yes	
row_2	CBX2	chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]	1164	1.05683171749115	0.38028824	Yes	
row_3	CBX7	chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]	1567	0.9087928533554077	0.45859048	Yes	
row_4	CBX4	chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]	4056	0.4375353157520294	0.3571886	No	
row_5	PCGF2	polycomb group ring finger 2 [Source:HGNC Symbol;Acc:HGNC:12929]	6219	0.19597181677818298	0.24825902	No	
row_6	BMI1	BMI1 proto-oncogene, polycomb ring finger [Source:HGNC Symbol;Acc:HGNC:1066]	6401	0.1784961074590683	0.25745207	No	
row_7	PCGF6	polycomb group ring finger 6 [Source:HGNC Symbol;Acc:HGNC:21156]	6552	0.1661531925201416	0.26713	No	
row_8	PCGF3	polycomb group ring finger 3 [Source:HGNC Symbol;Acc:HGNC:10066]	8087	0.029531817883253098	0.17746855	No	
row_9	CBX8	chromobox 8 [Source:HGNC Symbol;Acc:HGNC:15962]	8232	0.017406834289431572	0.17070521	No	
row_10	RNF2	ring finger protein 2 [Source:HGNC Symbol;Acc:HGNC:10061]	11302	-0.2432285100221634	0.012128212	No	
row_11	PCGF1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]	12169	-0.33629029989242554	-0.0023792644	No	
row_12	PHC3	polyhomeotic homolog 3 [Source:HGNC Symbol;Acc:HGNC:15682]	12509	-0.37692520022392273	0.019653171	No	
row_13	PHC2	polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]	14097	-0.6008453369140625	-0.00867572	No	
row_14	PHC1	polyhomeotic homolog 1 [Source:HGNC Symbol;Acc:HGNC:3182]	16003	-1.3705466985702515	0.030675862	No	
