NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	39	2.561852216720581	0.020713707	No	
row_1	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	424	1.5671709775924683	0.011278144	No	
row_2	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	513	1.4692457914352417	0.019128848	No	
row_3	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	554	1.4317419528961182	0.029587682	No	
row_4	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	730	1.294935703277588	0.030525753	No	
row_5	RFX5	regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]	731	1.294722557067871	0.04220403	No	
row_6	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1239	1.0271317958831787	0.020347182	No	
row_7	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1570	0.9080725312232971	0.008281328	No	
row_8	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	1681	0.8742250800132751	0.009414561	No	
row_9	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	1766	0.8503638505935669	0.011928542	No	
row_10	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	1793	0.8415213227272034	0.017923012	No	
row_11	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	1930	0.8050318360328674	0.016836155	No	
row_12	ENY2	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	1957	0.7975953817367554	0.022434417	No	
row_13	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	1964	0.7957264184951782	0.029243493	No	
row_14	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	2100	0.7672200202941895	0.027876962	No	
row_15	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	2452	0.6900044679641724	0.012555098	No	
row_16	GTF2A1L	general transcription factor IIA subunit 1 like [Source:HGNC Symbol;Acc:HGNC:30727]	2506	0.6782099008560181	0.015419158	No	
row_17	GTF2A1	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	2551	0.669734537601471	0.018759223	No	
row_18	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2633	0.6578192710876465	0.019720621	No	
row_19	TAF7	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	2665	0.652707040309906	0.023705086	No	
row_20	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	2686	0.6483989953994751	0.028325912	No	
row_21	POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	2733	0.6393857598304749	0.03126947	No	
row_22	MED21	mediator complex subunit 21 [Source:HGNC Symbol;Acc:HGNC:11473]	2767	0.6331040263175964	0.034954347	No	
row_23	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2818	0.6250917315483093	0.037523437	No	
row_24	TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	2886	0.6153901815414429	0.038961496	No	
