NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	169	1.9857947826385498	0.012443375	No	
row_1	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	496	1.4860382080078125	0.00954992	No	
row_2	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	643	1.3520753383636475	0.016130168	No	
row_3	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	679	1.3289352655410767	0.029234774	No	
row_4	MTM1	myotubularin 1 [Source:HGNC Symbol;Acc:HGNC:7448]	1011	1.1240671873092651	0.021882942	No	
row_5	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1027	1.1141111850738525	0.033746477	No	
row_6	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1359	0.9795426726341248	0.024736663	No	
row_7	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1479	0.9327511191368103	0.028158002	No	
row_8	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1865	0.8222158551216125	0.014040177	No	
row_9	KLHL2	kelch like family member 2 [Source:HGNC Symbol;Acc:HGNC:6353]	2012	0.7850347757339478	0.014115336	No	
row_10	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	2080	0.7708207368850708	0.018859828	No	
row_11	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	2350	0.7107112407684326	0.0105584925	No	
row_12	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	2528	0.6735774278640747	0.007458757	No	
row_13	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	2677	0.6513434052467346	0.0058778706	No	
row_14	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	2936	0.607607901096344	-0.0029334011	No	
row_15	ITGB1BP1	integrin subunit beta 1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23927]	3340	0.5410876274108887	-0.021377381	No	
row_16	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	3434	0.5267510414123535	-0.021023264	No	
row_17	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3444	0.5250130295753479	-0.0155508425	No	
row_18	APPL1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]	3454	0.5229517817497253	-0.010102067	No	
