NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	496	1.4860382080078125	-0.0015254773	No	
row_1	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	679	1.3289352655410767	0.013038899	No	
row_2	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	1359	0.9795426726341248	-0.00940594	No	
row_3	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1479	0.9327511191368103	0.0013488437	No	
row_4	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1865	0.8222158551216125	-0.0062284153	No	
row_5	C2CD5	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	2350	0.7107112407684326	-0.021986518	No	
row_6	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	2528	0.6735774278640747	-0.019765712	No	
row_7	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	2677	0.6513434052467346	-0.01620798	No	
row_8	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	2936	0.607607901096344	-0.020193059	No	
row_9	PLA2G4F	phospholipase A2 group IVF [Source:HGNC Symbol;Acc:HGNC:27396]	3434	0.5267510414123535	-0.04029317	No	
row_10	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]	3444	0.5250130295753479	-0.030708773	No	
row_11	IFIT5	interferon induced protein with tetratricopeptide repeats 5 [Source:HGNC Symbol;Acc:HGNC:13328]	3627	0.4950065612792969	-0.032238778	No	
row_12	FGD5	FYVE, RhoGEF and PH domain containing 5 [Source:HGNC Symbol;Acc:HGNC:19117]	3808	0.4686262011528015	-0.034156114	No	
row_13	MTMR9	myotubularin related protein 9 [Source:HGNC Symbol;Acc:HGNC:14596]	3919	0.4546454846858978	-0.032080438	No	
