NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK5R2	cyclin dependent kinase 5 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:1776]	79	2.2755281925201416	0.022522982	Yes	
row_1	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	101	2.201996088027954	0.047705065	Yes	
row_2	ANG	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	153	2.026374101638794	0.06894392	Yes	
row_3	CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	204	1.8823316097259521	0.08851267	Yes	
row_4	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	213	1.868412733078003	0.11047964	Yes	
row_5	RTN4R	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]	217	1.847636342048645	0.13250233	Yes	
row_6	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	304	1.7165546417236328	0.14787968	Yes	
row_7	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	432	1.5549721717834473	0.15881059	Yes	
row_8	GPRIN1	G protein regulated inducer of neurite outgrowth 1 [Source:HGNC Symbol;Acc:HGNC:24835]	449	1.5334203243255615	0.17626277	Yes	
row_9	ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	500	1.4826478958129883	0.1910279	Yes	
row_10	SCN11A	sodium voltage-gated channel alpha subunit 11 [Source:HGNC Symbol;Acc:HGNC:10583]	569	1.4187155961990356	0.20392513	Yes	
row_11	MYH14	myosin heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:23212]	638	1.355065941810608	0.2160574	Yes	
row_12	AUTS2	activator of transcription and developmental regulator AUTS2 [Source:HGNC Symbol;Acc:HGNC:14262]	670	1.335024118423462	0.23020889	Yes	
row_13	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	711	1.3068640232086182	0.24347217	Yes	
row_14	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]	748	1.2856402397155762	0.25672472	Yes	
row_15	AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	884	1.1886274814605713	0.26276404	Yes	
row_16	FSCN1	fascin actin-bundling protein 1 [Source:HGNC Symbol;Acc:HGNC:11148]	1027	1.1141111850738525	0.26748016	Yes	
row_17	C9orf72	C9orf72-SMCR8 complex subunit [Source:HGNC Symbol;Acc:HGNC:28337]	1230	1.030205488204956	0.26752287	Yes	
row_18	EXOC6	exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196]	1270	1.0131031274795532	0.27731666	Yes	
row_19	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	1274	1.0108706951141357	0.28928262	Yes	
row_20	STMN3	stathmin 3 [Source:HGNC Symbol;Acc:HGNC:15926]	1296	1.002421259880066	0.30004755	Yes	
row_21	DISC1	DISC1 scaffold protein [Source:HGNC Symbol;Acc:HGNC:2888]	1650	0.8846121430397034	0.2891168	Yes	
row_22	SLC2A13	solute carrier family 2 member 13 [Source:HGNC Symbol;Acc:HGNC:15956]	1787	0.8424729108810425	0.29093474	Yes	
row_23	CDK5	cyclin dependent kinase 5 [Source:HGNC Symbol;Acc:HGNC:1774]	1866	0.8220409750938416	0.29604998	Yes	
row_24	WDR47	WD repeat domain 47 [Source:HGNC Symbol;Acc:HGNC:29141]	2171	0.7515470385551453	0.28651306	Yes	
row_25	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	2412	0.6978534460067749	0.2802402	Yes	
row_26	MAP3K12	mitogen-activated protein kinase kinase kinase 12 [Source:HGNC Symbol;Acc:HGNC:6851]	2427	0.6937034726142883	0.28772235	Yes	
row_27	HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	2436	0.6917872428894043	0.295548	Yes	
row_28	KIF21B	kinesin family member 21B [Source:HGNC Symbol;Acc:HGNC:29442]	2515	0.6753444075584412	0.29890013	Yes	
row_29	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2527	0.6736485362052917	0.3063245	Yes	
row_30	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	2545	0.6707673072814941	0.31334773	Yes	
row_31	PCDHGB1	protocadherin gamma subfamily B, 1 [Source:HGNC Symbol;Acc:HGNC:8708]	2559	0.6693034172058105	0.3205977	Yes	
row_32	CIB1	calcium and integrin binding 1 [Source:HGNC Symbol;Acc:HGNC:16920]	2677	0.6513434052467346	0.32127917	Yes	
row_33	DBN1	drebrin 1 [Source:HGNC Symbol;Acc:HGNC:2695]	3047	0.5869832038879395	0.305794	No	
row_34	PREX1	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:32594]	3353	0.5391054153442383	0.29364276	No	
row_35	ZFYVE27	zinc finger FYVE-type containing 27 [Source:HGNC Symbol;Acc:HGNC:26559]	3435	0.5266384482383728	0.29502442	No	
row_36	NGEF	neuronal guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:7807]	3475	0.5202235579490662	0.29889452	No	
row_37	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	3781	0.4731864333152771	0.28595102	No	
row_38	DTNBP1	dystrobrevin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17328]	3788	0.4717962443828583	0.29125485	No	
row_39	TOR1A	torsin family 1 member A [Source:HGNC Symbol;Acc:HGNC:3098]	3865	0.4621586501598358	0.29216698	No	
row_40	BOC	BOC cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17173]	3963	0.4492243230342865	0.2916409	No	
row_41	FSCN3	fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]	4183	0.4225151538848877	0.28334162	No	
row_42	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	4222	0.41668665409088135	0.28602841	No	
row_43	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	4328	0.40054064989089966	0.28442857	No	
row_44	EPS8	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	4952	0.3218085467815399	0.25024113	No	
row_45	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	4977	0.31929799914360046	0.25261262	No	
row_46	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	5260	0.2882828116416931	0.2388518	No	
row_47	PPP1R9B	protein phosphatase 1 regulatory subunit 9B [Source:HGNC Symbol;Acc:HGNC:9298]	5272	0.28757643699645996	0.24163614	No	
row_48	ARPC3	actin related protein 2/3 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:706]	5283	0.28652599453926086	0.24446893	No	
row_49	SETX	senataxin [Source:HGNC Symbol;Acc:HGNC:445]	5378	0.2768170237541199	0.24205402	No	
row_50	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	5704	0.24485252797603607	0.22514461	No	
row_51	LMTK2	lemur tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:17880]	5829	0.23331038653850555	0.2203743	No	
row_52	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	5870	0.22901174426078796	0.22068335	No	
row_53	EXOC8	exocyst complex component 8 [Source:HGNC Symbol;Acc:HGNC:24659]	5932	0.2236279398202896	0.21964493	No	
row_54	CBARP	CACN subunit beta associated regulatory protein [Source:HGNC Symbol;Acc:HGNC:28617]	6108	0.2058693766593933	0.21142957	No	
row_55	FMR1	fragile X messenger ribonucleoprotein 1 [Source:HGNC Symbol;Acc:HGNC:3775]	6245	0.1928822249174118	0.20544036	No	
row_56	KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	6307	0.18729321658611298	0.20396525	No	
row_57	SYAP1	synapse associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16273]	6704	0.15269002318382263	0.18161125	No	
row_58	EXOC7	exocyst complex component 7 [Source:HGNC Symbol;Acc:HGNC:23214]	7257	0.10440797358751297	0.14914793	No	
row_59	RUFY3	RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]	7407	0.0904175415635109	0.14113316	No	
row_60	PTPRS	protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]	7476	0.08420199155807495	0.13799146	No	
row_61	ABITRAM	actin binding transcription modulator [Source:HGNC Symbol;Acc:HGNC:1364]	7497	0.08248193562030792	0.1377611	No	
row_62	CFL1	cofilin 1 [Source:HGNC Symbol;Acc:HGNC:1874]	7551	0.07801113277673721	0.13546126	No	
