NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	39	2.561852216720581	0.009630346	No	
row_1	TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	186	1.9191932678222656	0.009588066	No	
row_2	SIX1	SIX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10887]	338	1.6770151853561401	0.008095621	No	
row_3	DMBX1	diencephalon/mesencephalon homeobox 1 [Source:HGNC Symbol;Acc:HGNC:19026]	355	1.6528233289718628	0.014878092	No	
row_4	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	424	1.5671709775924683	0.01802634	No	
row_5	GATA4	GATA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:4173]	513	1.4692457914352417	0.019471068	No	
row_6	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	554	1.4317419528961182	0.023721997	No	
row_7	TAF12	TATA-box binding protein associated factor 12 [Source:HGNC Symbol;Acc:HGNC:11545]	730	1.294935703277588	0.0189405	No	
row_8	RFX5	regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]	731	1.294722557067871	0.025032293	No	
row_9	HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	785	1.2518466711044312	0.027628994	No	
row_10	SATB2	SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]	804	1.2370790243148804	0.03233107	No	
row_11	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	973	1.141887903213501	0.02726444	No	
row_12	PBX3	PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]	1119	1.074416995048523	0.023309547	No	
row_13	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	1239	1.0271317958831787	0.02074778	No	
row_14	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1570	0.9080725312232971	0.004514539	No	
row_15	POU3F2	POU class 3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9215]	1582	0.9025238752365112	0.008077473	No	
row_16	RARG	retinoic acid receptor gamma [Source:HGNC Symbol;Acc:HGNC:9866]	1605	0.8978545665740967	0.010934911	No	
row_17	MLXIPL	MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]	1614	0.8931236267089844	0.014640032	No	
row_18	HOXA9	homeobox A9 [Source:HGNC Symbol;Acc:HGNC:5109]	1622	0.8913012146949768	0.018398717	No	
row_19	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	1681	0.8742250800132751	0.01890798	No	
row_20	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	1766	0.8503638505935669	0.017689362	No	
row_21	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	1793	0.8415213227272034	0.02003319	No	
row_22	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	1930	0.8050318360328674	0.0153700635	No	
row_23	ENY2	ENY2 transcription and export complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:24449]	1957	0.7975953817367554	0.017507216	No	
row_24	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	1964	0.7957264184951782	0.020878352	No	
row_25	HMGB1	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	1980	0.7922088503837585	0.023673689	No	
row_26	HOXB13	homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]	2020	0.783888041973114	0.024938542	No	
row_27	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	2086	0.7700629234313965	0.024522739	No	
row_28	LBX1	ladybird homeobox 1 [Source:HGNC Symbol;Acc:HGNC:16960]	2094	0.7688368558883667	0.027705219	No	
row_29	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	2100	0.7672200202941895	0.031004367	No	
row_30	SCX	scleraxis bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:32322]	2213	0.7391090393066406	0.027522398	No	
row_31	TLE6	TLE family member 6, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:30788]	2322	0.7161033749580383	0.024180742	No	
row_32	NR1H3	nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]	2452	0.6900044679641724	0.01941137	No	
row_33	GTF2A1L	general transcription factor IIA subunit 1 like [Source:HGNC Symbol;Acc:HGNC:30727]	2506	0.6782099008560181	0.019309055	No	
row_34	GTF2A1	general transcription factor IIA subunit 1 [Source:HGNC Symbol;Acc:HGNC:4646]	2551	0.669734537601471	0.019726112	No	
row_35	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2633	0.6578192710876465	0.01778797	No	
row_36	TAF7	TATA-box binding protein associated factor 7 [Source:HGNC Symbol;Acc:HGNC:11541]	2665	0.652707040309906	0.018932717	No	
row_37	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	2686	0.6483989953994751	0.02074072	No	
row_38	POU4F1	POU class 4 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9218]	2733	0.6393857598304749	0.020890705	No	
row_39	MED21	mediator complex subunit 21 [Source:HGNC Symbol;Acc:HGNC:11473]	2767	0.6331040263175964	0.02181894	No	
row_40	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	2818	0.6250917315483093	0.021653114	No	
row_41	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	2829	0.6237941980361938	0.023966737	No	
