NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOCC_RUFFLE_MEMBRANE	GOCC_RUFFLE_MEMBRANE	Details ...	89	-0.38146135	-1.4919541	0.0	1.0	0.8	3585	tags=34%, list=22%, signal=43%	
GOCC_CELL_BODY_MEMBRANE	GOCC_CELL_BODY_MEMBRANE	Details ...	18	-0.53344154	-1.4671011	0.0	1.0	0.892	1139	tags=39%, list=7%, signal=42%	
GOCC_GERM_CELL_NUCLEUS	GOCC_GERM_CELL_NUCLEUS	Details ...	51	-0.37923405	-1.4574919	0.0	1.0	0.946	3844	tags=33%, list=23%, signal=43%	
GOCC_INTERCELLULAR_BRIDGE	GOCC_INTERCELLULAR_BRIDGE	Details ...	74	-0.2943643	-1.4336697	0.0	1.0	0.946	1168	tags=15%, list=7%, signal=16%	
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	Details ...	32	-0.3898955	-1.4290588	0.08418891	1.0	0.946	4271	tags=38%, list=26%, signal=50%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	235	-0.40724462	-1.4143326	0.0	1.0	0.946	1803	tags=28%, list=11%, signal=31%	
GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATOR_COMPLEX	Details ...	219	-0.35359585	-1.4028041	0.0	1.0	0.946	3173	tags=30%, list=19%, signal=36%	
GOCC_CORNIFIED_ENVELOPE	GOCC_CORNIFIED_ENVELOPE	Details ...	32	-0.42727953	-1.4004338	0.0	1.0	0.946	624	tags=16%, list=4%, signal=16%	
GOCC_RUFFLE	GOCC_RUFFLE	Details ...	162	-0.34097198	-1.3980879	0.0	1.0	0.946	3465	tags=31%, list=21%, signal=39%	
GOCC_MYOSIN_II_COMPLEX	GOCC_MYOSIN_II_COMPLEX	Details ...	16	-0.4801566	-1.3856	0.0	1.0	0.946	1250	tags=31%, list=8%, signal=34%	
GOCC_SARCOPLASMIC_RETICULUM	GOCC_SARCOPLASMIC_RETICULUM	Details ...	57	-0.40564	-1.3719772	0.0	1.0	0.946	2307	tags=28%, list=14%, signal=33%	
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	Details ...	294	-0.3704941	-1.3593102	0.0	1.0	0.946	1964	tags=28%, list=12%, signal=31%	
GOCC_KERATIN_FILAMENT	GOCC_KERATIN_FILAMENT	Details ...	21	-0.57477397	-1.3569113	0.0	1.0	0.946	2171	tags=33%, list=13%, signal=38%	
GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	GOCC_TRANSCRIPTION_REPRESSOR_COMPLEX	Details ...	68	-0.486261	-1.3553137	0.0	1.0	1.0	4028	tags=43%, list=24%, signal=56%	
GOCC_A_BAND	GOCC_A_BAND	Details ...	24	-0.61342025	-1.3548725	0.0	1.0	1.0	1982	tags=46%, list=12%, signal=52%	
GOCC_ACTIN_FILAMENT	GOCC_ACTIN_FILAMENT	Details ...	100	-0.3887177	-1.3474216	0.0	1.0	1.0	3134	tags=37%, list=19%, signal=45%	
GOCC_I_BAND	GOCC_I_BAND	Details ...	113	-0.45999226	-1.3436012	0.0	1.0	1.0	2340	tags=37%, list=14%, signal=43%	
GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	GOCC_PRERIBOSOME_LARGE_SUBUNIT_PRECURSOR	Details ...	19	-0.48359573	-1.343434	0.095634095	1.0	1.0	4309	tags=37%, list=26%, signal=50%	
GOCC_BRUSH_BORDER_MEMBRANE	GOCC_BRUSH_BORDER_MEMBRANE	Details ...	42	-0.3983992	-1.3417109	0.0	0.9633764	1.0	1085	tags=21%, list=7%, signal=23%	
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	Details ...	417	-0.34184864	-1.3358604	0.08523908	0.9516825	1.0	3173	tags=29%, list=19%, signal=35%	
GOCC_MALE_GERM_CELL_NUCLEUS	GOCC_MALE_GERM_CELL_NUCLEUS		41	-0.32063085	-1.3357958	0.09795918	0.9086022	1.0	3844	tags=32%, list=23%, signal=41%	
GOCC_EUCHROMATIN	GOCC_EUCHROMATIN		49	-0.39355627	-1.3342383	0.0	0.8814741	1.0	3497	tags=35%, list=21%, signal=44%	
GOCC_STRIATED_MUSCLE_THIN_FILAMENT	GOCC_STRIATED_MUSCLE_THIN_FILAMENT		19	-0.50984514	-1.3340255	0.0	0.8483693	1.0	2782	tags=42%, list=17%, signal=51%	
GOCC_LAMELLIPODIUM_MEMBRANE	GOCC_LAMELLIPODIUM_MEMBRANE		17	-0.5998204	-1.3284845	0.0	0.83882	1.0	3494	tags=53%, list=21%, signal=67%	
