"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GO:0034308"	"GO:0034308"	"primary alcohol metabolic process"	49	-0.666241825901948	-2.32564503784693	0.000184094256259205	0.00928290262546843	0.00810531306798444	930	"tags=33%, list=7%, signal=31%"	"RDH13/SULT1A4/CYP3A7/ALDH3B2/ALDH2/CYP11A1/AKR1B1/ALDH3B1/SULT1A3/CYP2C18/AKR1B15/DHRS3/PLB1/CYP1A1/AKR1B10/TKTL1"
"GO:0001523"	"GO:0001523"	"retinoid metabolic process"	29	-0.72594637596847	-2.26080866752522	0.000187406296851574	0.00928290262546843	0.00810531306798444	930	"tags=38%, list=7%, signal=35%"	"RDH13/CYP26B1/CYP3A7/ABCA4/AKR1B1/CYP2C18/AKR1B15/DHRS3/PLB1/CYP1A1/AKR1B10"
"GO:0006959"	"GO:0006959"	"humoral immune response"	53	-0.61852649644444	-2.19718642381961	0.000182215743440233	0.00928290262546843	0.00810531306798444	3184	"tags=58%, list=24%, signal=45%"	"TFE3/GAPDH/GPI/RPL39/EVPL/IL36RN/ST6GAL1/NOTCH2/C1QBP/RPL30/TNFRSF21/CCR7/GATA6/FOXJ1/PLA2G6/GATA3/CD55/C2/PSMB10/SPNS2/BCL3/BCL2/SERPING1/PGC/SLC11A1/C8G/C3/EBI3/CLU/ALOX5/IL6"
"GO:0042572"	"GO:0042572"	"retinol metabolic process"	21	-0.762335376110645	-2.1969379053002	0.000188182160331201	0.00928290262546843	0.00810531306798444	930	"tags=43%, list=7%, signal=40%"	"RDH13/CYP3A7/AKR1B1/CYP2C18/AKR1B15/DHRS3/PLB1/CYP1A1/AKR1B10"
"GO:0046427"	"GO:0046427"	"positive regulation of receptor signaling pathway via JAK-STAT"	20	-0.770199658436621	-2.18569213083961	0.000189861401177141	0.00928290262546843	0.00810531306798444	1167	"tags=40%, list=9%, signal=37%"	"ERBB4/AGT/GH2/CSH1/CSH2/LEP/HES1/IL6"
"GO:0042531"	"GO:0042531"	"positive regulation of tyrosine phosphorylation of STAT protein"	24	-0.734539057915422	-2.18286505672411	0.00018875047187618	0.00928290262546843	0.00810531306798444	1900	"tags=62%, list=14%, signal=54%"	"OSBP/LYN/CSF1R/EPO/TNFRSF1A/ERBB4/CTF1/IL6ST/HCLS1/GH2/CSH1/CSH2/LEP/HES1/IL6"
"GO:0050818"	"GO:0050818"	"regulation of coagulation"	33	-0.675941217850557	-2.17355757820078	0.000185735512630015	0.00928290262546843	0.00810531306798444	1895	"tags=55%, list=14%, signal=47%"	"ANXA5/VKORC1/PRKCD/ST3GAL4/PRDX2/CD9/F3/PLAUR/EMILIN2/PROCR/PDGFB/PLAU/DMTN/THBD/UBASH3B/SERPING1/CEACAM1/SERPINE1"
"GO:0030224"	"GO:0030224"	"monocyte differentiation"	19	-0.771899372842105	-2.16365669565802	0.000189501610763691	0.00928290262546843	0.00810531306798444	1811	"tags=58%, list=13%, signal=50%"	"ACIN1/CSF1R/VEGFA/FASN/PIR/FOXP1/ZFP36L1/PPARG/MYC/INPP5D/CSF1"
"GO:1904894"	"GO:1904894"	"positive regulation of receptor signaling pathway via STAT"	22	-0.734146466170574	-2.13990427218201	0.000188714851858841	0.00928290262546843	0.00810531306798444	606	"tags=36%, list=4%, signal=35%"	"ERBB4/AGT/GH2/CSH1/CSH2/LEP/HES1/IL6"
"GO:0120254"	"GO:0120254"	"olefinic compound metabolic process"	70	-0.569685009197339	-2.12941734491823	0.000180701120346946	0.00928290262546843	0.00810531306798444	1013	"tags=27%, list=7%, signal=25%"	"MGLL/RDH13/ALOX15/HSD17B1/CYP3A7/PLA2G10/CYP11A1/ABCA4/AKR1B1/CYP2C18/PLA2G2F/AKR1B15/ADM/DHRS3/PTGIS/PLB1/CYP1A1/AKR1B10/ALOX5"
"GO:0030193"	"GO:0030193"	"regulation of blood coagulation"	30	-0.674241699565393	-2.11723374897325	0.00018628912071535	0.00928290262546843	0.00810531306798444	1792	"tags=53%, list=13%, signal=46%"	"VKORC1/PRKCD/ST3GAL4/PRDX2/CD9/F3/PLAUR/EMILIN2/PDGFB/PLAU/DMTN/THBD/UBASH3B/SERPING1/CEACAM1/SERPINE1"
"GO:1900046"	"GO:1900046"	"regulation of hemostasis"	30	-0.674241699565393	-2.11723374897325	0.00018628912071535	0.00928290262546843	0.00810531306798444	1792	"tags=53%, list=13%, signal=46%"	"VKORC1/PRKCD/ST3GAL4/PRDX2/CD9/F3/PLAUR/EMILIN2/PDGFB/PLAU/DMTN/THBD/UBASH3B/SERPING1/CEACAM1/SERPINE1"
"GO:0050728"	"GO:0050728"	"negative regulation of inflammatory response"	76	-0.558407053578095	-2.10576257904975	0.000182448458310527	0.00928290262546843	0.00810531306798444	2607	"tags=45%, list=19%, signal=36%"	"RORA/PSMB4/FEM1A/MAPK7/GSTP1/METRNL/CYP19A1/BCR/SRC/LYN/PRKCD/LDLR/CYLD/TNFRSF1A/PLK2/SERPINF1/ZFP36/ELF4/NR1D1/GATA3/PPARG/IL20RB/DUSP10/TNFAIP3/SMPDL3B/KLF4/SMAD3/PLA2G10/CDH5/SOCS3/PTGIS/ADORA2A/ALOX5/SAA1"
"GO:0016101"	"GO:0016101"	"diterpenoid metabolic process"	32	-0.659018916775417	-2.10400956917813	0.000185942729639271	0.00928290262546843	0.00810531306798444	930	"tags=34%, list=7%, signal=32%"	"RDH13/CYP26B1/CYP3A7/ABCA4/AKR1B1/CYP2C18/AKR1B15/DHRS3/PLB1/CYP1A1/AKR1B10"
