"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GO:1904894"	"GO:1904894"	"positive regulation of receptor signaling pathway via STAT"	31	-0.777928378716884	-2.43342087003702	0.000255493101686254	0.0486149584487535	0.0438891550205153	1480	"tags=39%, list=7%, signal=36%"	"HES1/CSH2/CD300A/GH1/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
"GO:0046427"	"GO:0046427"	"positive regulation of receptor signaling pathway via JAK-STAT"	29	-0.787550309911523	-2.42756177456996	0.000251319426991706	0.0486149584487535	0.0438891550205153	1480	"tags=41%, list=7%, signal=38%"	"HES1/CSH2/CD300A/GH1/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
"GO:1905953"	"GO:1905953"	"negative regulation of lipid localization"	37	-0.656746739910299	-2.14735602553447	0.000260010400416017	0.0486149584487535	0.0438891550205153	2727	"tags=38%, list=13%, signal=33%"	"TSPO/NFKBIA/ABCA2/PCSK9/MIR27B/PLA2G10/PPARG/CES1/LEP/APOA2/ITGB3/IL6/CYP4F2/MIR27A"
"GO:0045577"	"GO:0045577"	"regulation of B cell differentiation"	25	-0.705474476671135	-2.10866080723434	0.000246669955599408	0.0486149584487535	0.0438891550205153	1743	"tags=40%, list=9%, signal=37%"	"BCL6/ZFP36L1/XBP1/HMGB3/ZFP36L2/IL2RG/INPP5D/NCKAP1L/IKZF3/IL10"
"GO:0050869"	"GO:0050869"	"negative regulation of B cell activation"	23	-0.704095642059453	-2.06245347314208	0.00049031625398382	0.0486149584487535	0.0438891550205153	1402	"tags=30%, list=7%, signal=28%"	"HMGB3/CD300A/LYN/TNFAIP3/INPP5D/BANK1/IL10"
"GO:0097242"	"GO:0097242"	"amyloid-beta clearance"	28	-0.671014430615162	-2.05404530969175	0.00025	0.0486149584487535	0.0438891550205153	3814	"tags=46%, list=19%, signal=38%"	"LRP1/RAB11B/LDLR/RAB11A/PLA2G3/IGF1R/INSR/C3/ITGAM/CLU/PICALM/C5AR1/MME"
"GO:1903670"	"GO:1903670"	"regulation of sprouting angiogenesis"	28	-0.670067458443944	-2.05114652889368	0.00025	0.0486149584487535	0.0438891550205153	3129	"tags=54%, list=15%, signal=45%"	"GHRL/PKM/PIK3CB/JAK1/CEACAM1/FUT1/ITGA5/S100A1/VEGFA/KLF4/SEMA6A/PPP1R16B/CREB3L1/FGF1/IL10"
"GO:0043403"	"GO:0043403"	"skeletal muscle tissue regeneration"	29	-0.661718827536053	-2.03969614515197	0.000251319426991706	0.0486149584487535	0.0438891550205153	3385	"tags=38%, list=17%, signal=32%"	"PPP3CA/CFLAR/FZD7/IFRD1/MYOZ1/WNT7A/WNT10B/HOPX/KLF5/PTGFRN/SOX15"
"GO:0046425"	"GO:0046425"	"regulation of receptor signaling pathway via JAK-STAT"	57	-0.570605502247792	-2.03417317255374	0.000278706800445931	0.0486149584487535	0.0438891550205153	3116	"tags=37%, list=15%, signal=31%"	"SOCS2/SH2B3/LEPROT/DOT1L/LIF/BCL3/SOCS3/GADD45A/CAV1/HES1/CSH2/CD300A/GH1/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
"GO:1904892"	"GO:1904892"	"regulation of receptor signaling pathway via STAT"	61	-0.558766847350367	-2.01130879988235	0.000564652738565782	0.0486149584487535	0.0438891550205153	3116	"tags=36%, list=15%, signal=31%"	"SOCS2/SH2B3/LEPROT/DOT1L/LIF/BCL3/SOCS3/GADD45A/CAV1/HES1/PPARG/CSH2/CD300A/GH1/CSH1/LEP/GH2/OCIAD2/F2/IL6/IL10RA/IL10"
