ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0062023	collagen-containing extracellular matrix	163	-0.540549908	-2.299430471	0.000172473	0.012266426	0.011378658	2020	"tags=39%, list=15%, signal=34%"	HNRNPM/ANXA11/COL27A1/PKM/ANXA5/LOXL2/FGL1/FBLN1/LAMA5/COL12A1/COL5A1/CTSH/SERPINF1/HSPG2/SERPINH1/F3/LTBP4/RELL2/GPC4/TINAGL1/FGFR2/ENTPD2/MXRA5/COL18A1/EMILIN2/LAMB3/PDGFB/COL9A3/COL7A1/PXDN/HDGF/SOD3/ANXA6/ADAMTS4/MFAP2/SERPINB9/ITGB4/MFAP5/AGT/SBSPON/NCAM1/SERPING1/SERPINB6/COL6A3/NAV2/ITIH5/P3H2/GDF15/S100A4/COL16A1/ECM1/CCDC80/COLQ/SERPINE1/CLU/ANGPT4/COL17A1/VWF/ADAM19/ANXA8/ANGPTL4/COL9A2/ECM2/TGM2
GO:0030312	external encapsulating structure	202	-0.511648345	-2.23948148	0.000169635	0.012266426	0.011378658	2020	"tags=39%, list=15%, signal=34%"	HNRNPM/ANXA11/COL27A1/PKM/ANXA5/LOXL2/MMP15/FGL1/FBLN1/LAMA5/COL12A1/COL5A1/CTSH/SERPINF1/HSPG2/VEGFA/SERPINH1/F3/LTBP4/RELL2/MMP19/GPC4/CXCR4/GFOD2/TINAGL1/FGFR2/LRRC24/ENTPD2/WNT11/MXRA5/COL18A1/EMILIN2/LAMB3/PDGFB/COL9A3/COL7A1/PXDN/HDGF/SOD3/ANXA6/ADAMTS4/MFAP2/SERPINB9/ITGB4/CRISPLD2/MFAP5/AGT/TIMP4/SBSPON/NCAM1/SERPING1/SERPINB6/COL6A3/WNT7A/NAV2/ITIH5/P3H2/MMP24/GDF15/S100A4/COL16A1/ECM1/CCDC80/LRRC32/COLQ/SERPINE1/CLU/ANGPT4/COL17A1/HPSE2/VWF/ADAM19/ANXA8/ALPL/ANGPTL4/FGF1/COL9A2/ECM2/TGM2
GO:0031012	extracellular matrix	202	-0.511648345	-2.23948148	0.000169635	0.012266426	0.011378658	2020	"tags=39%, list=15%, signal=34%"	HNRNPM/ANXA11/COL27A1/PKM/ANXA5/LOXL2/MMP15/FGL1/FBLN1/LAMA5/COL12A1/COL5A1/CTSH/SERPINF1/HSPG2/VEGFA/SERPINH1/F3/LTBP4/RELL2/MMP19/GPC4/CXCR4/GFOD2/TINAGL1/FGFR2/LRRC24/ENTPD2/WNT11/MXRA5/COL18A1/EMILIN2/LAMB3/PDGFB/COL9A3/COL7A1/PXDN/HDGF/SOD3/ANXA6/ADAMTS4/MFAP2/SERPINB9/ITGB4/CRISPLD2/MFAP5/AGT/TIMP4/SBSPON/NCAM1/SERPING1/SERPINB6/COL6A3/WNT7A/NAV2/ITIH5/P3H2/MMP24/GDF15/S100A4/COL16A1/ECM1/CCDC80/LRRC32/COLQ/SERPINE1/CLU/ANGPT4/COL17A1/HPSE2/VWF/ADAM19/ANXA8/ALPL/ANGPTL4/FGF1/COL9A2/ECM2/TGM2
GO:0030018	Z disc	72	-0.584921088	-2.18722949	0.000180832	0.012266426	0.011378658	2232	"tags=44%, list=17%, signal=37%"	ACTN4/PPP3CA/PPP1R12B/FHOD3/PDLIM2/MYO18B/BAG3/FLNC/UNC45B/SYNPO/OBSL1/NEBL/BIN1/ANK3/MYL9/FHL3/FHL2/OBSCN/DMD/FLNA/PALLD/SLC2A1/PAK1/SORBS2/ACTN1/RYR1/JPH2/CACNA1D/MYOZ1/CRYAB/FRG1/SMN1
GO:0031674	I band	80	-0.561631247	-2.138804413	0.000180571	0.012266426	0.011378658	2115	"tags=44%, list=16%, signal=37%"	ACTN4/PPP3CA/PPP1R12B/FHOD3/PDLIM2/ALDOA/MYO18B/BAG3/FLNC/UNC45B/SYNPO/OBSL1/NEBL/BIN1/ANK3/MYL9/FHL3/FHL2/OBSCN/DMD/FLNA/PALLD/SLC2A1/PAK1/SORBS2/ACTN1/RYR1/CACNA1S/JPH2/MYL3/CACNA1D/MYOZ1/CRYAB/FRG1/SMN1
GO:0030017	sarcomere	120	-0.511557653	-2.084907331	0.000175809	0.012266426	0.011378658	2761	"tags=44%, list=20%, signal=35%"	FLNB/ARHGEF25/ENO1/PDLIM5/TTN/CAPZB/ARF1/TNNT1/TPM1/ACTN4/PPP3CA/PPP1R12B/FHOD3/PDLIM2/ALDOA/MYO18B/BAG3/FLNC/UNC45B/SYNPO/OBSL1/NEBL/BIN1/ANK3/CORO1C/MYL9/FHL3/FHL2/OBSCN/DMD/FLNA/PALLD/SLC2A1/PAK1/SORBS2/TPM4/TIMP4/TNNI2/ACTN1/CMYA5/RYR1/TNNT3/TMOD1/CACNA1S/JPH2/ACTA1/MYL3/CACNA1D/MYOZ1/CRYAB/SYNE1/FRG1/SMN1
GO:0030016	myofibril	133	-0.477163681	-1.973777318	0.000174064	0.012266426	0.011378658	2761	"tags=41%, list=20%, signal=33%"	FLNB/ARHGEF25/ENO1/PDLIM5/TTN/CAPZB/ARF1/TNNT1/TPM1/ACTN4/PPP3CA/PPP1R12B/CALD1/FHOD3/PDLIM2/ALDOA/MYO18B/BAG3/SVIL/FLNC/UNC45B/SYNPO/OBSL1/NEBL/BIN1/ANK3/CORO1C/MYL9/FHL3/FHL2/OBSCN/DMD/FLNA/PALLD/SLC2A1/PAK1/SORBS2/TPM4/TIMP4/TNNI2/ACTN1/CMYA5/RYR1/TNNT3/TMOD1/CACNA1S/JPH2/ACTA1/MYL3/CACNA1D/MYOZ1/CRYAB/SYNE1/FRG1/SMN1
GO:0043292	contractile fiber	137	-0.468010709	-1.944333647	0.000173732	0.012266426	0.011378658	2761	"tags=40%, list=20%, signal=32%"	FLNB/ARHGEF25/ENO1/PDLIM5/TTN/CAPZB/ARF1/TNNT1/TPM1/ACTN4/PPP3CA/PPP1R12B/CALD1/FHOD3/PDLIM2/ALDOA/MYO18B/BAG3/SVIL/FLNC/UNC45B/SYNPO/OBSL1/NEBL/BIN1/ANK3/CORO1C/MYL9/FHL3/FHL2/OBSCN/DMD/FLNA/PALLD/SLC2A1/PAK1/SORBS2/TPM4/TIMP4/TNNI2/ACTN1/CMYA5/RYR1/TNNT3/TMOD1/CACNA1S/JPH2/ACTA1/MYL3/CACNA1D/MYOZ1/CRYAB/SYNE1/FRG1/SMN1
GO:0009986	cell surface	347	-0.397598327	-1.843301285	0.000162707	0.012266426	0.011378658	2523	"tags=33%, list=19%, signal=28%"	ITGA2B/TGFB1/NOTCH2/MPZL1/C1QBP/CAPN2/SEMA7A/PTPRJ/CD24/CSF3R/ITGA5/EPOR/SDC1/PDGFRB/ECE1/TSPAN14/BTNL9/LEPR/LRP4/ITGAL/IL27RA/ANXA5/AMOT/PROM2/CSF1R/INSR/TRPV4/EGFR/NECTIN2/LDLR/EPO/SLC1A4/CD63/RGMA/TNFRSF1A/HILPDA/MYO18A/FOLR1/VEGFA/CCR7/AQP11/SLC11A2/CLSTN3/ANK3/CD9/F3/GPC4/KRT10/PLAUR/CXCR4/ASGR1/IGKC/CD276/CD55/HLA-C/FZD5/FGFR2/IL6ST/LRRC24/LRFN1/SLC1A3/TFR2/PROCR/CEACAM19/DMD/PDGFB/ITGA6/PLAU/AJAP1/HSPA2/MBP/HEG1/PXDN/THBD/NOTCH3/TCN2/SLC7A5/PICALM/HYAL4/AGER/CACNG4/ITGB4/SLC3A2/LMO7/NCAM1/HAVCR2/TFRC/SORL1/WNT7A/GPRC5B/ADGRA2/CDH5/STAB2/CEACAM1/PTGFRN/C3/LRRC32/EBI3/LIFR/CLU/ITGAM/ACKR3/ANPEP/CSF2RB/HAVCR1/CNTNAP2/ANTXR1/ALPP/IL2RB/LY6D/SLC6A2/CRYAB/SLC22A11/EPHA2/MME
GO:0043235	receptor complex	164	-0.425517708	-1.811613506	0.000172265	0.012266426	0.011378658	2629	"tags=37%, list=19%, signal=30%"	IL10RB/OSMR/NT5DC3/ACVR2B/ITGA2B/NOTCH2/CSF3R/TRAF2/ITGA5/PDGFRB/TMIGD2/ITPR2/ABHD12/LEPR/ITGAL/IL27RA/ARNT/LYN/CSF1R/INSR/EPHA1/EGFR/LDLR/TNFRSF1A/TRAF3/PLXNA2/PLXDC1/ERBB4/FGFR1/PPARG/IGF1R/FGFR2/IL6ST/VIPR1/TFR2/FLNA/ITGA6/GABRB3/NOTCH3/CACNG4/GABBR2/ITGB4/GPRC5C/GPR37L1/SMAD3/TFRC/GPRC5B/APBB1IP/EBI3/LIFR/ITGAM/NPR1/PTH1R/CSF2RB/IL2RB/GPRC5A/GRIK4/EPHA2/OLR1/IL6
