"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"GO:0038024"	"GO:0038024"	"cargo receptor activity"	41	-0.689507686648905	-2.3011319634815	0.000185977310768086	0.0179769725224271	0.0166925047307822	1861	"tags=56%, list=14%, signal=49%"	"LOXL2/INSR/LDLR/SURF4/FOLR1/TMPRSS13/CD320/ASGR1/TFR2/APOBR/AGER/ACKR2/HHIPL1/SCARA3/TFRC/SORL1/STBD1/STAB2/ITGAM/ACKR3/TMPRSS4/ENDOU/OLR1"
"GO:0008083"	"GO:0008083"	"growth factor activity"	49	-0.645465635686893	-2.23044769343617	0.000184399778720266	0.0179769725224271	0.0166925047307822	1415	"tags=41%, list=10%, signal=37%"	"VEGFA/CD320/JAG1/PDGFB/THPO/INHA/HDGF/TYMP/AGT/OSGIN1/GDF5/GDF15/TFF1/GH2/CSH1/CSH2/CSF1/FGF1/ENDOU/IL6"
"GO:0005179"	"GO:0005179"	"hormone activity"	24	-0.744134453818792	-2.20131415306916	0.000189501610763691	0.0179769725224271	0.0166925047307822	853	"tags=50%, list=6%, signal=47%"	"THPO/CGA/INHA/AGT/ADM/GH2/CSH1/CSH2/LEP/NPPB/GUCA2A/EDN2"
"GO:0004033"	"GO:0004033"	"aldo-keto reductase (NADP) activity"	15	-0.800951032096167	-2.11346416273027	0.000190005700171005	0.0179769725224271	0.0166925047307822	930	"tags=47%, list=7%, signal=44%"	"RDH13/KCNAB2/AKR7L/AKR1B1/AKR1B15/DHRS3/AKR1B10"
"GO:0052650"	"GO:0052650"	"NADP-retinol dehydrogenase activity"	9	-0.904687569539264	-2.08129308987391	0.000191497510532363	0.0179769725224271	0.0166925047307822	930	"tags=56%, list=7%, signal=52%"	"RDH13/AKR1B1/AKR1B15/DHRS3/AKR1B10"
"GO:0048018"	"GO:0048018"	"receptor ligand activity"	117	-0.512054112199309	-2.06982803977157	0.000176304654442877	0.0179769725224271	0.0166925047307822	1514	"tags=32%, list=11%, signal=29%"	"EPO/CMTM7/SEMA3G/VEGFA/SEMA5A/CD320/JAG1/WNT11/PDGFB/THPO/CGA/INHA/HDGF/TYMP/AGT/OSGIN1/GDF5/SEMA6B/WNT7A/TNFSF10/GDF15/TFF1/EBI3/WNT10B/ADM/GH2/CSH1/CSH2/CSF1/LEP/FGF1/NPPB/CCL28/SEMA6D/ENDOU/GUCA2A/EDN2/IL6"
"GO:0005044"	"GO:0005044"	"scavenger receptor activity"	16	-0.763708477049123	-2.04374180208697	0.000190985485103132	0.0179769725224271	0.0166925047307822	1262	"tags=62%, list=9%, signal=57%"	"LOXL2/TMPRSS13/AGER/ACKR2/HHIPL1/SCARA3/STAB2/ACKR3/TMPRSS4/ENDOU"
"GO:0019825"	"GO:0019825"	"oxygen binding"	13	-0.804010207400276	-2.03561921184394	0.000192864030858245	0.0179769725224271	0.0166925047307822	826	"tags=54%, list=6%, signal=51%"	"CYP19A1/CBS/CYP3A7/CYP2C18/HBM/HBZ/CYP1A1"
"GO:0005201"	"GO:0005201"	"extracellular matrix structural constituent"	60	-0.564143512660737	-2.03520624293889	0.000182848784055586	0.0179769725224271	0.0166925047307822	1959	"tags=43%, list=14%, signal=37%"	"COL27A1/FBLN1/LAMA5/COL12A1/COL5A1/HSPG2/LTBP4/TINAGL1/TUFT1/MXRA5/COL18A1/EMILIN2/LAMB3/COL9A3/COL7A1/PXDN/MFAP2/MFAP5/SBSPON/COL6A3/COL16A1/ECM1/COLQ/COL17A1/VWF/COL9A2"
"GO:0008106"	"GO:0008106"	"alcohol dehydrogenase (NADP+) activity"	11	-0.827763251917499	-2.00470898008586	0.000191424196018377	0.0179769725224271	0.0166925047307822	930	"tags=45%, list=7%, signal=42%"	"RDH13/AKR1B1/AKR1B15/DHRS3/AKR1B10"
"GO:0008330"	"GO:0008330"	"protein tyrosine/threonine phosphatase activity"	7	-0.931384159881569	-2.00443784065951	0.000194250194250194	0.0179769725224271	0.0166925047307822	935	"tags=100%, list=7%, signal=93%"	"DUSP10/DUSP1/DUSP5/DUSP7/DUSP9/DUSP4"
"GO:0033550"	"GO:0033550"	"MAP kinase tyrosine phosphatase activity"	7	-0.931384159881569	-2.00443784065951	0.000194250194250194	0.0179769725224271	0.0166925047307822	935	"tags=100%, list=7%, signal=93%"	"DUSP10/DUSP1/DUSP5/DUSP7/DUSP9/DUSP4"
"GO:0045296"	"GO:0045296"	"cadherin binding"	276	-0.432552663279309	-1.95413629337113	0.000167196121049992	0.0179769725224271	0.0166925047307822	3040	"tags=39%, list=22%, signal=31%"	"PPFIBP1/TES/DOCK9/ABI1/ESYT2/GOLGA3/TLN1/CGN/RAB11B/SNX2/MICALL1/EPN2/UBFD1/ARHGAP1/PFN1/DAB2IP/CDH23/EVPL/SCYL1/BAIAP2L1/EFHD2/FLNB/ENO1/PDLIM5/RSL1D1/YWHAZ/EZR/RANBP1/GAPVD1/MPP7/CAPZB/WASF2/PSMB6/PRDX6/ARHGEF16/PTPRJ/PPP1R13L/NUDC/YWHAB/CDH18/CAST/AHSA1/PAICS/SND1/PTPN1/CALD1/STX5/CTNNAL1/PKM/FXYD5/ALDOA/SPTBN2/SRC/PTPRM/LASP1/CNN2/PAK2/BAG3/EGFR/PAK6/CTNND1/ATXN2L/MB21D2/STAT1/GCN1/PKP3/EMD/LRRC59/BSG/ATIC/TAGLN2/CTNNA1/EIF4H/KRT18/FASN/ANK3/MACF1/OLFM4/CHMP4B/VASP/ASAP1/CAPG/TBC1D10A/SCRIB/LRRFIP1/NDRG1/GOLGA2/SWAP70/FLNA/ITGA6/PPME1/NOTCH3/S100A11/LIMA1/TJP2/PICALM/TBC1D2/SLC3A2/EPS8L1/STK24/CDH5/CDC42EP1/MMP24/CDHR3/TRIM29/EEF1D/GPRC5A/EPHA2"
"GO:0003779"	"GO:0003779"	"actin binding"	280	-0.431518469605189	-1.95194547764484	0.0001669727834363	0.0179769725224271	0.0166925047307822	2875	"tags=40%, list=21%, signal=32%"	"MYLK/PFN1/MYO1C/TRIOBP/BAIAP2L1/PLS1/FLNB/TNS1/ENC1/TMSB10/PDLIM5/EZR/TTN/WASL/GSN/AFAP1/MYO1E/CAPZB/WASF2/TPM1/CORO2A/INF2/ACTN4/EPB41L1/COBL/INO80/CALD1/CTNNAL1/FHOD3/PDLIM2/FXYD5/ALDOA/SPTBN2/MYO18B/FMN1/LASP1/CNN2/SVIL/FLNC/MYO10/TRPV4/EGFR/EMD/SYNPO/EPB41L2/MARCKS/NEBL/TAGLN/EVL/MYO18A/SHROOM2/CTNNA1/INPPL1/PAWR/MARCKSL1/BIN1/SNTB1/MICAL3/WIPF3/MACF1/CORO1C/YWHAH/FERMT1/CXCR4/SSH3/VASP/PSTPIP2/CAPG/CORO6/ARPC4/RAI14/MICAL2/FHL3/PHACTR1/TLN2/DMD/FLNA/ANKRD24/PALLD/DMTN/COTL1/PLEKHG3/LIMCH1/TPM4/LIMA1/ANXA6/KLHL5/FGD4/AJUBA/MYO7A/WHAMM/FHDC1/GBP1/TNNI2/ACTN1/EPS8L1/PRKCE/SORBS1/TNNT3/S100A4/TMOD1/CEACAM1/GAS7/ANTXR1/ANXA8/MYL3/SLC6A2/MYOZ1/SYNE1/MYBPC2/FRG1"
"GO:0005539"	"GO:0005539"	"glycosaminoglycan binding"	78	-0.513493634235061	-1.9471807318118	0.000180050414115952	0.0179769725224271	0.0166925047307822	2011	"tags=33%, list=15%, signal=29%"	"ADGRG1/PTN/PGF/CEL/COL5A1/HK1/VEGFA/SEMA5A/LTBP4/FGFRL1/FGFR1/FGFR2/HDGF/SOD3/ANXA6/CRISPLD2/TMEM184A/NAV2/ADGRE2/HAPLN3/STAB2/CCDC80/COLQ/FGF1/ECM2/SAA1"
"GO:0070851"	"GO:0070851"	"growth factor receptor binding"	63	-0.521404505144998	-1.9023964790212	0.000181488203266788	0.0179769725224271	0.0166925047307822	2948	"tags=48%, list=22%, signal=37%"	"ERAP1/SNX2/VEGFB/DAB2IP/ATXN2/IL36RN/FAM83B/PTPRJ/ITGA5/ERN1/PDGFRB/GRB2/SHC1/PGF/SRC/LYN/GRAP/VEGFA/ERBB4/GATA3/IL6ST/RNF126/PDGFB/CBLC/TRIP6/CDH5/ECM1/FGF1/SLA/IL6"
