"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"hsa04060"	"hsa04060"	"Cytokine-cytokine receptor interaction"	84	-0.590927945299673	-2.26056932279081	0.000170270730461434	0.00494851829668292	0.00354269776434755	2397	"tags=52%, list=20%, signal=42%"	"7133/26525/3588/9180/93/7040/1441/2057/53342/3953/9466/27242/1436/2056/7132/1236/132014/285613/7852/1489/3572/53833/7066/3623/1232/8200/84957/3460/8743/9518/10148/3977/2689/57007/55504/1442/1443/1435/1439/3952/10663/3560/56477/3569"
"hsa04261"	"hsa04261"	"Adrenergic signaling in cardiomyocytes"	89	-0.579845482399148	-2.24577247797796	0.000168634064080944	0.00494851829668292	0.00354269776434755	936	"tags=24%, list=8%, signal=22%"	"480/5595/476/7171/5526/64764/27092/183/1390/596/84699/59285/23533/779/6543/28227/4634/776/111/10000/1388"
"hsa04061"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	23	-0.755214608465376	-2.21203437306989	0.000183049606443346	0.00494851829668292	0.00354269776434755	1535	"tags=57%, list=13%, signal=49%"	"1436/7132/1236/7852/3572/53833/1232/8743/57007/1435/3560/56477/3569"
"hsa05150"	"hsa05150"	"Staphylococcus aureus infection"	14	-0.831992554298003	-2.14136183591404	0.000185391175380052	0.00494851829668292	0.00354269776434755	1188	"tags=71%, list=10%, signal=64%"	"3875/3858/717/6404/718/3684/3872/3857/192666/3861"
"hsa04915"	"hsa04915"	"Estrogen signaling pathway"	86	-0.552484268130354	-2.1251732402321	0.000169319336268202	0.00494851829668292	0.00354269776434755	1880	"tags=33%, list=16%, signal=28%"	"2885/6464/3709/113/8648/6714/5604/5580/1956/3875/2288/3265/3858/5595/64764/9568/2353/596/84699/7031/3762/3872/3857/111/192666/10000/3861/1388"
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	42	-0.629121602685684	-2.11021104511621	0.000176772140710624	0.00494851829668292	0.00354269776434755	2368	"tags=64%, list=20%, signal=51%"	"6510/483/206358/136227/1291/85301/9056/1303/1289/117247/3783/480/11136/80781/8645/10008/1299/476/1294/6520/1293/1307/6543/340024/1308/1298/4311"
"hsa04630"	"hsa04630"	"JAK-STAT signaling pathway"	86	-0.542209428466843	-2.08565027901827	0.000169319336268202	0.00494851829668292	0.00354269776434755	2065	"tags=41%, list=18%, signal=34%"	"8835/1441/8554/2057/896/5159/2885/6778/3953/9466/1956/6772/2056/3265/3716/1489/3572/53833/5155/7066/598/596/595/4609/3460/9021/3977/2689/1442/1443/1439/3952/3560/10000/3569"
"hsa04270"	"hsa04270"	"Vascular smooth muscle contraction"	76	-0.553177808106719	-2.07663862569564	0.000171467764060357	0.00494851829668292	0.00354269776434755	2015	"tags=36%, list=17%, signal=30%"	"112/2977/673/3709/113/4660/79924/800/5604/5580/91807/8398/10398/5595/183/5581/8399/136/64600/133/779/4881/776/4879/135/1907/111"
"hsa04022"	"hsa04022"	"cGMP-PKG signaling pathway"	100	-0.518598216681669	-2.04082724089751	0.000167084377610693	0.00494851829668292	0.00354269776434755	2015	"tags=29%, list=17%, signal=24%"	"112/2977/3709/5530/113/5534/5533/3643/5604/91807/10398/7408/480/5595/476/64764/4776/5581/84699/23533/4773/779/6543/4881/776/4879/111/10000/1388"
"hsa04925"	"hsa04925"	"Aldosterone synthesis and secretion"	59	-0.563063417565841	-2.02689058249454	0.000172503018802829	0.00494851829668292	0.00354269776434755	936	"tags=24%, list=8%, signal=22%"	"480/476/64764/8536/183/5581/84699/1583/3762/779/4881/776/111/1388"
"hsa04921"	"hsa04921"	"Oxytocin signaling pathway"	98	-0.497556794603978	-1.94878176932987	0.000168180289270098	0.00494851829668292	0.00354269776434755	2015	"tags=40%, list=17%, signal=33%"	"2002/7226/2778/4638/2775/54776/112/5598/2977/5565/3709/5530/113/4660/60/5534/5533/6714/5604/1956/91807/3265/10398/5595/8536/27092/2353/595/4776/59285/6261/1827/3762/23533/4773/779/4881/776/111"
"hsa04080"	"hsa04080"	"Neuroactive ligand-receptor interaction"	66	-0.521457428956959	-1.91390347592182	0.000171614896172988	0.00494851829668292	0.00354269776434755	851	"tags=33%, list=7%, signal=31%"	"7433/1081/706/2562/9568/183/9294/7068/6870/136/2914/718/133/2689/1442/1443/5745/3952/5029/135/2900/1907"
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	205	-0.426982847707787	-1.85477517785622	0.000156690692572861	0.00494851829668292	0.00354269776434755	1995	"tags=30%, list=17%, signal=25%"	"1441/3678/2057/896/5585/1291/7529/5159/2885/1019/5228/1436/3643/3911/2782/5604/3164/1956/2056/7422/54541/7533/3265/1944/3716/1978/2066/2997/2260/1017/5595/3480/2263/3914/5155/3655/1299/5526/64764/3691/598/596/595/1293/84699/4609/23533/2689/51378/7450/1442/1443/28227/1435/3560/2246/1298/10000/1969/3569/1388"
"hsa04933"	"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	70	-0.505379607841117	-1.87564958639331	0.000341005967604433	0.00697242176118953	0.00499163214209231	1470	"tags=29%, list=13%, signal=25%"	"5580/6772/7422/2152/3265/5595/5333/7056/177/51196/183/596/595/4088/5581/2308/5054/84812/10000/3569"
"hsa04935"	"hsa04935"	"Growth hormone synthesis, secretion and action"	86	-0.467094695138809	-1.79671567866103	0.000338638672536404	0.00697242176118953	0.00499163214209231	624	"tags=14%, list=5%, signal=13%"	"64764/2353/84699/9021/779/2689/1442/1443/776/111/10000/1388"
"hsa04728"	"hsa04728"	"Dopaminergic synapse"	80	-0.468465402800395	-1.77743113128093	0.000341588385994876	0.00697242176118953	0.00499163214209231	630	"tags=12%, list=5%, signal=12%"	"5526/64764/2353/84699/3762/28227/776/111/10000/1388"
