"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"hsa04061"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	27	-0.724849558578005	-2.19567629939052	0.000192566917003659	0.0111688811862122	0.00868240309998953	1752	"tags=56%, list=13%, signal=48%"	"7132/146433/1236/8809/3572/7133/1436/1435/8740/8743/57007/3560/643/3570/3569"
"hsa04066"	"hsa04066"	"HIF-1 signaling pathway"	83	-0.558134627197797	-2.12188377681359	0.000184535892231039	0.0111688811862122	0.00868240309998953	2368	"tags=43%, list=18%, signal=36%"	"1387/596/2064/5291/2597/405/5595/816/7037/5604/54583/5211/5163/2023/5214/3460/2872/2033/2026/226/2027/3643/3098/230/1956/3480/2056/3948/7422/6513/3099/1978/5054/51378/3570/3569"
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	47	-0.578854553497042	-1.98541230084714	0.000189214758751183	0.0111688811862122	0.00868240309998953	2341	"tags=53%, list=18%, signal=44%"	"480/8645/1289/1284/1299/1294/1282/10008/1293/11136/136227/1307/476/6510/80781/6547/6520/85301/340024/6543/1298/1308/153201/4311/1280"
"hsa04261"	"hsa04261"	"Adrenergic signaling in cardiomyocytes"	101	-0.504613322456633	-1.97822264630243	0.000186115764005211	0.0111688811862122	0.00868240309998953	2558	"tags=35%, list=19%, signal=28%"	"107/2776/468/112/596/480/7139/84699/5595/816/1390/5526/5522/775/6330/476/776/7171/113/6547/59285/23533/64764/27092/6543/779/4635/491/492/111/90993/4634/28227/6331/1388"
"hsa00010"	"hsa00010"	"Glycolysis / Gluconeogenesis"	44	-0.581023061462112	-1.96306327664511	0.000190186382655002	0.0111688811862122	0.00868240309998953	2250	"tags=57%, list=17%, signal=47%"	"5223/5230/669/2597/10327/2821/5211/441531/219/2023/5214/5315/5236/7167/2026/226/2027/217/5106/3098/230/221/3948/222/3099"
"hsa04151"	"hsa04151"	"PI3K-Akt signaling pathway"	223	-0.401347641675921	-1.75481988729212	0.000178284899269032	0.0111688811862122	0.00868240309998953	2366	"tags=32%, list=18%, signal=27%"	"5585/596/2065/2064/5291/3672/3716/1284/7157/1299/2786/84699/5595/64223/9180/2263/3694/5604/2885/1282/1017/23239/898/3914/8517/7448/3164/2309/1293/5526/5522/5228/3655/5106/598/2324/1436/3643/2997/2260/3691/595/1435/1956/5155/3480/3678/2056/1442/23533/64764/4609/5563/7422/2246/1298/930/7450/1944/54541/1978/51378/2689/22798/3560/3570/3569/90993/1280/28227/1969/1388"
"hsa05168"	"hsa05168"	"Herpes simplex virus 1 infection"	389	0.370822990228027	1.77140270461244	0.000241604252234839	0.0120111828253892	0.00933718689088026	3763	"tags=42%, list=28%, signal=31%"	"7643/4938/3665/26149/3717/163255/5293/7761/342908/57677/163131/90987/3108/7769/7594/3133/1616/284306/100129543/7596/58500/148266/345462/7771/7568/219749/9310/55786/1147/148203/339559/347344/51135/340252/727/54205/836/55900/7638/7711/7738/80095/171392/7556/329/7773/22835/284349/57547/7748/256051/148213/7767/7770/147923/7700/163081/84527/339318/841/100129842/730051/7565/342909/168374/7730/162655/54925/9534/7567/92283/84503/146542/10795/117608/163050/162239/100529215/55552/51385/10520/284370/353088/729747/146198/6430/10793/7768/3459/113835/146434/90576/7561/90592/6432/7743/8891/10308/253639/57711/51276/4940/22869/339327/29915/92285/6427/84671/148268/10780/7562/79788/7539/7637/7752/7733/7625/127396/84436/125893/84924/148156/64170/6885/126068/55769/126070/6041/94039/1965/572/728927/5290/84874/79862/10224/100289635/7571/6940/55713/842/4615/29110/440515/6732/7617/8892/8717/7559/637/55659/163059/148103/115196/101060200/146540/10379/147686/284406/79230/7699/25799"
"hsa04520"	"hsa04520"	"Adherens junction"	82	-0.490149371032018	-1.85831702618084	0.000370919881305638	0.0161350148367953	0.0125429486178354	3171	"tags=51%, list=24%, signal=39%"	"1457/8976/1495/7414/5819/889/283106/81/1387/5797/5881/2064/7082/60/6714/5595/5770/1459/6932/71/25945/5792/10163/2033/57154/6934/4008/1460/1500/3643/2260/1956/6615/56288/3480/10398/87/81607/57493/10580/1003/4088"
"hsa04928"	"hsa04928"	"Parathyroid hormone synthesis, secretion and action"	77	-0.499229123984496	-1.87183784018031	0.000554836323284631	0.0193083040503052	0.0150097826404369	3246	"tags=47%, list=24%, signal=36%"	"3708/148327/3727/4323/4324/369/107/2776/468/112/596/632/673/84699/5595/3709/5604/6667/4209/1839/8521/5144/2260/2625/113/1956/10893/1958/64764/6257/2353/10568/5745/111/90993/1388"
"hsa04060"	"hsa04060"	"Cytokine-cytokine receptor interaction"	106	-0.460228740382666	-1.82286520232879	0.000549349935909174	0.0193083040503052	0.0150097826404369	1847	"tags=37%, list=14%, signal=32%"	"53342/7132/146433/7066/93/3460/1236/83729/3623/8809/3572/7133/3977/3976/3554/1436/8744/1435/1439/7040/55504/1489/652/2056/84957/1442/8740/8743/57007/10148/10663/8200/9518/2689/3560/3952/643/3570/3569"
"hsa00590"	"hsa00590"	"Arachidonic acid metabolism"	28	-0.627538546563744	-1.91504711935967	0.000769971126082772	0.0206115347597542	0.0160228809233419	970	"tags=36%, list=7%, signal=33%"	"2678/8398/8399/240/64600/151056/4051/59344/5740/8529"
