"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"R-HSA-112409"	"R-HSA-112409"	"RAF-independent MAPK1/3 activation"	19	-0.834879312521255	-2.3707636706865	1.09717557300772e-07	0.000113291459746846	0.00010330472521922	1028	"tags=63%, list=9%, signal=58%"	"5604/3716/5595/3572/80824/11221/1843/1847/1849/1852/1846/3569"
"R-HSA-388396"	"R-HSA-388396"	"GPCR downstream signalling"	234	-0.433642745354259	-1.92333506406667	1.74160583776857e-07	0.000113291459746846	0.00010330472521922	2058	"tags=30%, list=18%, signal=26%"	"10235/27237/112/3678/5598/2870/2885/7409/6464/3709/26090/9181/5530/113/79924/5534/25791/1132/5533/6714/2782/5580/1956/1236/23370/3265/7852/126006/6453/5595/11343/7984/7433/29/84033/6004/1081/5058/160851/8843/1232/9568/121512/183/9294/9283/445328/5575/6870/5581/8527/136/2914/718/23533/5144/133/50840/57007/5745/100271715/10663/89846/56477/5029/135/1907/6288/111/10000/9639"
"R-HSA-372790"	"R-HSA-372790"	"Signaling by GPCR"	260	-0.41149396634749	-1.84137383338484	4.207350405884e-07	0.000182458762601836	0.000166374873944957	2058	"tags=32%, list=18%, signal=27%"	"10235/27237/112/3678/5598/2870/2885/1889/7409/6464/3709/26090/9181/5530/113/79924/5534/976/25791/1132/5533/6714/2782/5580/1956/8324/1236/23370/3265/7852/126006/6453/1604/5595/7855/11343/7984/7481/7433/29/84033/6004/1081/5058/160851/8843/1232/9568/121512/1238/183/9294/9283/445328/5575/6870/5581/8527/7476/136/2914/30817/79948/718/23533/7480/5144/133/50840/57007/5745/100271715/10663/89846/56477/5029/135/1907/6288/111/10000/9639"
"R-HSA-397014"	"R-HSA-397014"	"Muscle contraction"	94	-0.530316223229926	-2.06962851526994	2.36222873190183e-06	0.00076831489505107	0.000700587310750884	1046	"tags=30%, list=9%, signal=27%"	"10398/480/3775/8645/1756/10008/476/5058/7171/309/27092/217/1066/7136/30819/5349/10580/59285/844/6261/7140/7111/6543/4881/58/4634/4606/4311"
"R-HSA-6785807"	"R-HSA-6785807"	"Interleukin-4 and Interleukin-13 signaling"	55	-0.60960312288846	-2.1819892175096	6.3392080156687e-06	0.00164946192567699	0.00150406051234918	2397	"tags=47%, list=20%, signal=38%"	"7133/7157/6095/7040/5451/58480/6778/3911/6772/7422/3716/3091/2625/246/2353/598/596/595/4609/9021/2308/3684/1052/240/6288/3569"
"R-HSA-375276"	"R-HSA-375276"	"Peptide ligand-binding receptors"	31	-0.690586544233188	-2.21004261583052	1.41076927519253e-05	0.00239538651037222	0.00218423123685383	1202	"tags=42%, list=10%, signal=38%"	"1236/7852/1232/1238/183/9283/6870/718/57007/10663/56477/1907/6288"
"R-HSA-1474244"	"R-HSA-1474244"	"Extracellular matrix organization"	147	-0.453006103299449	-1.9131184784998	1.23899023237106e-05	0.00239538651037222	0.00218423123685383	2175	"tags=39%, list=19%, signal=32%"	"3674/7040/136227/824/3678/6382/23473/1291/8985/831/4038/85301/3683/823/826/1515/4017/4324/2192/3911/1303/1289/10536/682/3339/871/8425/4327/80781/84034/3914/1756/5155/3655/1299/1294/7837/147968/9507/4237/9644/3691/8076/4684/87/8200/1293/55214/10893/1307/634/5054/3684/1308/7450/8728/1298"
"R-HSA-1280215"	"R-HSA-1280215"	"Cytokine Signaling in Immune system"	445	-0.341343100305179	-1.61330292242899	1.47295096717738e-05	0.00239538651037222	0.00218423123685383	2397	"tags=28%, list=20%, signal=23%"	"7133/2317/26525/7157/9040/6597/23291/7534/3588/5371/9688/6095/4282/6396/9180/85363/5692/7040/8767/375/5694/5451/8835/5610/10068/5795/1441/8554/7186/5598/6382/3181/5690/2885/7409/6464/58480/5770/6778/407977/3669/5704/9466/10475/3659/5609/3654/2537/6714/4067/1436/3911/1265/5062/5604/5580/91543/6772/81603/4792/7132/53840/3636/7422/7187/9020/132014/3265/7324/3716/3091/1489/2625/3107/5595/3572/10346/53833/246/3664/2316/2887/5699/5784/11274/177/2353/128178/598/596/2633/4684/595/84868/4088/1849/4502/4609/3460/9021/9636/2308/9846/10148/3635/3977/2689/3684/3394/1442/2634/1435/1439/1052/115361/23650/3560/6503/1846/240/6288/10000/3569"
"R-HSA-211897"	"R-HSA-211897"	"Cytochrome P450 - arranged by substrate type"	21	-0.751711543093141	-2.18836855173274	2.38382262731655e-05	0.00344594804237648	0.00314218491343363	1780	"tags=57%, list=15%, signal=49%"	"8648/1588/405/5447/56603/1551/100861540/1583/1562/5740/1543/126410"
"R-HSA-6805567"	"R-HSA-6805567"	"Keratinization"	31	-0.672731531933696	-2.15290229298819	3.58823421780759e-05	0.00389024393113973	0.00354731575742908	2423	"tags=58%, list=21%, signal=46%"	"2125/5046/144501/64065/11202/823/826/11187/3875/3858/5652/3855/7051/3872/3857/192666/23581/3861"
