SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
7SK	-0.211878395	0.548057013	-0.205371157	0.304144182	-0.189700883	0.689132298
A1BG	-0.032201498	0.886570784	-0.025324825	0.808394754	-0.02384003	0.923828099
A1BG-AS1	0.221022984	0.196076962	0.227750625	0.046130977	0.229645269	0.250835257
A2ML1	-0.316535207	4.85E-05	-0.309722667	2.28E-06	-0.308240828	0.00386259
A2ML1-AS1	-0.152770765	0.678763953	-0.14505124	0.407890873	-0.134425549	0.727578724
A4GALT	-0.191346275	0.050507144	-0.184890914	0.011979698	-0.183683634	0.133386286
AAAS	-0.075186008	0.415602623	-0.068369059	0.207150649	-0.06669717	0.508673243
AACS	0.022263064	0.831542641	0.028813016	0.585912051	0.029118485	0.800036011
AADAT	-0.181488983	0.452568615	-0.175372225	0.22199937	-0.166587055	0.548507161
AAED1	-0.075627985	0.568669753	-0.069142956	0.364009755	-0.070030853	0.634856668
AAGAB	0.202969479	0.069870874	0.209190817	0.012011374	0.211259289	0.147747531
AAK1	-0.128527164	0.096157024	-0.122025635	0.027262806	-0.122030211	0.182529443
AAMDC	0.344355911	0.177053787	0.35098254	0.039559641	0.341331626	0.273938568
AAMP	-0.051111808	0.507221778	-0.044572327	0.354539039	-0.044377357	0.631882663
AAR2	-0.026889164	0.831542641	-0.020163952	0.740893285	-0.019021958	0.897801834
AARS	-0.018362593	0.923671371	-0.012626673	0.879072564	-0.014170981	0.950855373
AARS2	-0.092083986	0.307266707	-0.085775193	0.147651265	-0.086224321	0.422991415
AARSD1	-0.090311769	0.568856457	-0.083980339	0.352084098	-0.094353106	0.5950754
AASDH	0.227117176	0.047543147	0.23344902	0.007302441	0.240464054	0.106668609
AASDHPPT	0.119122818	0.212441804	0.125631213	0.052587324	0.127739895	0.261674468
AASS	0.023551353	0.858143555	0.030135036	0.627276923	0.029526543	0.840357048
AB019441.29	-0.094059208	0.752295456	-0.087466941	0.570372364	-0.094253459	0.77462551
ABAT	0.048672054	0.820173783	0.055323941	0.597964783	0.0540449	0.82323686
ABCA11P	0.410620116	0.018245852	0.41653122	0.002049932	0.424604952	0.060965706
ABCA2	-0.178764078	0.031061653	-0.171868408	0.004226658	-0.171329488	0.084027421
ABCA3	0.227973642	0.347225511	0.234494168	0.129837421	0.261280094	0.36180945
ABCA4	-0.311634668	3.86E-06	-0.305080735	4.79E-07	-0.307471581	0.002225681
ABCA7	0.070561615	0.497028745	0.076858423	0.222856121	0.077487617	0.523632472
ABCB10	-0.002676088	0.981527951	0.003845468	0.944665039	0.004351643	0.975972432
