SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
7SK	-0.25422582	0.561516792	-0.239489753	0.427023665	-0.230119042	0.644459293
A1BG	-0.055081021	0.827725887	-0.040335994	0.78890268	-0.035404914	0.882764656
A1BG-AS1	0.225140288	0.310155065	0.239649646	0.12930196	0.245242612	0.264883778
A2M-AS1	0.857194135	0.224785222	0.870390008	0.053820244	0.893532554	0.180264317
A2ML1	-0.574870313	1.82E-08	-0.560028456	4.50E-09	-0.558661178	0.000211158
A2ML1-AS1	-0.10340069	0.83040088	-0.088503684	0.750015252	-0.079845628	0.853537393
A4GALT	-0.29865545	0.015070958	-0.28418359	0.007053772	-0.282566305	0.047162391
AAAS	-0.209739897	0.02969329	-0.194876592	0.012065695	-0.193282184	0.062476969
AACS	0.101892812	0.297672619	0.1164929	0.10980067	0.116635898	0.23782299
AACSP1	-0.572785169	0.183005109	-0.557314988	0.062724509	-0.541030523	0.213383599
AADACL3	-1.148763182	0.077859858	-1.129076749	0.007497697	-1.106653606	0.071727896
AADAT	-0.020570303	0.959304228	-0.006553025	0.994494916	-0.000614915	0.998961955
AAED1	0.045497212	0.801637963	0.0599808	0.564142235	0.059645328	0.713015472
AAGAB	0.500131401	8.44E-05	0.514354975	5.24E-06	0.515011006	0.002863287
AAK1	-0.417997255	8.03E-07	-0.403443179	4.81E-07	-0.40341461	0.000803402
AAMDC	0.428403209	0.17629138	0.442805262	0.055223455	0.446510016	0.170480805
AAMP	-0.03340257	0.753594565	-0.018820151	0.788861677	-0.0186728	0.873379753
AAR2	-0.104288442	0.399008874	-0.089522962	0.296736858	-0.087410888	0.490468324
AARS	-0.463960572	0.000615684	-0.449801004	0.0001751	-0.444326215	0.012073718
AARS2	-0.222410017	0.025994906	-0.208050189	0.013872599	-0.207812795	0.068869316
AARSD1	-0.102121417	0.605857453	-0.087838775	0.497225976	-0.087271331	0.661681927
AASDH	0.368368719	0.008759175	0.382727019	0.001287118	0.387758474	0.021102433
AASDHPPT	0.268876253	0.012238115	0.283383474	0.001490953	0.28511262	0.023966703
AASS	0.008166526	0.963930285	0.022795854	0.788152311	0.022930245	0.886025303
AATBC	-0.641198143	0.165973255	-0.62557717	0.05181274	-0.61159089	0.18258317
AATK	-0.595389408	0.298898789	-0.580706504	0.125615037	-0.575435068	0.306908536
AB019441.29	0.016102268	0.971356747	0.030565924	0.887145142	0.030237593	0.935670095
ABALON	-1.236940764	0.028252431	-1.220022978	0.008334525	-1.195661222	0.098986678
ABAT	0.04640797	0.857946043	0.060969385	0.670559421	0.061228431	0.799988104
ABCA1	-0.384049057	0.655076126	-0.367928675	0.484320623	-0.357402178	0.686781366
ABCA11P	0.225881843	0.402296889	0.239845857	0.201171624	0.246888649	0.367771596
ABCA2	-0.375526598	0.000175963	-0.360519244	3.22E-05	-0.358736215	0.004421019
ABCA3	0.484078667	0.063876448	0.498683774	0.013666625	0.5189784	0.063771948
ABCA4	-0.457923414	5.94E-07	-0.443371672	3.99E-07	-0.44341427	0.000760666
ABCA5	1.05594673	0.084355332	1.069433516	0.014338295	1.173341707	0.08546673
ABCA7	0.175741136	0.108725929	0.190065461	0.029319042	0.190240421	0.116649616
ABCB10	-0.020376248	0.872779129	-0.00580341	0.945601434	-0.005550727	0.966642327
ABCB6	-0.299020471	0.003728427	-0.284584197	0.001081445	-0.283926771	0.018382773
ABCB7	0.146077204	0.387400138	0.160111071	0.177637911	0.163646913	0.345529713
ABCB8	0.183523613	0.125635144	0.198087753	0.025559534	0.198028921	0.106225687
ABCB9	-0.170095564	0.453940302	-0.155949132	0.333043365	-0.152478024	0.53647084
ABCC1	-0.451995623	0.241087281	-0.436628748	0.050199021	-0.417324864	0.203533722
ABCC10	-0.195856638	0.092649788	-0.1815065	0.058044742	-0.181084166	0.152561879
ABCC11	-0.193260199	0.864322278	-0.177414444	0.8191455	-0.140962001	0.908258293
ABCC2	0.066016479	0.917781418	0.079693043	0.790348254	0.080648242	0.878518027
ABCC4	0.227700562	0.20022102	0.242329079	0.065293897	0.244001954	0.171988119
ABCC5	-0.004266112	0.978242815	0.010461433	0.885466773	0.010851786	0.938875695
ABCC6	0.184787039	0.665657593	0.199359668	0.430430308	0.212157776	0.576760729
ABCD1	-0.156295728	0.13966556	-0.141504486	0.081217406	-0.140467643	0.207286549
ABCD3	0.227911357	0.009958962	0.242401873	0.001513852	0.242367756	0.022625027
ABCD4	0.049801726	0.756368095	0.064187144	0.49271602	0.064568834	0.680939691
ABCE1	0.051332768	0.766163506	0.065714579	0.508407012	0.070151569	0.681737178
ABCF2	-0.029926618	0.850129947	-0.015273706	0.866893063	-0.013028951	0.935759556
ABCF3	-0.091295605	0.450760978	-0.076730283	0.342339226	-0.076700867	0.522805141
ABCG2	-0.027202498	0.864652807	-0.012746076	0.894304585	-0.010299905	0.951554894
ABHD10	0.136533364	0.245001223	0.151033126	0.082858647	0.152077285	0.21340446
ABHD11	-0.077961719	0.643935809	-0.063753864	0.555492448	-0.063054428	0.724521229
ABHD12	-0.280184791	0.002240499	-0.265509581	0.000648585	-0.265271965	0.013060043
ABHD12B	0.108989257	0.709501838	0.123169989	0.487828576	0.124975688	0.650775437
ABHD13	0.187631861	0.224622097	0.201971793	0.083132208	0.20238223	0.196195799
ABHD14A	0.117986137	0.562026616	0.132681214	0.30950726	0.139155184	0.456637342
ABHD14A-ACY1	-0.215674792	0.015551538	-0.201083662	0.007192435	-0.20102082	0.043557913
ABHD14B	0.096975731	0.647130345	0.111833232	0.38239286	0.114932979	0.563614933
ABHD15	0.496226302	0.000440714	0.510582181	2.85E-05	0.510265322	0.004259461
ABHD16A	0.012115179	0.954584796	0.026739707	0.79912371	0.027013018	0.889344497
ABHD17A	0.076436813	0.616713095	0.091108742	0.316697985	0.091285242	0.52995946
ABHD17AP1	0.134854701	0.89792778	0.148161234	0.818467576	0.147289392	0.866531959
ABHD17B	0.025432752	0.898868004	0.039876167	0.709186292	0.039465861	0.830114101
ABHD17C	0.106922858	0.485972054	0.121809082	0.222749649	0.12500901	0.384158329
ABHD18	0.290479204	0.073757089	0.304770481	0.019732423	0.304920865	0.086564947
