SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
7SK	-0.015757125	0.96024684	-0.00674082	0.97906156	-0.002867397	0.992920397
A1BG	0.085210645	0.512959788	0.095377427	0.344089254	0.094583813	0.40699508
A1BG-AS1	0.517357257	9.04E-06	0.527038897	3.39E-06	0.530458563	0.000291691
A2M-AS1	0.805431401	0.063595208	0.815731195	0.017337543	0.828862639	0.061847075
A2ML1	-0.980080502	1.75E-49	-0.969928714	1.06E-47	-0.967014185	3.97E-10
A2ML1-AS1	-0.351869486	0.12530431	-0.341144656	0.062655378	-0.328034127	0.128335228
A2ML1-AS2	-0.106068366	0.884478602	-0.106455542	0.884287088	-0.038471836	0.952526223
A4GALT	-0.27578086	0.000248327	-0.266253257	0.000304279	-0.262690394	0.0033277
AAAS	-0.288780709	3.54E-07	-0.278816946	3.27E-07	-0.277183992	0.000111167
AACS	0.10652838	0.05909266	0.11634121	0.026781947	0.116453194	0.045618082
AACSP1	-0.453938224	0.08019261	-0.441594212	0.02973498	-0.427982924	0.093608035
AADACL3	-1.733359371	1.04E-05	-1.712673061	2.46E-08	-1.688313693	0.000246678
AADACL4	-2.019416794	0.008518078	-1.985137023	0.000790556	-1.806094074	0.016281897
AADAT	0.104960427	0.57059667	0.114284293	0.428260639	0.119037807	0.478281017
AAED1	-0.168976191	0.043098764	-0.158948417	0.039685851	-0.169916729	0.046711523
AAGAB	0.525538407	8.06E-11	0.534789597	1.03E-10	0.533932923	1.44E-05
AAK1	-0.50009	2.65E-20	-0.49030951	1.01E-18	-0.49127519	1.68E-07
AAMDC	0.704062563	7.07E-05	0.713497784	2.34E-05	0.707972575	0.001088135
AAMP	-0.01839395	0.768724436	-0.008570099	0.860876344	-0.009162577	0.882727698
AAR2	-0.010901636	0.905347373	-0.001028497	0.984451294	0.001902695	0.981994366
AARS	-0.710555536	5.44E-18	-0.701285508	2.29E-17	-0.697329134	8.47E-07
AARS2	-0.371595458	1.71E-10	-0.361992456	1.10E-09	-0.361918996	1.92E-05
AARSD1	-0.184110133	0.067985362	-0.174496444	0.05342919	-0.184006234	0.080315961
AASDH	0.416858687	1.19E-06	0.426482834	8.54E-07	0.428400424	0.00021512
AASDHPPT	0.188673809	0.005729284	0.198247362	0.00224923	0.201160769	0.009530306
AASS	0.029420083	0.731913759	0.039330641	0.53481462	0.039080003	0.614914078
AATBC	-0.505371699	0.070354828	-0.49564807	0.025348797	-0.493913132	0.064721363
AATK	-0.241921893	0.5122918	-0.234822661	0.366517419	-0.25766564	0.420796838
AB019441.29	-0.147571885	0.438930527	-0.13723094	0.371733097	-0.161771657	0.364862475
ABALON	-0.331505047	0.38527958	-0.320659234	0.27284152	-0.358624823	0.331276335
ABAT	0.314243366	0.004308354	0.323500435	0.00191809	0.329171248	0.006767032
ABBA01000934.1	-0.878604954	0.33238532	-0.852039732	0.20416468	-0.959471725	0.304607413
ABCA1	-0.228195792	0.655351178	-0.216724629	0.538350262	-0.200008438	0.686374434
ABCA11P	0.263468926	0.086744165	0.272624077	0.046503602	0.279552771	0.088422655
ABCA12	-0.638056038	0.362583303	-0.632247283	0.229037314	-0.712788246	0.264126632
ABCA17P	-0.422547206	0.57285858	-0.417095271	0.420619529	-0.234544811	0.721758461
ABCA2	-0.52511103	2.07E-17	-0.514703048	1.57E-17	-0.513976531	3.73E-07
ABCA3	0.859107461	9.92E-09	0.869127042	4.73E-09	0.879034637	2.85E-05
ABCA4	-0.544279664	3.15E-20	-0.534336583	2.05E-18	-0.536376629	1.98E-07
ABCA5	2.145039244	5.70E-10	2.151598938	1.15E-11	2.255275526	1.70E-05
ABCA7	0.059064676	0.439364021	0.06846983	0.281923938	0.069875988	0.353000346
ABCB10	-0.070884636	0.236011187	-0.061258865	0.242835379	-0.060548168	0.31486365
ABCB6	-0.300097317	2.29E-06	-0.290586061	2.04E-06	-0.292805585	0.000238
ABCB7	0.03723041	0.750127121	0.04642949	0.591124959	0.050009693	0.654234586
ABCB8	0.445513315	8.86E-12	0.455077975	1.04E-12	0.453767199	2.92E-06
ABCB9	0.221160307	0.070321827	0.230380414	0.036266007	0.23694047	0.066976197
ABCC1	-0.441192017	0.04830853	-0.431039663	0.004880757	-0.431004688	0.029212595
ABCC10	-0.221892471	0.001224102	-0.212721169	0.001582968	-0.209712314	0.007713415
ABCC11	0.720493069	0.15369599	0.729719673	0.063340652	0.731911143	0.146457774
ABCC2	-1.210514634	9.28E-06	-1.198542777	6.52E-07	-1.189368088	0.000607684
ABCC3	0.948053813	0.08019261	0.948730904	0.012524345	0.936431006	0.065230139
ABCC4	0.323791971	0.001176873	0.333466104	0.000493388	0.339448854	0.003089945
ABCC5	-0.071374382	0.260706685	-0.061398253	0.255208444	-0.061248909	0.32573365
ABCC6	0.048387231	0.866012721	0.058326097	0.751222469	0.056457587	0.821833228
