SYMBOL	logFC_edgeR	PValue	logFC_limma	adj.P.Val	log2FoldChange_DESeq2	padj
A2ML1	-0.309722667	2.28E-06	-0.308240828	0.00386259	-0.316535207	4.85E-05
ABCA4	-0.305080735	4.79E-07	-0.307471581	0.002225681	-0.311634668	3.86E-06
ABHD15	0.3514573	8.40E-05	0.338348187	0.024362138	0.344946652	0.00153471
AC002480.3	-0.381097743	0.001393191	-0.38883104	0.02854151	-0.387816873	0.008896242
AC016735.2	-0.464354408	0.003462554	-0.477871085	0.049008469	-0.47080657	0.031286845
AC090505.6	-0.346429941	0.001013732	-0.341313698	0.028271918	-0.35258612	0.007454367
AC106706.1	-0.352982849	0.000645194	-0.351946176	0.016919801	-0.359418041	0.00544941
ACADM	0.349851658	5.44E-05	0.351208009	0.020332663	0.343718962	0.00083528
ACKR2	-0.244195768	1.67E-05	-0.24357787	0.008482522	-0.250752757	0.000234079
ACKR3	-0.4190369	1.31E-09	-0.423882107	0.000292208	-0.425651428	3.42E-08
ACO1	0.251373365	9.58E-05	0.254545224	0.013953855	0.244808392	0.001625244
ACSF2	-0.206825797	9.39E-05	-0.207078601	0.01359753	-0.213438861	0.000931243
ACTN1	-0.27509538	1.77E-06	-0.274098048	0.003065615	-0.281385275	2.59E-05
ACTN2	0.34017725	0.00050254	0.342332678	0.033944378	0.334038349	0.005939028
ADAM19	-0.463257771	8.05E-09	-0.459141822	0.000843038	-0.470365859	3.42E-07
ADAMTS13	0.313701281	0.000295527	0.30876376	0.032384724	0.307175107	0.003463094
ADARB1	0.520561549	6.74E-17	0.520999267	4.39E-05	0.514053455	8.68E-16
ADCY5	-0.787010206	2.39E-12	-0.776816303	6.54E-05	-0.794062456	5.49E-11
ADGRE2	-0.312093325	9.61E-06	-0.311250702	0.007899012	-0.318988887	0.000234079
ADGRF2	-0.524529689	0.001897128	-0.549205154	0.027590057	-0.531175513	0.012812058
ADM	-0.399336621	1.37E-05	-0.400893673	0.012181985	-0.406285858	0.015282657
ADORA2A	-0.591765564	0.000520636	-0.586440303	0.032383879	-0.598809128	0.010080363
