SYMBOL	logFC_edgeR	PValue	logFC_limma	adj.P.Val	log2FoldChange_DESeq2	padj
A1BG-AS1	0.527038897	3.39E-06	0.530458563	0.000291691	0.517357257	9.04E-06
A2ML1	-0.969928714	1.06E-47	-0.967014185	3.97E-10	-0.980080502	1.75E-49
A4GALT	-0.266253257	0.000304279	-0.262690394	0.0033277	-0.27578086	0.000248327
AAAS	-0.278816946	3.27E-07	-0.277183992	0.000111167	-0.288780709	3.54E-07
AADACL3	-1.712673061	2.46E-08	-1.688313693	0.000246678	-1.733359371	1.04E-05
AADACL4	-1.985137023	0.000790556	-1.806094074	0.016281897	-2.019416794	0.008518078
AAED1	-0.158948417	0.039685851	-0.169916729	0.046711523	-0.168976191	0.043098764
AAGAB	0.534789597	1.03E-10	0.533932923	1.44E-05	0.525538407	8.06E-11
AAK1	-0.49030951	1.01E-18	-0.49127519	1.68E-07	-0.50009	2.65E-20
AAMDC	0.713497784	2.34E-05	0.707972575	0.001088135	0.704062563	7.07E-05
AARS	-0.701285508	2.29E-17	-0.697329134	8.47E-07	-0.710555536	5.44E-18
AARS2	-0.361992456	1.10E-09	-0.361918996	1.92E-05	-0.371595458	1.71E-10
AASDH	0.426482834	8.54E-07	0.428400424	0.00021512	0.416858687	1.19E-06
AASDHPPT	0.198247362	0.00224923	0.201160769	0.009530306	0.188673809	0.005729284
ABAT	0.323500435	0.00191809	0.329171248	0.006767032	0.314243366	0.004308354
ABCA2	-0.514703048	1.57E-17	-0.513976531	3.73E-07	-0.52511103	2.07E-17
ABCA3	0.869127042	4.73E-09	0.879034637	2.85E-05	0.859107461	9.92E-09
ABCA4	-0.534336583	2.05E-18	-0.536376629	1.98E-07	-0.544279664	3.15E-20
ABCA5	2.151598938	1.15E-11	2.255275526	1.70E-05	2.145039244	5.70E-10
ABCB6	-0.290586061	2.04E-06	-0.292805585	0.000238	-0.300097317	2.29E-06
ABCB8	0.455077975	1.04E-12	0.453767199	2.92E-06	0.445513315	8.86E-12
ABCC1	-0.431039663	0.004880757	-0.431004688	0.029212595	-0.441192017	0.04830853
ABCC10	-0.212721169	0.001582968	-0.209712314	0.007713415	-0.221892471	0.001224102
ABCC2	-1.198542777	6.52E-07	-1.189368088	0.000607684	-1.210514634	9.28E-06
ABCC4	0.333466104	0.000493388	0.339448854	0.003089945	0.323791971	0.001176873
ABCD1	-0.12797173	0.024955824	-0.128594087	0.049148588	-0.137929412	0.028748335
ABCD3	0.16887306	0.002281016	0.169256817	0.008701184	0.15933408	0.004609921
ABCF2	-0.176694961	0.003786265	-0.175381855	0.015211475	-0.186391382	0.005589594
ABCF3	-0.174687234	0.002149146	-0.178482473	0.007442349	-0.184305071	0.002858935
ABHD11	0.188723573	0.010962754	0.188471996	0.034247482	0.179513811	0.028806067
ABHD12	-0.250522698	3.86E-06	-0.252372407	0.000255218	-0.260145155	4.42E-06
ABHD13	0.272886096	0.001334008	0.277448742	0.005134727	0.263821203	0.002360397
ABHD14A	0.349061947	0.000223391	0.356525787	0.001498746	0.339196909	0.000550724
ABHD14A-ACY1	-0.266207598	4.05E-07	-0.26688367	9.83E-05	-0.275918155	1.98E-07
ABHD15	0.762264984	1.11E-17	0.764926419	3.11E-07	0.752871518	7.03E-18
ABHD16A	0.31584345	3.72E-05	0.308798412	0.001073787	0.305895281	0.00011385
ABHD17C	0.247992832	0.000590752	0.252899527	0.003251557	0.237988189	0.002058242
ABHD18	0.270723652	0.004739775	0.27358928	0.015917734	0.261498677	0.008371022
ABHD5	0.215416375	0.005884136	0.215672287	0.015749434	0.205894007	0.011673322
ABI1	-0.255677643	2.24E-05	-0.254246107	0.000861109	-0.265633751	3.13E-05
ABI2	0.200461985	0.000219683	0.201253083	0.001998481	0.190689618	0.000590036
ABO	0.551315077	0.009197292	0.581836652	0.021072826	0.542193846	0.016783694
ABRACL	0.48088109	8.17E-07	0.47392835	0.000304095	0.471059817	1.91E-06
ABT1	-0.174114606	0.000665269	-0.172880344	0.003533834	-0.183791309	0.000298035
ABTB1	0.467638932	4.74E-10	0.465234651	8.50E-06	0.457675733	4.53E-10
AC002116.8	-0.16702446	0.025539438	-0.171551892	0.042660905	-0.177058878	0.031276194
AC002310.11	0.210969218	0.017192713	0.206942599	0.03814569	0.201096459	0.038404122
AC002310.7	1.035010807	0.003058387	1.021010294	0.027763014	1.035908759	0.038579789
AC002456.2	-0.91264988	0.008079814	-0.923744849	0.046774439	-0.926406815	0.029925929
AC002467.7	0.904363224	0.005908931	0.928747611	0.025521638	0.898837746	0.014845676
AC002480.3	-1.076219048	3.81E-18	-1.082551095	2.60E-07	-1.086625598	1.30E-19
AC002480.4	-0.781599871	0.00179151	-0.773711738	0.011186323	-0.792804223	0.008297394
AC002985.3	-0.190412136	0.000395965	-0.189488185	0.003198168	-0.200154164	0.000279393
AC004069.2	1.42929185	0.006600987	1.405924545	0.036821298	1.432651251	0.044658392
AC004160.4	-1.265621702	9.68E-06	-1.25061173	0.002362549	-1.275890077	2.62E-05
AC004538.3	-0.786507235	1.45E-08	-0.787637325	5.13E-05	-0.796196686	9.18E-09
AC004540.5	2.247999731	0.000460308	2.064139254	0.01246732	2.28100672	0.015758368
AC004837.5	1.5085598	0.000536553	1.64276428	0.007789586	1.511616987	0.003525782
AC004987.9	-0.291349965	0.003176954	-0.286308261	0.014285753	-0.300496758	0.004235501
AC005301.9	-0.300117833	5.04E-05	-0.298289919	0.0016622	-0.309860148	0.00011385
AC005306.3	0.560533824	0.005901682	0.505776342	0.041801111	0.551389111	0.015473909
AC005329.7	0.423388049	0.012782306	0.425581017	0.02895199	0.414214731	0.023335932
AC005534.8	1.244378231	0.007719689	1.312934981	0.029356124	1.244567745	0.032316112
AC005538.3	0.379689499	0.007159669	0.385246486	0.028856141	0.37075236	0.011707294
AC005540.3	-1.573035953	1.04E-06	-1.545616452	0.001679751	-1.591606556	3.40E-05
AC005562.1	1.336561863	0.000878728	1.343432462	0.010533424	1.334654151	0.004860288
AC005786.7	0.701750845	0.002580288	0.718591176	0.015608782	0.695096154	0.011755764
AC006014.7	-0.47927233	0.00131564	-0.490269141	0.008650798	-0.488392986	0.001488747
AC006262.6	-0.576794001	1.17E-05	-0.585779604	0.00049996	-0.587297145	1.48E-05
AC006460.2	-0.894878211	0.007635703	-0.928510331	0.046883308	-0.912559636	0.030070415
AC006538.1	0.939508011	1.78E-05	0.979978083	0.000614043	0.931431459	0.000270093
AC006978.6	-0.550581722	1.35E-13	-0.547003675	2.41E-06	-0.559920817	5.64E-15
AC007036.5	0.494067528	0.00464576	0.495579558	0.016706406	0.485734079	0.020504877
AC007040.8	-1.898486765	4.38E-13	-1.880644408	1.92E-05	-1.91703653	4.80E-08
AC007191.4	-0.447123707	0.002683998	-0.45100736	0.013411622	-0.456617615	0.003414418
AC007192.4	0.139562788	0.006558073	0.139825187	0.015496548	0.129722853	0.024824634
AC007383.3	0.433354593	0.010878346	0.428970462	0.035608612	0.42398657	0.029471952
AC007386.2	0.351870072	0.001031233	0.346908211	0.006437272	0.342477174	0.002676969
AC007386.3	1.640662468	0.000814141	1.707838	0.012602977	1.635441228	0.007206157
AC007773.2	0.744779887	0.011346642	0.785059344	0.035562286	0.738825211	0.047175592
AC008271.1	-0.579431523	6.37E-05	-0.605743955	0.001257015	-0.59071693	5.42E-05
AC008753.3	0.990500542	1.81E-06	0.995845302	0.000543142	0.982177735	9.73E-06
AC009005.2	0.606237049	1.59E-07	0.599312679	0.000132832	0.596719946	5.56E-07
AC009052.12	-0.219215249	0.013964946	-0.228533333	0.022836259	-0.229422805	0.016182723
AC009120.6	0.261576561	0.008658407	0.2634061	0.018258684	0.252012499	0.01986753
AC009133.23	0.205682515	0.002547313	0.205450304	0.010652374	0.196106881	0.007922227
AC009299.2	1.377629206	1.07E-05	1.356714547	0.002529951	1.372548938	0.00014994
AC009299.3	0.723488718	4.32E-07	0.718937843	0.000133688	0.714211027	2.87E-06
AC009403.2	0.451117804	0.005024003	0.454663172	0.013466121	0.442227122	0.019511568
AC009404.2	-0.582866358	6.64E-09	-0.578270611	3.94E-05	-0.592804965	2.67E-09
AC009502.4	-0.612126482	0.008048024	-0.603812652	0.040004872	-0.624467723	0.044753445
AC009506.1	0.747058298	0.004117462	0.754889035	0.022446786	0.74043605	0.028982884
