"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"GOBP_ACTIN_FILAMENT_ORGANIZATION"	"56/1085"	"449/17872"	2.30157778819198e-07	0.00104238458027215	0.000919419758546165	"GAS7/CAPG/CTNNA1/LIMA1/ACTN1/ACTN2/NEBL/WNT11/PXN/COTL1/ARHGEF10/ARHGEF18/KANK1/TNFAIP1/CORO1C/NEDD9/CCDC88A/PIK3CA/CALD1/VASP/CCR7/CDC42EP1/GDPD2/RHPN2/KANK4/SWAP70/MICAL2/TMOD1/FHDC1/MYO7A/AP1AR/ACTA1/PAK1/ALDOA/WHAMM/CARMIL2/SHROOM1/DLC1/INPPL1/SMAD3/TPM4/RAC3/PRKCE/SYNPO/SSH3/MYO1D/PAWR/MYADM/PAK2/ARAP1/EVL/FLNA/SRC/ARPC4/MICAL3/WHAMMP3"	56
"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"20/1085"	"98/17872"	1.42621039671871e-06	0.00310776919926277	0.00274116143012916	"COL17A1/ACTN1/ACTN2/COL16A1/TRIP6/ITGA6/CORO1C/EPB41L5/MACF1/AJUBA/ITGB4/BCAS3/WHAMM/ITGA2/DLC1/SMAD3/DAPK3/LIMS1/BCR/SRC"	20
"GOBP_CELL_SUBSTRATE_ADHESION"	"GOBP_CELL_SUBSTRATE_ADHESION"	"GOBP_CELL_SUBSTRATE_ADHESION"	"46/1085"	"365/17872"	2.05857973013652e-06	0.00310776919926277	0.00274116143012916	"COL17A1/ACTN1/ACTN2/COL16A1/TRIP6/PXN/ITGA6/CCDC80/UNC13D/FERMT1/SERPINE1/ECM2/KANK1/VWF/CORO1C/NEDD9/EPB41L5/CCR7/MACF1/AJUBA/ACTN4/ITGB4/ITGAV/AP1AR/BCAS3/CCL28/WHAMM/ADAMTS13/ITGA2/DLC1/SMAD3/DAPK3/PLEKHA2/ANTXR1/RAC3/LIMS1/ITGAM/PRKCE/MYADM/GAS6/CSF1/BCR/SPRY4/LAMB3/FLNA/SRC"	46
"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS"	"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS"	"GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS"	"39/1085"	"294/17872"	3.55061100601408e-06	0.00402017931155944	0.00354593914942722	"GCLC/PKM/ACTN2/CEACAM1/PXN/CA2/LEPROTL1/GRB10/KANK1/HDAC5/C2CD5/STAT1/ERRFI1/PIK3CA/POR/GDF15/PPARG/GH2/CSH1/MYC/SORL1/BCAR3/USO1/IGF1R/CYP11A1/GRB7/SRD5A1/FOXO1/ZBTB7B/SH2B2/STAT6/SLC27A4/RAB31/LEP/AP3S1/SOCS3/SRC/CSH2/LEPROT"	39
"GOBP_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS"	"GOBP_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS"	"GOBP_CELLULAR_RESPONSE_TO_GROWTH_HORMONE_STIMULUS"	"9/1085"	"24/17872"	6.17336873922487e-06	0.00535791317653076	0.0047258673356345	"PXN/LEPROTL1/GDF15/GH2/CSH1/MYC/STAT6/CSH2/LEPROT"	9
"GOBP_FOCAL_ADHESION_ASSEMBLY"	"GOBP_FOCAL_ADHESION_ASSEMBLY"	"GOBP_FOCAL_ADHESION_ASSEMBLY"	"17/1085"	"83/17872"	8.22591338545862e-06	0.00535791317653076	0.0047258673356345	"ACTN1/ACTN2/COL16A1/TRIP6/CORO1C/EPB41L5/MACF1/AJUBA/BCAS3/WHAMM/ITGA2/DLC1/SMAD3/DAPK3/LIMS1/BCR/SRC"	17
"GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS"	"GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS"	"GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS"	"54/1085"	"479/17872"	8.2811641059208e-06	0.00535791317653076	0.0047258673356345	"GCLC/CYP26B1/SIRT2/WIPI1/TFRC/NUAK1/WNT11/GCN1/SUV39H1/STK24/MAPK3/MAPK8/CCND1/DAP/STAT1/GNPAT/ACADM/SLC2A1/POR/CD68/GDF15/PRKAB2/CHSY1/PPARG/MYBBP1A/GH2/CSH1/SORL1/GABARAPL1/IGF1R/CYP1A1/BCAS3/WDR45B/ACTA1/SRD5A1/HTR2C/SLC25A25/ADM/FOXO1/NOCT/CCL28/ALPL/ATF3/NUAK2/ITGA2/SLC27A4/SLC6A19/LEP/ULK1/NQO1/PRKAG1/GAS6/SRC/CSH2"	54
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"41/1085"	"334/17872"	1.38508596154431e-05	0.00784131789979273	0.00691631740007982	"ALDH3B1/MAPK9/YBX3/SIRT2/AKR1B1/PXN/HIF1A/STK24/MAPK3/MAPK8/EPAS1/ERRFI1/SLC2A1/TNFAIP3/PKD2/PIK3CA/SERPINB6/MGAT3/GCH1/IL6/MYC/RIPK1/ARL6IP5/FOXO1/PDK1/FZD1/PINK1/ANKZF1/PRDX3/STAT6/PRDX2/GPR37L1/PAWR/NQO1/LONP1/SRC/STK39/ZNF277/CHUK/AQP1/ETV5"	41
"GOBP_REGULATION_OF_BODY_FLUID_LEVELS"	"GOBP_REGULATION_OF_BODY_FLUID_LEVELS"	"GOBP_REGULATION_OF_BODY_FLUID_LEVELS"	"45/1085"	"385/17872"	1.88985041845518e-05	0.0087649533866932	0.00773099629347729	"CYP26B1/CD9/ENTPD2/ACTN1/TP63/DGKD/CEACAM1/AKR1B1/HIF1A/PROCR/SERPINE1/NEURL1/WFS1/CCND1/VWF/NPPB/PIK3CA/ATP7B/ADORA2A/EMILIN2/IL6/STXBP1/ADM/EXT2/UBASH3B/HK2/ADAMTS13/ZBTB7B/ZNF385A/ANXA5/ITGA2/PRDX2/NPR1/PRKCE/SAA1/HEG1/P2RY2/GAS6/CLDN4/FLNA/SRC/STK39/AQP1/GJA5/ANXA8"	45
"GOBP_REGULATION_OF_PEPTIDASE_ACTIVITY"	"GOBP_REGULATION_OF_PEPTIDASE_ACTIVITY"	"GOBP_REGULATION_OF_PEPTIDASE_ACTIVITY"	"51/1085"	"457/17872"	1.93529551483621e-05	0.0087649533866932	0.00773099629347729	"PRSS22/DPEP1/CASP8/TP63/PICALM/TBC1D10A/BIRC7/SERPINE1/ABCA2/CRYAB/PERP/DAP/COL7A1/TNFSF10/ITIH5/SERPINB6/C3/POR/ADORA2A/PPARG/ANP32B/MYC/SORL1/ECM1/ARL6IP5/SERPINH1/CRIM1/PINK1/CPAMD8/COL6A3/DLC1/PRDX3/A2ML1/BEX3/SMAD3/ANTXR1/SIMC1/SERPINB9/CYCS/PAK2/GAS6/RPS27L/BCAP31/CLDN4/SRC/MBP/ASPH/FIS1/AQP1/ANXA8L1/ANXA8"	51
