"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT"	"105/2501"	"389/17872"	7.80215698899127e-12	3.94867165212848e-08	3.28101233379159e-08	"PKD1/PSMC4/YBX3/EPN1/CASP8/YBX1/FGFR2/ATP11A/POLB/PTPN18/NLE1/NCOA1/MSH2/SMARCB1/PDGFB/MYH9/SALL4/DHX35/ASF1B/GPI/DNAJB6/PLOD3/GLI3/TGFBR1/GATA3/BMPR1A/SH3PXD2A/ZMIZ1/SUPT6H/AKAP3/BYSL/VEGFA/HES1/EPB41L5/EPAS1/MFN2/NEK2/PKD2/OCRL/ACVR1C/SNAI1/CNOT1/MED1/EIF2S2/PRMT1/NSRP1/KLF2/LIF/SMO/E2F8/SOX15/NOTCH2/TBX3/RNASEH2B/KLF4/MYC/GCM1/TET1/CIR1/GATA6/TP53/FKBP10/ZFP14/ARNT/VASH2/SLC39A1/ETNK2/EGFR/ADM/ST14/SEC24D/MBNL1/MED21/CMIP/ANGPT1/PHF6/MYO1E/SLC34A2/WDR19/PTH1R/CAPN2/FZD5/ELF3/CITED2/HEY1/DNAAF2/SMAD3/MAP2K1/SIN3A/CHST11/KRT19/BCL2L1/CEBPB/HEG1/LIG4/FOSL1/GRB2/GATA2/ASCL2/SOCS3/MAFF/ZFP36L1/WNT7B/INPP5B/OTUD7B"	105
"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"71/2501"	"233/17872"	5.85246779418987e-11	1.48096697531975e-07	1.23055835988361e-07	"VPS50/VTA1/ZFYVE16/AP5M1/ATP9A/VPS35/RNF126/PICALM/ACTN2/CHMP2B/CMTM6/TBC1D10A/MICALL1/TOM1/CHMP4B/CCDC22/NDRG4/RAB11A/TMEM87A/ZDHHC2/LAPTM4B/LEPROTL1/TBC1D17/SNX8/GBF1/GOSR1/CORO1C/VPS29/SNX4/DENND1A/VPS26A/RAB17/EPS15L1/SNX9/STX6/VPS36/SORL1/PREPL/SGSM2/TMEM50B/TINAGL1/SNX27/LYST/VPS54/SNX12/SURF4/VPS51/ANKRD50/VPS26B/TMEM87B/ZFYVE9/UBXN6/SNX32/ARHGAP1/RAB6A/UBE2O/BET1L/SNX18/TMEM50A/DENND5A/RAB11B/BTBD8/BLOC1S2/ITSN2/ITSN1/DENND1C/DENND1B/LEPROT/VPS16/AP5B1/ANXA8"	71
"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION"	"37/2501"	"98/17872"	4.08891447958609e-09	6.89799872706173e-06	5.73165380559524e-06	"POLDIP2/COL17A1/TESK2/MAP4K4/ACTN1/ACTN2/COL16A1/TRIP6/ITGA6/SORBS1/CORO1C/VEGFA/EPB41L5/ITGB1BP1/SDC4/MACF1/AJUBA/ITGB4/TLN1/BCAS3/PIP5K1A/IQSEC1/WHAMM/MMP14/ITGA5/ITGA2/DLC1/TSC1/SMAD3/MAPRE2/DAPK3/PTK2/LIMS1/ACTG1/APOD/SRC/FMN1"	37
"GOBP_PLACENTA_DEVELOPMENT"	"GOBP_PLACENTA_DEVELOPMENT"	"GOBP_PLACENTA_DEVELOPMENT"	"48/2501"	"148/17872"	7.92659411100963e-09	8.361704473111e-06	6.9478695431688e-06	"PKD1/CASP8/FGFR2/NCOA1/HSP90AB1/PDGFB/DNAJB6/BIRC2/PPARD/STC2/HES1/EPAS1/PKD2/SNAI1/MED1/LIF/E2F8/SOX15/PPARG/NOTCH2/ADAM19/GCM1/ARNT/VASH2/ETNK2/EGFR/ADM/ST14/STC1/FZD5/CITED2/HEY1/PRDX3/MAP2K1/PTK2/KRT19/CEBPB/BSG/STOX2/LEP/FOSL1/GRB2/GATA2/TEX19/ASCL2/SOCS3/ZFP36L1/WNT7B"	48
"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"81/2501"	"309/17872"	8.26092123405552e-09	8.361704473111e-06	6.9478695431688e-06	"MTMR11/NR1H3/INPP4A/PIK3CB/MTMR1/TTC7A/PLA2G10/SLC44A1/SCARB1/DGKD/SYNJ2/MTMR2/PIGS/PDGFB/ABHD12/PLA2G15/PIP5K1B/MTMR4/FIG4/PLCD4/GNPAT/GPAM/OCRL/SERAC1/FAM126A/LPGAT1/ATG14/SLC44A2/AJUBA/LDLR/NR1H2/EFR3A/PIK3C2B/PNPLA8/ETNK1/PIGK/PIGM/PIP5K1A/MBOAT2/ETNK2/OSBPL10/DGKZ/MTMR12/IPMK/LPCAT1/GDPD1/MPPE1/SMG1/PLA2G2F/AGPAT3/CAPN2/PLB1/PIGX/SERINC5/PIGO/STOML2/INPPL1/TTC7B/PIP4K2C/SERINC2/INPP5D/MTM1/PIK3CD/LCLAT1/CSF1R/PLCB1/PLA2G6/SOCS3/PCYT2/PLCD1/PLSCR1/PGAP1/PIGN/FAR1/PLCG2/INPP5B/AGPAT1/DNAJC19/PISD/PIGY/TPTE"	81
"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"95/2501"	"389/17872"	2.10939792841236e-08	1.77927715261582e-05	1.47842889894866e-05	"MTMR11/NR1H3/INPP4A/HEXB/PIK3CB/MTMR1/IDI1/TTC7A/PLA2G10/SLC44A1/SCARB1/DGKD/SYNJ2/MTMR2/PIGS/SPTLC1/TMEM38B/PDGFB/SPTLC2/ABHD12/PLA2G15/PIP5K1B/ABCA2/MTMR4/OSBP/PPARD/FIG4/HMGCS1/PLCD4/GNPAT/GPAM/OCRL/SERAC1/FAM126A/LPGAT1/ATG14/SLC44A2/AJUBA/LDLR/NR1H2/EFR3A/PIK3C2B/PNPLA8/IDH1/ETNK1/GATA6/PIGK/PIGM/PIP5K1A/MBOAT2/ETNK2/OSBPL10/DGKZ/MTMR12/IPMK/LPCAT1/GDPD1/MPPE1/SMG1/PLA2G2F/AGPAT3/CAPN2/PLB1/PIGX/SERINC5/PIGO/STOML2/INPPL1/TTC7B/SMPD1/PIP4K2C/DOLPP1/SERINC2/INPP5D/MTM1/PIK3CD/LCLAT1/CSF1R/PLCB1/PLA2G6/SOCS3/PCYT2/PLCD1/PLSCR1/PGAP1/PIGN/FAR1/PLCG2/INPP5B/AGPAT1/PLPP6/DNAJC19/PISD/PIGY/TPTE"	95
"GOBP_REGULATION_OF_MACROAUTOPHAGY"	"GOBP_REGULATION_OF_MACROAUTOPHAGY"	"GOBP_REGULATION_OF_MACROAUTOPHAGY"	"49/2501"	"158/17872"	2.83726719922888e-08	2.05134418504248e-05	1.70449360314577e-05	"POLDIP2/ATP6V0A1/USP36/ATG5/VPS35/WIPI1/TIGAR/SPTLC1/EXOC1/HDAC6/SPTLC2/CHMP4B/MAPK3/MAPK8/GAPDH/SNX4/ATP6V1B1/QSOX1/VPS26A/OPTN/CAPNS1/ATG14/SESN2/UBQLN1/NPC1/TP53/C9orf72/SESN3/VPS26B/BAG3/HSPB8/SCOC/SMG1/PINK1/SNX7/FYCO1/CASP3/TSC1/PIP4K2C/FEZ2/MTM1/SNX32/NUPR1/TMEM39A/ULK1/ERN1/SNX18/RNF41/SUPT5H"	49
"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"GOBP_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS"	"69/2501"	"258/17872"	4.42698132076524e-08	2.80061905804911e-05	2.32707768111278e-05	"INPP4A/HEXB/PIK3CB/MTMR1/IDI1/TTC7A/SLC44A1/DGKD/SYNJ2/MTMR2/PIGS/SPTLC1/TMEM38B/PDGFB/SPTLC2/PIP5K1B/ABCA2/MTMR4/OSBP/PPARD/FIG4/HMGCS1/GNPAT/GPAM/OCRL/SERAC1/FAM126A/LPGAT1/ATG14/SLC44A2/AJUBA/EFR3A/PIK3C2B/IDH1/ETNK1/PIGK/PIGM/PIP5K1A/MBOAT2/ETNK2/DGKZ/IPMK/LPCAT1/MPPE1/SMG1/AGPAT3/CAPN2/PIGX/SERINC5/PIGO/INPPL1/TTC7B/PIP4K2C/DOLPP1/INPP5D/MTM1/PIK3CD/LCLAT1/PLA2G6/SOCS3/PCYT2/PLSCR1/PGAP1/PIGN/FAR1/PLCG2/AGPAT1/PISD/PIGY"	69
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"83/2501"	"334/17872"	7.24816495021561e-08	4.07588475700458e-05	3.38671566972063e-05	"ALDH3B1/STAU2/MAPK9/ATG5/YBX3/XRCC5/NFE2L1/AKR1B1/DNAJA1/MMP2/PXN/HDAC6/JAK2/STK24/MAPK3/BRF2/CAV1/MAPK8/FBXW7/STX2/ECT2/LANCL1/EFHD1/EPAS1/ERRFI1/SFPQ/SLC2A1/TNFAIP3/FOXO3/PKD2/SERPINB6/KLF2/MGAT3/ATF4/EPO/H19/SESN2/GCH1/KDM6B/PCNA/UBQLN1/PNPLA8/IL6/TXN/MYC/RIPK1/PNPT1/PML/TP53/ARNT/ARL6IP5/EGFR/FOXO1/PDK1/FZD1/PINK1/ANKZF1/CASP3/TP53INP1/PRDX3/TSC1/STOX1/STAT6/SIN3A/FOS/LRRC8E/LRRC8D/EIF2AK3/OXSR1/ERN1/NQO1/PYCR1/RBM11/ZFP36L1/DHFRP1/LONP1/DAPK1/SRC/ATG7/CHUK/DHFR/AQP1/ETV5"	83
"GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT"	"GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT"	"GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT"	"32/2501"	"88/17872"	1.25654883701584e-07	6.35939366413718e-05	5.2841185303982e-05	"PKD1/CASP8/FGFR2/NCOA1/PDGFB/DNAJB6/HES1/EPAS1/PKD2/SNAI1/MED1/LIF/E2F8/SOX15/GCM1/ARNT/VASH2/EGFR/ADM/ST14/FZD5/CITED2/HEY1/MAP2K1/KRT19/CEBPB/GRB2/GATA2/ASCL2/SOCS3/ZFP36L1/WNT7B"	32
