"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"GOBP_ENDOSOMAL_TRANSPORT"	"140/6099"	"233/17872"	3.51311099024936e-16	1.84789638087117e-12	1.4688501950811e-12	"ALS2/VPS50/ARHGAP44/BAIAP3/SPAG9/HEATR5B/VTA1/SNX1/CLEC16A/ZFYVE16/VAMP3/AP5M1/ATP9A/AP3D1/EVI5/CLTCL1/RNF126/ATP6AP1/PICALM/LMAN1/RAB7A/ACTN2/ERC1/CHMP2B/RAB10/EPS15/CHMP5/SNX5/CMTM6/TBC1D10A/GGA1/MICALL1/TOM1/ARFRP1/CHMP4B/CCDC22/EEA1/NDRG4/RAB11A/TMEM87A/ZDHHC2/LAPTM4B/LEPROTL1/PLEKHJ1/TBC1D17/ANKRD27/SNX8/YKT6/RIC1/GBF1/GOSR1/EHD1/CORO1C/VPS29/RAB35/SNX3/SNX4/PIKFYVE/SNX17/CHMP3/RAB29/VAMP4/RAB14/DENND1A/VPS26A/RAB9A/RAB17/CCDC93/AP5S1/EPS15L1/HEATR5A/SNX6/SNX9/CHMP2A/CHMP1A/TBC1D14/VPS4A/ARL8B/SORT1/AGAP2/REPS1/STX6/GCC2/VPS36/SORL1/PREPL/VPS53/SGSM2/CLTC/TMEM50B/TINAGL1/SNX27/LYST/VPS54/DENND2A/SNX12/CHMP7/SURF4/VPS51/ANKRD50/VPS26B/VTI1A/TMEM87B/GRIP1/ZFYVE9/SQSTM1/DPY30/MICALL2/VCP/ARF6/UBXN6/SNX32/SNX33/ARHGAP1/RAB6A/UBE2O/BET1L/SNX18/AKAP5/TMEM50A/DENND5A/RAB11B/HGS/USP7/BTBD8/BLOC1S2/ITSN2/INPP5F/SNX2/ITSN1/DENND1C/DENND1B/LEPROT/VPS16/AP5B1/CHMP1B/CHMP4BP1/ANXA8L1/ANXA8/RAB7B"	140
"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"GOBP_HISTONE_MODIFICATION"	"256/6099"	"498/17872"	7.13074317596509e-16	1.87538545527882e-12	1.49070062604912e-12	"NFYA/CREBBP/KMT2E/KDM7A/PAF1/JARID2/MED24/BAZ1B/AKAP8L/MBTD1/PHF20/USP36/KMT2C/HPF1/ATG5/MTA3/PRDM6/KDM4A/NFYC/HDAC4/SIRT2/JMJD6/MBD3/SREBF1/KDM5A/EED/ACTB/SART3/BAZ2A/JADE1/RIF1/SRCAP/NCOA1/ATRX/HUWE1/ATXN7L3/UIMC1/DNMT3B/KDM2B/RCOR1/HDAC6/WAC/BRPF3/JAK2/FBXL19/SETD1A/SMARCB1/PPM1F/TTLL12/EP300/BRD1/HDAC10/PRMT5/SNW1/MRGBP/SUV39H1/JADE3/MAPK3/CTCF/KAT8/UBR5/PIH1D1/DOT1L/AKAP8/FBL/MIER2/EZH2/GATA3/MAPK8/TRIM37/EZH1/HDAC5/SUPT6H/KMT5B/SUDS3/PHC1/RNF8/ZNF451/PHF1/VEGFA/SKP1/BCL6/KAT2B/PCGF1/KDM3A/ATF2/ASH1L/SFPQ/PRDM2/RLF/PADI2/KDM5B/RCOR3/KMT2A/PHF19/SUPT7L/KANSL1/ENY2/EPC1/TAF12/KDM3B/NFYB/RNF2/PKN1/CDK2/MORF4L2/NCOA3/TRERF1/KDM5C/PRMT1/SIN3B/KDM4B/LIF/HAT1/PHF20L1/ASH2L/MLLT1/DNMT1/RRP8/PER2/WBP2/KDM6B/CAMK1/DDB2/CLOCK/MAP3K7/SMYD5/TAF5L/EPC2/SETDB2/KAT7/CDK9/ARRB1/TET1/KANSL2/MAP3K12/JDP2/WDR61/USP3/TP53/SMAD4/BRD4/CARM1/PADI3/PADI1/SETDB1/GATAD2B/DCAF1/SETD7/NCAPG2/KDM6A/NTMT1/KAT14/MTA2/PRKCA/FLCN/MIER3/RNF20/N6AMT1/KAT6B/BRPF1/PAXIP1/SKI/CUL4B/AUTS2/PINK1/PADI4/PRMT2/CHTOP/ZBTB7B/CRTC2/LMNA/SAP30BP/RBBP4/DPY30/VPS72/IWS1/PYGO2/HDAC11/RYBP/ATXN7/UCN/DTX3L/YEATS2/MEAF6/PRKCD/RNF168/USP49/CDK5/NSD1/TAF10/RAG1/LEO1/GATAD2A/KMT2D/DDB1/SETD5/ING5/TET2/SIN3A/CHD3/UBE2E1/SETMAR/TADA3/ASXL1/ZNF274/JMJD1C/COPRS/HCFC1/KAT5/KDM2A/MSL2/RUVBL1/SGF29/MTHFR/UBE2N/DMAP1/BEND3/SUZ12/TAF7/AURKB/PER1/GATA2/PCGF5/EHMT1/SETD2/MTA1/RUVBL2/BCOR/EP400/SETD3/UTY/KMT5A/PRKD1/NELFA/MUC1/SIRT7/USP7/TET3/MCRS1/MSL1/NOC2L/SF3B3/TRRAP/ARID5A/WDR5B/ZNF335/C6orf89/PRMT6/TRIM16/MSL3P1/RBM14/EID1/KMT2B/UHRF1/PAGR1"	256
"GOBP_REGULATION_OF_AUTOPHAGY"	"GOBP_REGULATION_OF_AUTOPHAGY"	"GOBP_REGULATION_OF_AUTOPHAGY"	"185/6099"	"339/17872"	5.61043042056938e-15	9.83695467073165e-12	7.81916829140407e-12	"BAD/POLDIP2/OSBPL7/PIK3C2A/CAPN1/ATP6V0A1/CLEC16A/VPS13D/PIK3CB/TAB2/USP36/ATG5/USP13/LZTS1/GNAI3/KDM4A/TBC1D25/SIRT2/WIPI1/CSNK2A2/PRKACA/SREBF1/USP33/GPR137B/TIGAR/TP53INP2/SESN1/GSK3B/ATG16L1/DNM1L/SNX5/HDAC6/WAC/SH3GLB1/KLHL22/HMOX1/TSPO/MTMR3/EP300/SPTLC2/HIF1A/EEF1A2/TRIB3/CHMP4B/PIM2/MAPK3/NPRL3/USP10/TSC2/KAT8/BMF/RIPK2/MTMR9/BNIP3L/MET/HSPB1/TRIM14/MAPK8/MTMR4/FBXW7/EIF4G2/IL10RA/CAMKK2/VPS29/GAPDH/TRIM38/EPM2A/TFEB/DAP/SNX4/ATP6V1A/RAB3GAP1/ATP6V1B1/TMEM59/QSOX1/LEPR/FOXO3/RAB3GAP2/VPS26A/OPTN/CAPNS1/ATG14/WDR24/TICAM1/SNX6/SH3BP4/SESN2/EXOC4/TRIM21/TRIM5/TRIM22/TBC1D14/UBQLN1/MAP3K7/DRAM1/IL10/NPC1/TP53/RPTOR/AKT1/MCL1/HAX1/ATP6V1C2/RUBCN/CISD2/PLK2/ATP6V1B2/C9orf72/SNX30/LRSAM1/SESN3/SOGA1/PIP4K2A/FOXO1/ITPR1/EIF4E/VPS26B/SLC25A4/BAG3/HSPB8/BCL2L11/SCOC/FBXL2/FLCN/RRAGA/SMG1/PINK1/ATP13A2/ATP6V0D1/GPSM1/TPCN2/SNX7/FZD5/FYCO1/ZC3H12A/MFSD8/WDR41/CASP3/CDK5/FOXK1/TP53INP1/TSC1/PLEKHF1/PIP4K2C/GOLGA2/ENDOG/DAPK3/PAFAH1B2/MTCL1/STAT3/FEZ2/MTM1/ATP6V0E2/BCL2/SNX32/KAT5/GPR137/PLK3/LEP/PARL/DDIT3/NUPR1/TMEM39A/BNIP3/BOK/CDK5R1/ACER2/ULK1/ERN1/SNX18/RNF41/PRKD1/NRBP2/ZKSCAN3/HMGB1/SUPT5H/DAPK1/WDR45/ATG7/SVIP/UVRAG/SREBF2/TECPR1/VDAC1/TRIM34"	185
"GOBP_NUCLEAR_TRANSPORT"	"GOBP_NUCLEAR_TRANSPORT"	"GOBP_NUCLEAR_TRANSPORT"	"167/6099"	"308/17872"	2.49026488584786e-13	3.27469832488994e-10	2.60298213857571e-10	"PKD1/AKAP8L/NUP160/RANBP3/NSUN2/LSG1/TPR/THOC3/PPP1R12A/ZC3H11A/TNPO3/IPO5/ELAVL1/HYAL2/NUP133/BCL3/PRKACA/STRADB/GSK3B/TNPO1/RBM22/ALKBH5/AAAS/NUP188/HSP90AB1/JAK2/ANKRD54/POLDIP3/THOC5/RANGAP1/PPM1A/NFKBIA/STK4/FERMT1/NXT2/EMD/KPNA3/NUP93/AXIN1/TSC2/UBR5/TGFB1/TNPO2/GLI3/LZTS2/SUFU/KPNB1/NUP88/SUPT6H/HTATIP2/ZPR1/NUP98/DUSP16/CPSF6/MAPK14/SRSF3/BACH2/RAB23/HSPA9/NUP155/ECT2/NCBP2/ATF2/SUMO1/SMG7/IPO13/ENY2/TARDBP/CRY2/FYTTD1/HNRNPA2B1/EGR2/DDX39A/ATXN1/NUP153/UPF3B/THOC2/MED1/PCID2/NUP214/SMO/XPO7/THOC6/NXT1/CAMK1/HNRNPA1/APPL2/TXN/ANP32B/RANBP6/CTDSPL2/BARD1/PPP3CA/NUP58/ANP32A/PML/TP53/AKT1/POLR2D/PIK3R1/TCF7L2/UPF2/BAG3/PTPN14/HHEX/ZIC1/ING1/ANGPT1/NUP205/SEC13/SMG1/DDX19B/APPL1/ANKLE1/CHTOP/LMNA/SQSTM1/NXF1/IWS1/THOC7/ZC3H12A/PRKCD/CDK5/TSC1/FRAT1/NOLC1/SMAD3/STAT3/AHCYL1/PKIG/UPF3A/XPO6/RGS14/NMD3/MALT1/AGFG1/FAM53A/LEP/SFN/DMAP1/CALR/PTPN11/SETD2/PRKAG1/KPNA2/GAS6/ALYREF/PRKD1/XPOT/PPP1CC/SIRT7/APOD/POM121/IPO4/NF1/FLNA/NUP62CL/DDX39B/SMURF1/SMG5/EFCAB7/RANBP17/IPO7/PHB2/ZC3H11B/STRADA/POM121C"	167
"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT"	"127/6099"	"223/17872"	1.94799365963642e-12	2.04928932993752e-09	1.6289328033844e-09	"ARHGAP44/FYN/TPR/USP36/IPO5/HYAL2/ERLEC1/CSNK2A2/CDC42/PRKACA/SREBF1/LMAN1/PCM1/GSK3B/RBM22/HUWE1/EDEM2/HSP90AB1/JAK2/SH3GLB1/HPS4/RANGAP1/PPM1A/FERMT1/TM9SF4/EMD/ZDHHC2/UBR5/BNIP3L/PDCD5/TGFB1/GLI3/SLC1A1/MAPK8/SUFU/FBXW7/ZPR1/CD81/C2CD5/MAPK14/RAB23/TMEM30A/ECT2/SUMO1/RHOU/RAB29/ITGB1BP1/TARDBP/RAC2/SMO/INPP5K/CAMK1/EDEM1/UBAC2/GCC2/LCP1/NMT1/TXN/ANP32B/SORL1/CTDSPL2/BARD1/NUP58/NPEPPS/BCAS3/CEP131/ERBB2/HAX1/PIK3R1/TCF7L2/B3GAT3/ANK3/BAG3/PTPN14/SAR1B/ZIC1/ANGPT1/BAG4/PINK1/ATP13A2/UBE2J2/PCNT/VPS11/FZD5/ZC3H12A/PRKCD/ICE1/MICALL2/CDK5/FRAT1/NOLC1/C11orf65/NDEL1/SMAD3/MTCL1/PKIG/SH3TC2/ITGAM/PRNP/PLK3/LEP/PARL/ATG13/SFN/CDK5R1/DMAP1/PTPN11/AKAP5/OAZ2/GAS6/PRKD1/UBE2G2/CIB1/BCAP31/INSIG1/SIRT7/APOD/PTPN1/NF1/FLNA/SVIP/UBL5/SREBF2/EFCAB7/LEPROT/FIS1/VAMP2"	127
"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"GOBP_MACROAUTOPHAGY"	"165/6099"	"310/17872"	2.70921461290472e-12	2.3750781439798e-09	1.88789481446624e-09	"POLDIP2/LAMP2/VPS41/VTA1/CAPN1/ATP6V0A1/CLEC16A/VPS13D/USP36/ATG5/LZTS1/VMP1/GNAI3/TBC1D25/WIPI1/PRKACA/RAB7A/TIGAR/TP53INP2/SESN1/CHMP2B/ATG16L1/CHMP5/HUWE1/NSFL1C/SNX5/MCOLN1/HDAC6/WAC/SH3GLB1/SNAP29/HMOX1/MTMR3/HDAC10/SPTLC2/HIF1A/CHMP4B/MAPK3/TSC2/RIPK2/BNIP3L/MAPK8/ACBD5/TCIRG1/GAPDH/RAB23/EPM2A/SNX4/ATP6V1A/PIKFYVE/STAM2/AUP1/CHMP3/RAB3GAP1/ATP6V1B1/QSOX1/MFN2/STBD1/RAB3GAP2/VPS26A/OPTN/ATG101/CAPNS1/ATG14/SNX6/CHMP2A/ATG4D/SESN2/CHMP1A/EXOC4/ARFIP2/TBC1D14/VPS4A/ARL8B/UBQLN1/SNX14/MAP3K7/VPS36/VPS37B/MAP1LC3B/NPC1/TP53/WDR45B/AKT1/UFC1/ATP6V1C2/RUBCN/KLHL3/RAB19/ATP6V1B2/CHMP7/C9orf72/SNX30/LRSAM1/SESN3/PIP4K2A/VPS26B/VTI1A/SLC25A4/BAG3/HSPB8/ATG10/SCOC/VPS37A/SMG1/PINK1/ATP13A2/ATP6V0D1/GPSM1/SQSTM1/SNX7/FYCO1/MFSD8/TEX264/CASP3/CDK5/TP53INP1/VCP/TSC1/ZFYVE1/PIP4K2C/UBXN6/WDR81/VPS37C/ATG16L2/PAFAH1B2/FEZ2/MTM1/ATP6V0E2/RAB33B/RAB43/SNX32/ATP2A2/RAB1B/ATG13/NUPR1/TMEM39A/BNIP3/CDK5R1/ULK1/ERN1/SNX18/PACS2/ATG9B/RNF41/VPS33B/NRBP2/HGS/NBR1/SUPT5H/WDR45/SRC/ATG7/DDRGK1/UVRAG/CALM1/SMURF1/ATG9A/TECPR1/VDAC1/PHB2/UBXN2B/VPS16/PLEKHM1/CHMP1B"	165
"GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT"	"GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT"	"173/6099"	"333/17872"	1.18414168497602e-11	8.89797894710551e-09	7.0727981544733e-09	"ARHGAP44/FYN/AKAP8L/NSUN2/TPR/ATP9A/USP36/PPP1R12A/IPO5/HYAL2/ERLEC1/CSNK2A2/CDC42/PRKACA/SREBF1/LMAN1/SPAG5/ACTN2/PCM1/GSK3B/RBM22/HUWE1/MTMR2/EDEM2/EZR/AAAS/HSP90AB1/JAK2/SH3GLB1/HPS4/RANGAP1/PPM1A/FERMT1/TM9SF4/EMD/MAPK3/NDRG4/ZDHHC2/UBR5/BNIP3L/PDCD5/TGFB1/GLI3/SLC1A1/ABCA2/MAPK8/SUFU/SUPT6H/FBXW7/CRYAB/ZPR1/EHD1/CD81/CPSF6/C2CD5/MAPK14/RAB23/SNX3/TMEM30A/WWC1/ECT2/NCBP2/REEP6/CHMP3/SUMO1/RHOU/RAB29/ITGB1BP1/TARDBP/NUP153/TBC1D20/NUP214/RAC2/SMO/INPP5K/CAMK1/EDEM1/UBAC2/GCC2/LCP1/NMT1/TXN/ANP32B/SORL1/CTDSPL2/BARD1/SEC24B/NUP58/NPEPPS/BCAS3/CEP131/ERBB2/CAPN10/HAX1/PIK3R1/SNX12/TCF7L2/B3GAT3/ANK3/BAG3/PTPN14/SAR1B/ZIC1/DAB2/NUS1/ANGPT1/BAG4/LDLRAP1/PINK1/ATP13A2/UBE2J2/PCNT/VPS11/TRIM58/IWS1/FZD5/ZC3H12A/PRKCD/ICE1/MICALL2/CDK5/FRAT1/NOLC1/C11orf65/NDEL1/SMAD3/MTCL1/PKIG/MAP2K1/SH3TC2/ITGAM/PRNP/ARV1/PLK3/LEP/PARL/ARHGAP1/ATG13/SFN/DNAJC30/CDK5R1/DMAP1/PTPN11/AKAP5/OAZ2/GAS1/SETD2/ANXA2/GAS6/PRKD1/UBE2G2/CIB1/RAB11B/BCAP31/PPP1CC/INSIG1/SIRT7/USP7/APOD/PTPN1/NF1/FLNA/DYNC1H1/PGAP1/SRC/SVIP/UBL5/INPP5F/SREBF2/EFCAB7/LEPROT/FIS1/VAMP2"	173
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS"	"156/6099"	"294/17872"	1.46046478789678e-11	9.60255598042136e-09	7.6328501809553e-09	"PAF1/FYN/WWTR1/CTNNA1/TPR/TNPO3/IPO5/ELAVL1/HYAL2/POLR1A/NUP133/BCL3/TFRC/FERMT2/GSK3B/TNPO1/RBM22/OSBPL8/NUP188/HSP90AB1/JAK2/CARD10/SUN2/RANGAP1/NFKBIA/STK4/FERMT1/NXT2/KPNA3/NUP93/ARL2BP/TSC2/UBR5/TGFB1/TNPO2/DNAJB6/GLI3/TESK1/DVL1/LZTS2/SUFU/KPNB1/NUP88/COL1A1/ZBTB16/ZPR1/NUP98/MAPK14/RAB23/BYSL/SKP1/NUP155/ECT2/PIKFYVE/ATF2/SUMO1/IPO13/SUPT7L/TARDBP/CRY2/NUP153/MED1/SIX1/NUP214/PIN1/LIF/SMO/SESN2/SYNE1/LATS1/NXT1/GLUL/APPL2/KAT7/TXN/TOR1A/RANBP6/YAP1/TRIM29/BARD1/PPP3CA/NUP58/BBS4/PML/TP53/AKT1/HDGF/TOR1AIP1/NVL/PARP1/PIK3R1/MFHAS1/CIZ1/LATS2/FBXO4/BAG3/HHEX/ZIC1/HNRNPU/ING1/TBRG1/ANGPT1/FLCN/SEC13/APPL1/MORC3/ATP13A2/LMNA/SQSTM1/GBP2/MSX1/DTX3L/ZC3H12A/PRKCD/TERT/SUN1/CDK5/TAF3/NOLC1/PLK1/SMAD3/STAT3/PKIG/NMD3/SIN3A/TOR1AIP2/EIF2AK3/BANP/FAM53A/LEP/CTDNEP1/DMAP1/CALR/MAGED1/F2/KPNA2/LIMK2/PRKD1/NF2/MCRS1/APOD/POM121/IPO4/NF1/FLNA/SRC/RPF2/NOL8/NUP62CL/EFCAB7/RANBP17/IPO7/ARL2/PHB2/OTUD7B/POM121C"	156
"GOBP_VIRAL_PROCESS"	"GOBP_VIRAL_PROCESS"	"GOBP_VIRAL_PROCESS"	"207/6099"	"415/17872"	1.71814187669417e-11	1.00072075746918e-08	7.95449839637299e-09	"ST3GAL1/CSDE1/VTA1/PTBP1/CD74/YTHDC2/RSF1/EIF2AK2/ATG5/HYAL2/ST6GALNAC2/PABPC1/CDC42/MGAT4A/TFRC/PVR/SCARB1/ST6GAL1/HACD3/RAB7A/TOP2B/ITCH/GSK3B/ITGB5/CHMP2B/EPS15/ATG16L1/CHMP5/EDEM2/OAS1/CCNK/ICAM1/TFAP4/HSP90AB1/PCSK5/SMARCB1/LGALS1/APOBEC3H/EIF3D/EP300/SNW1/CHMP4B/VAPA/EEA1/HTATSF1/KPNA3/PARD6A/VPS18/SLC1A5/USF2/HPN/CAV2/CAV1/EIF3B/TRIM14/EIF3A/EFNB3/HSPA8/ST3GAL4/CD81/SELPLG/OAS3/AICDA/SNX3/TRIM38/HAVCR1/CSNK1A1/PIKFYVE/ITGB6/IFIH1/STAT1/CHMP3/RAB29/CD46/IDE/TARDBP/CXCR4/WWP1/STAU1/NUP153/EFNB2/TBC1D20/ST3GAL3/PRMT1/CANX/SMARCA4/ZFP36/APOBEC3F/EIF2AK4/SPCS3/ILF3/LDLR/NECTIN2/BST2/CHMP2A/EIF3G/CHMP1A/MGAT1/TOP2A/TRIM21/TRIM5/TRIM22/INPP5K/SLC52A1/VPS4A/MORC2/ARL8B/RSAD2/CTSL/SRPK2/RNASEL/CDK9/TMPRSS4/ITGAV/TARBP2/VPS37B/FURIN/GALNT1/NPC1/TP53/EPHA2/NECTIN4/SETDB1/TNIP1/DYNLT1/EGFR/CHMP7/GSN/LRSAM1/USP6NL/NCAM1/BICD1/NMT2/FBXL2/UBP1/CXADR/VPS37A/ST3GAL2/MX1/F11R/USF1/RRP1B/ADAR/LY6E/MGAT4B/ITGA5/TPCN2/ZC3H12A/ITGA2/CTSB/VCP/PSMC3/SMPD1/FAM111A/ANPEP/AXL/DDB1/VPS37C/SLC3A2/ATG16L2/MGAT2/SLC20A2/LGALS9/PCBP1/PDCD6IP/INSR/BCL2L1/BCL2/ISG20/CXCR6/BSG/HCFC1/RAB43/GRK2/DAG1/LIG4/RAB1B/CTBP2/TMEM39A/PARP10/RAD23A/APOBEC3B/RCC1/KPNA2/CSF1R/GAS6/SP1/P4HB/SLC52A2/IFITM1/PPARA/ISG15/PLSCR1/MPHOSPH8/CD55/PCBP2/ADARB1/ATG7/WWP2/UVRAG/CNOT7/TRIM59/CLDN9/PI4KA/CHMP1B/TRIM34/ITGB3"	207
"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"211/6099"	"425/17872"	1.90813770582498e-11	1.00072075746918e-08	7.95449839637299e-09	"MTMR7/PTBP1/PPP5C/MTMR11/ATP1A2/BOD1L1/PHLPP2/INPP4A/PHPT1/PPP1R12A/PTPRU/MTMR1/PPP2R5B/PTPN3/POLB/PTPN21/PTPN18/FBXW11/PPP2R3A/PPP2R2C/NUAK1/NT5C2/TIGAR/SYNJ2/PPP2R5C/CDC14A/DUSP13/MEF2C/PHLPP1/GSK3B/SSH1/MTMR2/PPP1R15A/PTPN4/PPP2R3C/HSP90AB1/JAK2/PPM1F/PPP6R2/SBF1/MTMR3/CDKN3/PPM1A/PPP4R3A/CDC25B/RPRD1B/PPP1R16B/LPIN2/ACP5/CPPED1/MTMR9/PPP2CB/PPP6R1/TIMM50/TGFB1/PLPPR2/PPP2R1A/PPP3CB/MINPP1/LHPP/MTMR4/PPP1R9B/INPP4B/PPP6R3/TNS2/DUSP16/NT5DC3/PTP4A1/FIG4/PFKFB4/GNAI2/PPP1R7/DNAJC6/SMG7/FKBP1B/DUSP1/MASTL/DUSP4/PPP3CC/EPHX2/CRY2/OCRL/RPAP2/NT5C3A/PFKFB2/NT5C/SYMPK/SGPP1/PIN1/PTPN12/STYXL1/ARPP19/PUDP/DUSP9/ILKAP/PTPRE/INPP5K/PTPRA/LPIN3/IMPA1/SWAP70/LPIN1/ACP2/TNS3/PPP2R1B/CTDSPL2/DUSP5/PPA2/PPP3CA/MTMR6/IQGAP1/SSH2/G6PC3/IMPA2/PTPRF/CTTNBP2NL/TIPRL/DUSP10/ACP1/CALM2/DUSP11/CTDSP1/CTDSPL/PTPRG/NCEH1/BOD1/ARMT1/GNA12/MFHAS1/PLPP5/INPP5E/PTPRJ/MTMR12/NOCT/INPP1/PTPN14/PPP2R5E/UBASH3B/PPM1J/BAG4/NCK1/PPP1R15B/PINK1/SYNJ1/RCAN1/CALM3/PLPP3/ALPL/BPNT1/ALPP/ATP1A1/PPM1L/PPM1K/PRKCD/CDC25A/DUSP7/PPM1M/ITGA2/UBLCP1/DLC1/PDP1/INPPL1/TSC1/NSMF/PPP1R36/SMPD1/HSP90B1/MTMR10/YWHAB/SMAD3/DUSP18/HDHD2/PPP2R3B/NPNT/INPP5D/PTPN9/PPM1D/MTM1/BCL2/SSH3/PPP1R3B/PTPRM/PPM1E/CTDNEP1/ANKLE2/PTPN11/CDH5/PGP/CHRM5/PPP1CC/MAGI2/SEMA4D/PTPN1/SLC39A10/SRC/ENTPD6/NUDT16/CALM1/INPP5F/SMG5/INPP5B/NT5M/PLPP6/PPP1CB/PPM1N/MDP1/ITGA1/PPP3R1/PPP2R2A/PDXP/TPTE"	211
