"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"	"107/3341"	"334/17872"	2.68228924595804e-09	1.38808468478329e-05	1.17230157360187e-05	"RAD52/BAD/ALDH3B1/FYN/MAPK9/ATG5/YBX3/MYLK/SIRT2/NFE2L1/AKR1B1/PXN/CAPN3/SIRT1/MAPK1/HMOX1/TSPO/HIF1A/GSKIP/DHRS2/ABCD1/STK24/MAPK3/SETX/MAPK8/TRPV4/STX2/RWDD1/EFHD1/EPAS1/SFPQ/PRDX1/TNFAIP3/PKD2/NR4A3/CAT/PIK3CA/STAU1/SERPINB6/KLF2/MGAT3/ATF4/RNF112/EPO/GCH1/PRKAA1/STK26/UBQLN1/PNPLA8/IL6/MYC/IL18BP/SLC12A6/TPM1/PML/TP53/PARP1/RHOB/ARL6IP5/EGFR/FOXO1/SLC7A11/PDK1/IMPACT/MAPK13/FZD1/PINK1/ATP13A2/TBC1D24/ANKZF1/PRKCD/PRDX3/STOX1/ANKRD2/STAT6/ENDOG/AXL/PRDX2/CTNNB1/GPR37L1/CDK1/FOS/LRRC8E/LRRC8D/EIF2AK3/OXSR1/NET1/DDIT3/SPHK1/PLEC/ERN1/PRKRA/NQO1/DIABLO/CLN3/DHFRP1/PPIA/SRC/SIRPA/STK39/ZNF277/CHUK/TREX1/MIR34A/AQP1/ETV5/SRXN1"	107
"GOBP_VIRAL_PROCESS"	"GOBP_VIRAL_PROCESS"	"GOBP_VIRAL_PROCESS"	"122/3341"	"415/17872"	6.07047918115683e-08	0.000157073648812433	0.00013265594505349	"ST3GAL1/RSF1/EIF2AK2/ATG5/HYAL2/ST6GALNAC2/CDC42/MGAT4A/TFRC/PVR/SCARB1/ST6GAL1/CCNT2/EDEM2/CCNK/TFAP4/TYRO3/PCSK5/PARD6A/VPS18/SLC1A5/EIF3B/TRIM14/ST3GAL4/NECTIN1/SELPLG/HCFC2/AICDA/TRIM38/HAVCR1/PIKFYVE/ITGB6/MOGS/HDAC1/VAMP8/CXCR4/WWP1/STAU1/NUP153/ST3GAL3/PRMT1/APOBEC3F/CDHR3/LDLR/TRIM28/TRIM21/TRIM5/TRIM22/MORC2/RSAD2/CTSL/SRPK2/CDK9/TMPRSS4/POU2F3/ITGAV/PARP9/VPS37B/GALNT1/TP53/IFITM3/EPHA2/NECTIN4/XPR1/TNIP1/EGFR/CHMP7/LRSAM1/NOTCH1/NCAM1/UBP1/LARP1/MX1/RRP1B/ITGA2/CTSB/VCP/SMPD1/TMEM41B/FAM111A/ANPEP/AXL/DDB1/VPS37C/SLC3A2/ATG16L2/MGAT2/SLC20A2/LGALS9/CDK1/INSR/TRIM8/BCL2L1/ISG20/CXCR6/HCFC1/RAB43/PC/LIG4/BANF1/TMEM39A/VPS37D/PARP10/TRIML2/APOBEC3B/CSF1R/GAS6/TMPRSS2/SP1/SLC52A2/HEXIM1/ISG15/MPHOSPH8/PPIA/CD55/MVB12B/ADARB1/WWP2/TRIM13/APOBEC3C/CHMP1B/TRIM34"	122
"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"GOBP_DEPHOSPHORYLATION"	"123/3341"	"425/17872"	1.39091278614454e-07	0.000239932455609932	0.000202634031160425	"MTMR11/ATP1A2/PNKP/PHLPP2/INPP4A/PTPRU/MTMR1/PTPN3/POLB/PTPN18/NUAK1/PTPN23/SYNJ2/DUSP13/MTMR2/PPP1R15A/PTPN4/PPP6R2/CDKN3/PPM1A/RPRD1B/IKBKB/MTMR9/TGFB1/PLPPR2/PPP2R1A/LHPP/MYH3/INPP4B/PPM1H/DUSP16/HDDC2/FIG4/PDGFRB/GNAI2/PPP1R7/DNAJC6/SMG7/DUSP1/DUSP4/PPP3CC/EPHX2/OCRL/PFKFB2/SYMPK/SGPP1/PIN1/STYXL1/PLPPR3/PUDP/DUSP9/FBP2/LGALS3/PTPRE/IMPA1/SWAP70/ACP2/TNS3/DUSP5/PPP3CA/PTPRF/TIPRL/CTDSP1/PSPH/MFHAS1/INPP5E/MTMR12/NOCT/INPP1/PTPN14/UBASH3B/PPM1J/PXYLP1/PINK1/SYNJ1/RCAN1/ALPL/BPNT1/ALPP/ATP1A1/PPM1L/PRKCD/DUSP7/PPM1M/ITGA2/UBLCP1/DLC1/INPPL1/PPP1R36/SMPD1/YWHAB/SMAD3/DUSP18/HDHD2/INPP5D/PTPN9/PPM1D/MTM1/SSH3/PPP1R3B/PPM1E/PTPN2/ANKLE2/FAM220A/NT5DC1/CDH5/PPP1R2/CHRM5/MAGI2/CHP1/PPIA/PTPN1/SLC39A10/SRC/STYX/CALM1/MTOR/INPP5F/INPP5B/NT5M/PLPP6/PPP3R1/PPP2R2A"	123
"GOBP_LIPID_MODIFICATION"	"GOBP_LIPID_MODIFICATION"	"GOBP_LIPID_MODIFICATION"	"72/3341"	"217/17872"	2.2606368481227e-07	0.000269905902556232	0.000227947990320565	"CROT/MTMR11/SOAT1/MTMR1/GBA2/ACADVL/DGKD/SYNJ2/MTMR2/SIRT4/SLC25A17/ABCD1/DGKH/LONP2/MLYCD/MTMR9/ILVBL/PLPPR2/GCDH/PRKAG2/ABCA2/PHYH/INPP4B/ST3GAL4/LPCAT3/MAPK14/FIG4/EHHADH/ACADM/NR4A3/ABCD4/EPHX2/ECHDC2/OCRL/ACADS/SGPP1/POR/PLPPR3/APOC1/PRKAA1/AGT/ALDH1L2/APPL2/CYP1A1/SAMD1/MBOAT2/DGKQ/INPP5E/DGKZ/MTMR12/APOA2/SYNJ1/CYP3A7/CYGB/ALOX15/INPPL1/ECI1/INPP5D/MTM1/ETFDH/LEP/SPHK1/SLC35C1/CHRM5/CYP4F2/APOD/INPP5F/INPP5B/PLPP6/PLIN5/ACAD11/AMACR"	72
"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS"	"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS"	"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS"	"113/3341"	"388/17872"	3.13079151877654e-07	0.000269905902556232	0.000227947990320565	"ST3GAL1/XYLT2/B4GALT7/SOAT1/GPC1/ST3GAL6/ABCA7/ST6GALNAC1/NDST1/ST6GALNAC2/MGAT4A/ST6GAL1/PSEN1/ALG6/EDEM2/HIF1A/UGGT2/NAGPA/XYLT1/JAK3/HYAL4/ABCA2/MANBA/GALNT7/ST3GAL4/ST8SIA1/DSE/GOLPH3/MOGS/ST3GAL5/CHST10/B4GALT2/MAN1C1/B4GALT6/CHST3/AGO2/CHPF/CHST8/TMTC4/ST3GAL3/CCR7/IDUA/MGAT3/GALNT8/POMT1/CHSY1/EDEM1/TMEM165/CTSL/UGGT1/TET1/GLCE/COL2A1/PHLDA1/TMTC3/PCSK6/CHST4/GALNT1/POMGNT2/TNIP1/CSGALNACT1/TCF7L2/B3GAT3/EXT2/PXYLP1/EXTL1/B4GALT5/AMFR/ADAMTS13/ST6GALNAC6/EXTL2/B3GALNT2/RFT1/GALNT10/NDST2/MGAT5B/CTNNB1/MGAT2/B3GNT2/HS6ST2/FUT3/CHST11/ALG14/FUT10/VEGFB/DPY19L1/XXYLT1/LEP/FUT1/B3GALT6/GALNT11/DPY19L3/FKRP/SGSH/SLC35C1/CHST15/TRAK1/PLCB1/ALG12/ENTPD5/GCNT1/CHP1/MAN2A2/SULF2/FUT11/GAL3ST4/SLC2A10/MAN1A2/B3GNT6/TRIM13/TREX1/GALNT4/FBXO17"	113
"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_PHOSPHOLIPID_METABOLIC_PROCESS"	"113/3341"	"389/17872"	3.61315881116135e-07	0.000269905902556232	0.000227947990320565	"PIGQ/MTMR11/INPP4A/HEXB/PIK3CB/PIGV/MTMR1/TTC7A/SLC44A1/SCARB1/PLD1/DGKD/SYNJ2/EFR3B/MTMR2/PITPNM3/TMEM38B/ABHD4/LIPG/DGKH/PLA2G15/MTMR9/PLPPR2/ABCA2/PIGL/DHRS7B/INPP4B/PITPNM1/CHPT1/LPCAT3/FIG4/HMGCS1/PDGFRB/PIKFYVE/PLCD4/PIK3CA/OCRL/SERAC1/FAM126A/LPGAT1/PLA2G12A/GPCPD1/ATG14/SGPP1/SLC44A2/AJUBA/PLPPR3/LDLR/APOC1/PNPLA7/EFR3A/PEMT/IMPA1/HMGCS2/PNPLA8/PIGK/SLC44A3/PIGM/ITPKB/MBOAT2/ETNK2/TAMM41/DGKQ/HTR2C/INPP5E/DGKZ/PLCB3/MTMR12/IPMK/PIGF/INPP1/GGPS1/AGPAT5/FAM126B/PLA2G2F/APOA2/SYNJ1/FDPS/ALOX15/BPNT1/CAPN2/PMVK/ABHD6/PLB1/PRKCD/PIGX/PIGO/STOML2/INPPL1/TTC7B/SMPD1/PIP4K2C/GPX4/TMEM150A/INPP5D/PCSK9/MTM1/CSF1R/PLCB1/PLA2G6/SOCS3/CHRM5/PLCD1/CHP1/CLN3/PGAP1/PDGFA/INPP5F/INPP5B/PLPP6/DNAJC19/PLA2G4B/PIGY"	113
"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS"	"94/3341"	"309/17872"	3.65090109737899e-07	0.000269905902556232	0.000227947990320565	"PIGQ/MTMR11/INPP4A/PIK3CB/PIGV/MTMR1/TTC7A/SLC44A1/SCARB1/PLD1/DGKD/SYNJ2/EFR3B/MTMR2/PITPNM3/ABHD4/DGKH/PLA2G15/MTMR9/PIGL/DHRS7B/INPP4B/PITPNM1/CHPT1/LPCAT3/FIG4/PDGFRB/PIKFYVE/PLCD4/PIK3CA/OCRL/SERAC1/FAM126A/LPGAT1/GPCPD1/ATG14/SLC44A2/AJUBA/LDLR/APOC1/PNPLA7/EFR3A/PEMT/IMPA1/PNPLA8/PIGK/SLC44A3/PIGM/ITPKB/MBOAT2/ETNK2/TAMM41/DGKQ/HTR2C/INPP5E/DGKZ/PLCB3/MTMR12/IPMK/PIGF/INPP1/AGPAT5/FAM126B/PLA2G2F/APOA2/SYNJ1/ALOX15/BPNT1/CAPN2/ABHD6/PLB1/PIGX/PIGO/STOML2/INPPL1/TTC7B/PIP4K2C/TMEM150A/INPP5D/MTM1/CSF1R/PLCB1/PLA2G6/SOCS3/CHRM5/PLCD1/CLN3/PGAP1/PDGFA/INPP5F/INPP5B/DNAJC19/PLA2G4B/PIGY"	94
"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS"	"57/3341"	"162/17872"	4.66759969038418e-07	0.000273846625444234	0.000231276112655878	"PIGQ/MTMR11/INPP4A/PIK3CB/PIGV/MTMR1/TTC7A/SYNJ2/EFR3B/MTMR2/PITPNM3/MTMR9/PIGL/INPP4B/PITPNM1/FIG4/PDGFRB/PIKFYVE/PLCD4/PIK3CA/OCRL/FAM126A/LPGAT1/ATG14/EFR3A/IMPA1/PIGK/PIGM/ITPKB/HTR2C/INPP5E/PLCB3/MTMR12/IPMK/PIGF/INPP1/FAM126B/SYNJ1/BPNT1/PIGX/PIGO/INPPL1/TTC7B/PIP4K2C/TMEM150A/INPP5D/MTM1/CSF1R/PLCB1/SOCS3/CHRM5/PLCD1/PGAP1/PDGFA/INPP5F/INPP5B/PIGY"	57
"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS"	"96/3341"	"319/17872"	4.76255000772581e-07	0.000273846625444234	0.000231276112655878	"ST3GAL1/XYLT2/B4GALT7/SOAT1/ST3GAL6/ABCA7/ST6GALNAC1/NDST1/ST6GALNAC2/MGAT4A/ST6GAL1/PSEN1/ALG6/UGGT2/NAGPA/XYLT1/JAK3/ABCA2/GALNT7/ST3GAL4/ST8SIA1/DSE/GOLPH3/MOGS/ST3GAL5/CHST10/B4GALT2/MAN1C1/B4GALT6/CHST3/AGO2/CHPF/CHST8/TMTC4/ST3GAL3/CCR7/MGAT3/GALNT8/POMT1/CHSY1/TMEM165/UGGT1/TET1/GLCE/PHLDA1/TMTC3/CHST4/GALNT1/POMGNT2/TNIP1/CSGALNACT1/TCF7L2/B3GAT3/EXT2/PXYLP1/EXTL1/B4GALT5/ST6GALNAC6/EXTL2/B3GALNT2/RFT1/GALNT10/NDST2/MGAT5B/CTNNB1/MGAT2/B3GNT2/HS6ST2/FUT3/CHST11/ALG14/FUT10/VEGFB/DPY19L1/XXYLT1/FUT1/B3GALT6/GALNT11/DPY19L3/FKRP/SLC35C1/CHST15/TRAK1/PLCB1/ALG12/ENTPD5/GCNT1/CHP1/MAN2A2/FUT11/GAL3ST4/SLC2A10/MAN1A2/B3GNT6/TREX1/GALNT4"	96
"GOBP_RESPONSE_TO_OXIDATIVE_STRESS"	"GOBP_RESPONSE_TO_OXIDATIVE_STRESS"	"GOBP_RESPONSE_TO_OXIDATIVE_STRESS"	"123/3341"	"436/17872"	6.21538902816242e-07	0.000321646382207405	0.00027164521310453	"RAD52/BAD/ALDH3B1/FYN/PNKP/MAPK9/PTPRN/HYAL2/SIRT2/PSEN1/NFE2L1/SLC23A2/PXN/SIRT1/HNRNPM/MAPK1/HMOX1/HIF1A/GSKIP/DHRS2/ABCD1/STK24/MAPK3/ERCC2/SETX/MAPK8/CRYAB/STX2/RWDD1/PDGFRB/STC2/OGG1/SDC1/EPAS1/SFPQ/PRDX1/TNFAIP3/PKD2/NR4A3/CAT/PRDX4/STAU1/KLF2/MGAT3/ATF4/RNF112/PXDN/GCH1/PRKAA1/STK26/UBQLN1/PNPLA8/IL6/IL18BP/NEIL1/TPM1/PML/TP53/PARP1/RHOB/ARL6IP5/EGFR/MSRB2/SESN3/FOXO1/SLC7A11/PDK1/IMPACT/MAPK13/MMP14/FZD1/PINK1/RCAN1/ATP13A2/CYGB/TBC1D24/CAPN2/ANKZF1/PRKCD/PSIP1/PRDX3/STOX1/ANKRD2/STAT6/ENDOG/CRK/GPX4/AXL/PRDX2/CTNNB1/SCARA3/GPR37L1/CDK1/FOS/ETFDH/OXSR1/NET1/FOSL1/SPHK1/ATOX1/ERN1/PRKRA/NQO1/DIABLO/TXNRD2/SP1/MTF1/DHFRP1/APOD/PPIA/SRC/ERO1A/SIRPA/ZNF277/GPX3/CHUK/TREX1/ERCC6/MIR34A/AQP1/ETV5/HP/SRXN1"	123
