"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"103/2164"	"431/14332"	7.43496537996943e-07	0.000455763377792126	0.000399140246714148	"CD9/MRC2/CTNNA1/HSPA5/LIMA1/COL17A1/TLE2/MAP4K4/ACTN1/PVR/ACTB/USP33/APBB1IP/ACTN2/DNM2/EPB41L2/CD59/CPNE3/TRIP6/PXN/ITGA6/EZR/SORBS1/JAK2/MYH9/PROCR/MAPK3/CAV1/PPFIBP1/CORO1C/ARPC3/NEDD9/EPB41L5/FHL2/RHOU/CD46/ITGB1BP1/ADGRE5/LRP1/SDC4/CDC42EP1/FLNC/PALLD/AJUBA/STARD8/NECTIN2/ACTN4/ITGB4/FLOT2/DCTN4/NUMB/TES/FLNB/LMO7/LCP1/ARPC5L/TLN1/HMGA1/BCAR3/ITGAV/EPHA2/PIP5K1A/ARF1/LIMD1/LPP/EGFR/GSN/CAPN5/PAK1/HYOU1/ARL14EP/SLA/RPL30/MMP14/FZD1/ZYX/ITGA5/JAK1/FBLIM1/CAPN2/ANXA5/ITGA2/DLC1/MAPRE2/TPM4/SRP68/MAP2K1/PTK2/LIMS1/TLN2/BSG/CSRP2/FHL3/ACTG1/SPRY4/EVL/AFAP1/FLNA/ANXA6/PCBP2/SRC/SVIL/TGM2"	103
"GOCC_ACTOMYOSIN"	"GOCC_ACTOMYOSIN"	"GOCC_ACTOMYOSIN"	"27/2164"	"77/14332"	1.13020510809758e-05	0.00346407865631907	0.00303370844805139	"LIMA1/ACTN1/NEBL/TRIP6/PXN/SORBS1/MYH9/DAAM1/MYL9/KAT2B/PDLIM2/PALLD/ACTN4/DCTN4/FLNB/LCP1/ACTA1/CDC42BPA/LPP/BAG3/ZYX/FBLIM1/TPM4/PTK2/SYNPO/FHL3/MYO18A"	27
"GOCC_PODOSOME"	"GOCC_PODOSOME"	"GOCC_PODOSOME"	"14/2164"	"29/14332"	2.51831940581001e-05	0.00419487672529351	0.00367371362565414	"ARHGEF5/WDR1/SH3PXD2A/BIN2/RHOU/PALLD/LCP1/GSN/ASAP1/AFAP1L1/TPM4/SH3PXD2B/SRC/SVIL"	14
"GOCC_CELL_CORTEX"	"GOCC_CELL_CORTEX"	"GOCC_CELL_CORTEX"	"74/2164"	"310/14332"	2.73727681911485e-05	0.00419487672529351	0.00367371362565414	"RAI14/FGFR2/WDR1/ACTN1/ENO1/ACTB/ACTN2/CAPZB/EPB41L2/PXN/EXOC1/EZR/MYH9/MYL9/CORO1A/COTL1/TLE6/CAV1/COBL/CORO1C/BIN2/C2CD5/NEDD9/EXOC2/ECT2/NCL/RIMS3/SLC2A1/PKD2/GPSM2/CALD1/ITPR2/TRIP10/SNX9/ACTN4/MPP1/KCNC3/NDFIP1/LANCL2/FLOT2/DCTN4/SPIRE1/ARHGAP32/FLNB/TMOD1/MYO7A/EXOC6/PSEN2/MYO10/GSN/PARD3/ADD3/EPS8/MYO1E/CAPN2/SHROOM1/DLC1/TSC1/STOX1/TPM4/PTK2/RAC3/KRT19/MYO1D/MYADM/TRAK1/TNFAIP2/FLNA/SPTAN1/ASPH/CTNND1/UNC13B/SPIRE2/MICAL3"	74
"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"93/2164"	"416/14332"	4.34446083070989e-05	0.00492910383931932	0.00431672183060506	"CTNNA1/LIMA1/ACTN1/ACTB/APBB1IP/CAPZB/DNM2/EPB41L3/PXN/EZR/HDAC6/MYH9/CORO1A/COBL/KANK1/TESK1/DDX58/GBF1/KLHL2/CORO1C/ARPC3/STX2/C2CD5/NEDD9/EPB41L5/CCDC88A/AAK1/SSX2IP/PKD2/ITGB1BP1/RAB22A/PSD4/FGD3/RAB3IP/ADGRE2/MACF1/ADORA2A/ATF4/KNSTRN/PALLD/AJUBA/GDPD2/SNX9/EPS8L1/KCNC3/ITGB4/FLOT2/SWAP70/APC/LCP1/TLN1/PLCE1/ITGAV/FGD4/KSR1/BCAS3/EPHA2/PIP5K1A/ACTA1/ARF1/CDC42BPA/MYO10/EGFR/GSN/DGKZ/PAK1/EPS8/WASF2/IGF2BP1/ITGA5/S100A11/DLC1/INPPL1/TSC1/RAC3/TACR3/MTM1/INSR/CDC42BPG/TLN2/PTPRM/MYO1D/MYADM/FGD6/ARHGAP45/SPRY4/EVL/SRC/PLCG2/CTNND1/ITSN1/PDXP/TUBB3"	93
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"107/2164"	"494/14332"	4.82457145773506e-05	0.00492910383931932	0.00431672183060506	"GAS7/BARX2/CTNNA1/ARHGEF5/LIMA1/WDR1/ACTN1/NOTCH3/ACTB/ACTN2/CAPZB/NEBL/EPB41L2/TRIP6/PXN/EZR/SORBS1/MYH9/DAAM1/MYL9/CORO1A/COTL1/COBL/DDX58/ARHGAP21/SH3PXD2A/KLHL2/CORO1C/BIN2/ARPC3/KAT2B/ACTR1B/RHOU/SLC2A1/PDLIM2/WIPF3/CALD1/RAB22A/MACF1/SPECC1/PALLD/GDPD2/SNX9/ACTN4/ACTR10/LANCL2/FLOT2/DCTN4/SWAP70/MICAL2/ARHGAP32/FLNB/LCP1/TMOD1/ARPC5L/MYO7A/ACTA1/CDC42BPA/ACKR2/LPP/MYO10/GSN/PAK1/ALDOA/BAG3/PSTPIP2/ASAP1/MYO1E/AFAP1L1/WASF2/ZYX/MYL3/FBLIM1/CAPN2/SHROOM1/DLC1/STOML2/TSC1/JAM3/CRK/TPM4/PTK2/CLIC4/RAC3/KRT19/WIPF2/TLN2/SYNPO/SH3PXD2B/MYO1D/CDC42EP4/MYADM/FHL3/SMTN/ACTG1/AFAP1/MYO18A/DAPK1/FLNA/SRC/SVIL/IPP/SIPA1L1/SPTAN1/STK38L/PDXP/FMN1"	107
"GOCC_RUFFLE"	"GOCC_RUFFLE"	"GOCC_RUFFLE"	"47/2164"	"178/14332"	6.06621285825869e-05	0.00531226926016083	0.00465228354543148	"LIMA1/ACTN1/DNM2/EZR/MYH9/COBL/KANK1/DDX58/KLHL2/CORO1C/C2CD5/EPB41L5/ITGB1BP1/RAB22A/PSD4/FGD3/ADGRE2/MACF1/KNSTRN/PALLD/SNX9/EPS8L1/APC/LCP1/TLN1/ITGAV/FGD4/KSR1/EPHA2/PIP5K1A/MYO10/EGFR/PAK1/EPS8/WASF2/ITGA5/S100A11/DLC1/MTM1/TLN2/MYADM/FGD6/ARHGAP45/SPRY4/SRC/PLCG2/PDXP"	47
"GOCC_ACTIN_FILAMENT_BUNDLE"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"GOCC_ACTIN_FILAMENT_BUNDLE"	"25/2164"	"78/14332"	0.00012794151663109	0.00980351871185726	0.00858554914234945	"LIMA1/ACTN1/NEBL/TRIP6/PXN/SORBS1/MYH9/DAAM1/MYL9/PDLIM2/PALLD/ACTN4/DCTN4/FLNB/LCP1/ACTA1/LPP/BAG3/ZYX/FBLIM1/TPM4/PTK2/SYNPO/FHL3/FLNA"	25
"GOCC_TRANSCRIPTION_REGULATOR_COMPLEX"	"GOCC_TRANSCRIPTION_REGULATOR_COMPLEX"	"GOCC_TRANSCRIPTION_REGULATOR_COMPLEX"	"101/2164"	"483/14332"	0.00030788068770825	0.0209700957294619	0.0183648129510184	"TEAD3/DEPDC1/NR1H3/TBPL1/ARNTL2/BARX2/NFE2L3/MXD1/SPEN/TLE2/NFYC/CBFB/FOSL2/NFE2L1/NCOA1/RCOR1/TFAP4/CREM/MED15/XBP1/ASCC2/EP300/NFATC2/KLF5/NFAT5/BRF2/TLE6/GLI3/CORO2A/CCND1/MED23/SUB1/TAF1B/EPAS1/SFPQ/FOXO3/SATB2/MXI1/TAF12/CDK2/SOX4/GTF2F1/MED1/SIX1/ATF4/E2F8/SOX15/AJUBA/NR1H2/PPARG/LMO2/TAF5L/KLF4/MYC/GCM1/HMGA1/GATA6/TP53/CREG1/POU2F1/HDGF/RFX5/ARNT/HES6/LIMD1/NR6A1/TCF7L2/MED21/GTF3C6/MMS19/RUNX1/FOXH1/ATF3/SNAPC3/NFIL3/TAF3/PASD1/STAT6/SMAD3/SIN3A/CHD3/FOS/NPAS2/CEBPB/KAT5/FOSL1/TAF7/ZFP42/GATA2/ASCL2/MAFF/SP1/PBX1/TEAD1/HMGB1/NCOR2/HNRNPAB/DMBX1/TAF13/CEBPD/ZNF224"	101
"GOCC_RUFFLE_MEMBRANE"	"GOCC_RUFFLE_MEMBRANE"	"GOCC_RUFFLE_MEMBRANE"	"28/2164"	"98/14332"	0.00045655383389905	0.0279867500180118	0.0245097321356332	"DNM2/EZR/KANK1/DDX58/CORO1C/C2CD5/EPB41L5/PSD4/ADGRE2/MACF1/EPS8L1/APC/LCP1/TLN1/ITGAV/KSR1/EPHA2/PIP5K1A/EGFR/PAK1/EPS8/ITGA5/DLC1/ARHGAP45/SPRY4/SRC/PLCG2/PDXP"	28
