"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"GOCC_CELL_LEADING_EDGE"	"128/2834"	"416/14332"	4.13828624888841e-08	2.58642890555525e-05	2.33486466253072e-05	"ARHGAP44/CDKL5/CYTH3/VEZT/SNX1/CAPG/CTNNA1/LIMA1/PSD/ABCA7/MYLK/PDE4A/CDC42/ATP2B1/ACTN1/APBB1IP/RAPGEF3/CARMIL1/ASAP3/SNX5/PXN/TRPM7/PLEK2/FERMT1/ARHGEF7/PARD6A/MTMR9/COBL/WASL/KANK1/TESK1/DDX58/KLHL2/CLCN3/CORO1C/TRPV4/STX2/C2CD5/NEDD9/ACAP2/EPB41L5/AAK1/EXOC8/SSX2IP/PKD2/PIK3CA/CXCR4/PSD4/VASP/AMOT/FGD3/RAB3IP/ADGRE2/MACF1/ADORA2A/ATF4/PALLD/AJUBA/ARHGEF6/GDPD2/SNX9/CLIP1/EPS8L1/KCNC3/ITGB4/FLOT2/SWAP70/ARHGEF4/APPL2/DBNL/ABI1/PLCE1/ITGAV/FGD4/TPM1/SLC39A6/DPP9/EPHA2/LMO4/ARF1/MYO10/EGFR/ATP6V1B2/INPP5E/DGKZ/PAK1/ADAM17/ATP2B2/WASF2/IGF2BP1/CARMIL2/PDE9A/ARPC5/ACTG2/S100A11/ARPC2/APBB2/DLC1/INPPL1/STX3/CTNNB1/ANTXR1/RAC3/TACR3/MTM1/INSR/CDC42BPG/MCC/TLN2/BAIAP2/MYO1D/EPS8L2/MYADM/ARHGAP45/DDN/ATP6AP2/SPRY4/MYO6/PDLIM7/SRC/MYO5A/MYO1C/CDC42BPB/SRA1/SHISA9/NME1/TWF2/TUBB3"	128
"GOCC_RUFFLE"	"GOCC_RUFFLE"	"GOCC_RUFFLE"	"65/2834"	"178/14332"	1.29110814501282e-07	4.03471295316505e-05	3.64228403014142e-05	"CDKL5/CYTH3/CAPG/LIMA1/PSD/ABCA7/PDE4A/ACTN1/ASAP3/SNX5/TRPM7/FERMT1/ARHGEF7/PARD6A/MTMR9/COBL/KANK1/DDX58/KLHL2/CLCN3/CORO1C/TRPV4/C2CD5/ACAP2/EPB41L5/PSD4/AMOT/FGD3/ADGRE2/MACF1/PALLD/SNX9/CLIP1/EPS8L1/ARHGEF4/APPL2/DBNL/ITGAV/FGD4/TPM1/EPHA2/MYO10/EGFR/ATP6V1B2/INPP5E/PAK1/ADAM17/WASF2/CARMIL2/PDE9A/S100A11/DLC1/MTM1/TLN2/BAIAP2/EPS8L2/MYADM/ARHGAP45/SPRY4/MYO6/PDLIM7/SRC/MYO5A/MYO1C/NME1"	65
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"142/2834"	"494/14332"	7.1449599703462e-07	0.000148853332715546	0.000134375387512476	"SPPL2B/GAS7/FYN/ANLN/CAPG/BARX2/CTNNA1/ARHGEF5/LIMA1/TTC17/NDC1/MYLK/MYO9A/ACTN1/LLGL2/NOTCH3/KLHL20/ACTN2/NEBL/RAPGEF3/CARMIL1/EPB41L2/EFR3B/TRIP6/PXN/SORBS1/PLS3/FLT1/DGKH/COTL1/VPS18/TNNT1/COBL/STX1A/WASL/DDX58/SH3PXD2A/MYH3/KLHL2/CRYAB/LPXN/CORO1C/BIN2/TRPV4/RHOU/GBP1/CNN3/GJB6/WIPF3/CALD1/PRICKLE4/VASP/AMOT/MACF1/PALLD/GDPD2/SNX9/TNNT3/TNNI2/ACTR10/FLOT2/MYO18B/SWAP70/MICAL2/CCDC102A/DBNL/BIN1/TMOD1/MYO7A/ACTR1A/GAS2L3/TPM1/MYLK3/CGN/TPM3/ACKR2/LPP/TRMT10A/MYO10/SHROOM2/DENND2A/PAK1/ALDOA/TAOK2/ADAM8/ADAM17/PSTPIP2/ASAP1/MYO1E/WASF2/SHROOM4/DMTN/CARMIL2/KALRN/MYL3/ARPC5/CAPN2/ACTG2/ANKRD23/ARPC2/SHROOM1/DLC1/HNRNPK/STOML2/CFL2/JAM3/SYNPO2L/CRK/TPM4/AXL/RAC3/TLN2/SYNPO/EHBP1L1/HSPB7/SH3PXD2B/BAIAP2/MYO1D/MYOZ1/CDC42EP4/MYADM/MYLPF/ACTG1/ZNF74/KLHL17/AFAP1/MYO18A/MYO6/PDLIM7/SRC/SVIL/MYO5A/SPTAN1/MYO1C/MYL4/CDC42BPB/STK38L/TAX1BP3/MYL5/ARPC4/TWF2/FMN1"	142
"GOCC_CELL_PROJECTION_MEMBRANE"	"GOCC_CELL_PROJECTION_MEMBRANE"	"GOCC_CELL_PROJECTION_MEMBRANE"	"102/2834"	"340/14332"	3.46140834623188e-06	0.00054084505409873	0.000488240756205338	"ITGA3/CDKL5/DPEP1/SLC7A9/VEZT/PHLPP2/LIMA1/PSD/SLC12A2/ABCA7/PDE4A/CNGB1/ATP2B1/EVC/CEACAM1/SLC7A8/PLEK2/FERMT1/MAPRE1/NDRG4/MTMR9/GPI/ATP6V0A4/IQCE/KANK1/CA9/DDX58/CLCN3/MFSD10/EHD1/CORO1C/SLC11A2/TRPV4/C2CD5/TXNDC15/EPB41L5/PKD2/ABCG2/BBS2/PSD4/VASP/ADGRE2/MACF1/ADORA2A/ATF4/EPS8L1/SLC6A6/KCNC3/RAB25/PDE6B/KCNK1/ARHGEF4/APPL2/SLC5A6/ITGAV/BBS7/TPM1/BBS4/SLC39A6/EPHA2/MYO10/EGFR/PAK1/SLC7A11/ADAM17/ASAP1/PROM2/ATP2B2/SLC34A2/DMTN/ACE/PDE9A/DHRS3/BBS5/ARPC2/PLB1/DLC1/SLC27A4/CTNNB1/ARL13B/ANTXR1/TACR3/GPR37L1/INSR/SLC6A19/BBS1/MYO1D/EPS8L2/ITLN1/ARHGAP45/GPR157/DDN/ATP6AP2/SPRY4/MYO6/SRC/SLC22A5/MYO1C/SLC26A6/SHISA9/NME1/AQP1"	102
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"123/2834"	"431/14332"	5.78501180790557e-06	0.000723126475988196	0.000652792911376292	"ITGA3/ITGA2B/CD9/MRC2/TSPAN9/CAPN1/CTNNA1/HSPA5/LIMA1/COL17A1/TLE2/FGFR3/CDC42/ACTN1/PVR/CLASP1/APBB1IP/ACTN2/TNS1/EPB41L2/CPNE3/TRIP6/ASAP3/PXN/ITGA6/SORBS1/MAPK1/EFS/PROCR/FERMT1/MAPRE1/CD99L2/ARHGEF7/FLT1/MAPK3/ENG/PFN1/SLC6A4/LPXN/CORO1C/TRPV4/NEDD9/PTK7/PDGFRB/PRKAR2A/EPB41L5/ITGB6/FHL2/RHOU/CNN3/SORBS3/CAT/PLAU/ADGRE5/LRP1/SDC4/VASP/FLRT1/CDC42EP1/PALLD/AJUBA/STARD8/PPFIA1/ITGB4/FLOT2/RRAS2/THSD1/LMO7/TNS3/SDCBP/BCAR3/ITGAV/GRB7/EPHA2/HSPG2/DCAF6/ARF1/RHOB/LIMD1/LPP/EGFR/INPP5E/CAPN5/PAK1/ADAM17/ARL14EP/SLA/MMP14/FZD1/SHROOM4/JAK1/ARPC5/CAPN2/ARPC2/ANXA5/ITGA2/DLC1/YWHAZ/HNRNPK/YWHAB/MAPRE2/TPM4/CTNNB1/MAP2K1/LIMS1/TLN2/CSRP2/PLEC/ACTG1/UBOX5/LMLN/CHP1/SPRY4/FOCAD/PPIA/AFAP1/MME/PDLIM7/ANXA6/SRC/SVIL/TGM2/TSPAN4"	123
"GOCC_PROTEIN_KINASE_COMPLEX"	"GOCC_PROTEIN_KINASE_COMPLEX"	"GOCC_PROTEIN_KINASE_COMPLEX"	"42/2834"	"115/14332"	2.05006659892735e-05	0.00186804270799424	0.00168635097513248	"PHKA2/CDK14/PHKA1/CCNT2/ERC1/CCNK/PARD6A/IKBKB/ERCC2/CCNE1/PRKAG2/CCND1/GTF2H3/CCND3/CCNG1/PRKAR2A/ACVR2B/ACVR1/CCNI/ACVR2A/CDK2/ACVR1C/CDKN1A/CDKN2D/PRKAB2/PRKAA1/CCNB1/CDK9/IGF1R/PARD3/TGFBR2/CDK1/INSR/CDK5R2/ATG13/ULK1/ERN1/PRKAG1/CCNI2/CHUK/CDK3/STRADA"	42
"GOCC_LATE_ENDOSOME"	"GOCC_LATE_ENDOSOME"	"GOCC_LATE_ENDOSOME"	"85/2834"	"283/14332"	2.09220783295354e-05	0.00186804270799424	0.00168635097513248	"LAMP2/BAIAP3/CLEC16A/NEDD4L/STOML1/CLTCL1/PLD1/ANKRD13A/RNF13/UNC13D/TSPAN15/MAPK1/MICALL1/MAPK3/RAB11A/CTSH/VPS18/LAPTM4B/SLC39A14/WDR91/TMEM106B/CLCN3/SLC11A2/FIG4/PIKFYVE/STEAP3/RAP1A/EXOC8/ATP10B/VAMP8/CXCR4/ATP7B/AP5S1/CD68/LDLR/YIPF2/RNF128/SFTPD/TMEM165/CTSL/SNX14/CD63/VPS36/SLC31A1/SORL1/SPPL2A/AP1AR/VPS33A/VPS37B/IFITM3/RHOB/RUBCN/EGFR/CHMP7/TMEM25/VIPAS39/ABCA5/NMNAT2/SLC30A2/ATP13A2/MFSD12/ABHD6/VPS37C/MAP2K1/PCSK9/TMEM192/MTM1/INSR/DDIT3/VPS37D/SLC38A9/CHID1/PMEL/MAGI2/PRKAR1B/CLN3/MVB12B/ANXA6/SRC/MYO5A/VPS16/CHMP1B/CHMP4BP1/ANXA8/RAB7B"	85
"GOCC_VACUOLAR_MEMBRANE"	"GOCC_VACUOLAR_MEMBRANE"	"GOCC_VACUOLAR_MEMBRANE"	"125/2834"	"452/14332"	2.50561880030019e-05	0.00195751468773453	0.00176712062758014	"SPPL2B/LAMP2/CLEC16A/VMP1/ATP11A/WIPI1/SCARB1/PLD1/GNB1/PSEN1/OSTM1/RNF13/CPNE3/MTMR2/CMTM6/SLC22A17/HPS4/SYNGR1/TM9SF1/EEF1A2/ABCD1/CLN5/VPS18/LAPTM4B/SLC39A14/ATP6V0A4/AP1S1/TMEM106B/ABCA2/MANBA/CLCN3/SLC15A3/SLC11A2/ITFG2/ATP6V1A/ATP6V1B1/ECE1/ATP10B/VAMP8/CSF3R/ABCD4/LRP1/SLC36A1/SLC12A4/ATP8A1/ABCC10/AP5S1/ATG14/TMEM175/GNAI1/CD68/SLC44A2/LDLR/SBF2/ACP2/TMEM165/P2RX4/SNX14/CD63/TMBIM1/CKAP4/DRAM1/LRRC8A/STX17/MYO7A/PRCP/SPPL2A/ENPEP/GABARAPL1/VAMP1/VPS33A/MAP1LC3B/IFITM3/COL6A1/PSEN2/STK11IP/ATP6V1B2/CHMP7/VLDLR/SURF4/AP1S3/ABCA5/SLC30A2/ATP13A2/SLC2A6/MFSD12/NEU3/ABHD6/DTX3L/MFSD8/WDR41/MIOS/BRI3/HGSNAT/RNF183/PLEKHF1/ANPEP/YWHAB/SLC3A2/ATG16L2/PCSK9/TMEM192/KIF5B/LRRC8E/ATP6V0E2/KLC2/TMEM9B/SLC38A9/ULK1/THBD/MYLPF/ZNRF2/ATP6AP2/TMEM179B/ANKFY1/CLN3/GDAP2/MYO6/ANXA6/ENTPD4/VPS13A/MTOR/SLC35F6/VPS16/CHMP1B"	125
"GOCC_ACTIN_FILAMENT"	"GOCC_ACTIN_FILAMENT"	"GOCC_ACTIN_FILAMENT"	"40/2834"	"110/14332"	3.5839020953868e-05	0.00248882089957417	0.00224675031944717	"GAS7/FYN/ACTN1/ACTN2/CARMIL1/PLS3/COTL1/VPS18/COBL/WASL/GJB6/WIPF3/PRICKLE4/AMOT/PALLD/GDPD2/MYO18B/MICAL2/DBNL/TMOD1/GAS2L3/TPM1/TPM3/ACKR2/PAK1/PSTPIP2/SHROOM4/DMTN/JAM3/TPM4/RAC3/EHBP1L1/ACTG1/MYO6/PDLIM7/SRC/MYO5A/MYO1C/TWF2/FMN1"	40
"GOCC_EARLY_ENDOSOME"	"GOCC_EARLY_ENDOSOME"	"GOCC_EARLY_ENDOSOME"	"110/2834"	"395/14332"	5.5155091872159e-05	0.00344719324200994	0.00311190834141865	"BAIAP3/CD22/EHD2/SNX1/RABEP1/ZFYVE16/INPP4A/ATP9A/MON2/ABCA7/ATP11A/CLTCL1/TFRC/PICALM/PTPN23/RAP1GAP/OSBPL6/PSEN1/MTMR2/SNX5/CMTM6/MAPK1/MICALL1/LIPG/MGRN1/MAPK3/GGA2/VPS18/SGK3/LAPTM4B/SLC39A14/ASAH1/CLIP3/WDR91/SNX8/CLCN3/SNX15/EHD1/SLC11A2/FIG4/PIKFYVE/STAM2/TRAK2/RAP1A/WLS/STX12/VAMP8/SNX19/CXCR4/OCRL/LRP1/RAB17/GGA3/SNX6/LDLR/TMEM165/HAVCR2/APPL2/DBNL/RPS6KC1/STAM/SORL1/AP1AR/VPS33A/PML/RNF157/IFITM3/SNX27/RHOB/ACKR3/ACKR2/RUBCN/EGFR/SNX30/SLC2A13/VIPAS39/VPS8/LDLRAP1/WASF2/APOA2/NEU3/PPP1R21/FZD5/APBB2/DTX3L/LMTK2/TMEM184A/PRDX3/SNX20/TBC1D16/RAB4A/RAB31/MAP2K1/PCSK9/TMEM9B/SPHK1/MYO1D/RABEP2/TRAK1/ANKFY1/CLN3/PTPN1/MME/MVB12B/MYO5A/SLC9A6/INPP5F/INPP5B/VPS16/PLA2G4B"	110
