"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"60/1038"	"440/15910"	4.0758049550368e-08	3.68045187439823e-05	3.41509552022031e-05	"LASP1/GAS7/RAI14/CAPG/CTNNA1/LIMA1/ACTN1/ACTN2/NEBL/CEACAM1/EPB41L3/MYBPC2/FERMT1/COTL1/SLC6A2/KLHL5/CORO1C/CCDC88A/CALD1/VASP/PLEKHG3/MACF1/YWHAH/PALLD/AJUBA/ACTN4/TNNT3/SYNE1/EPS8L1/MICAL2/TMOD1/FHDC1/MYO7A/FGD4/KLHL3/ALDOA/WHAMM/MYL3/SHROOM1/INPPL1/TPM4/ANTXR1/PRKCE/TLN2/SYNPO/SSH3/MYO1D/PAWR/MYOZ1/S100A4/EVL/MYO18A/FLNA/ANXA6/DMD/INF2/STK38L/ARPC4/MICAL3/ANXA8"	60
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"47/1038"	"334/15910"	4.85367228816129e-07	0.000219143303810482	0.000203343323230336	"LASP1/GPRC5A/CAPG/CTNNA1/LIMA1/PKM/DHX29/PICALM/NOTCH3/BZW1/GCN1/ITGA6/TBC1D2/TBC1D10A/CHMP4B/STK24/NDRG1/EIF4H/KRT18/STAT1/CD46/TJP2/CALD1/LRRFIP1/VASP/MMP24/MACF1/PAICS/CDC42EP1/EPS8L1/SWAP70/TRIM29/USO1/EPHA2/ALDOA/ASAP1/TAGLN2/S100A11/GOLGA2/SLC3A2/FASN/CDH5/PAK2/PKP3/FLNA/SRC/PPME1"	47
"GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY"	"GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY"	"GOMF_PROTEIN_TYROSINE_THREONINE_PHOSPHATASE_ACTIVITY"	"6/1038"	"10/15910"	1.271376800381e-05	0.00382684416914681	0.00355093309860799	"DUSP16/DUSP1/DUSP4/DUSP9/DUSP5/DUSP7"	6
"GOMF_MAP_KINASE_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY"	"GOMF_MAP_KINASE_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY"	"GOMF_MAP_KINASE_TYROSINE_SERINE_THREONINE_PHOSPHATASE_ACTIVITY"	"6/1038"	"13/15910"	8.75939377090122e-05	0.0197743314378095	0.0183486248464141	"DUSP16/DUSP1/DUSP4/DUSP9/DUSP5/DUSP7"	6
"GOMF_ACTIN_FILAMENT_BINDING"	"GOMF_ACTIN_FILAMENT_BINDING"	"GOMF_ACTIN_FILAMENT_BINDING"	"28/1038"	"217/15910"	0.000422258112867619	0.072045884489971	0.0668514589427254	"LASP1/GAS7/CAPG/CTNNA1/LIMA1/ACTN1/ACTN2/NEBL/FERMT1/COTL1/CORO1C/MACF1/AJUBA/ACTN4/SYNE1/TMOD1/MYO7A/SHROOM1/TPM4/ANTXR1/TLN2/MYO1D/MYO18A/FLNA/ANXA6/DMD/ARPC4/ANXA8"	28
"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"GOMF_HISTONE_ACETYLTRANSFERASE_BINDING"	"7/1038"	"23/15910"	0.000478710195946651	0.072045884489971	0.0668514589427254	"SIRT2/GLI3/STAT1/BCAS3/KANSL1L/CITED2/EID1"	7
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"51/1038"	"489/15910"	0.000604354292324919	0.0779617037099146	0.0723407543895693	"PLEKHG6/RANBP3/DEPDC1B/TBC1D22A/ARHGAP10/RASAL2/WNT11/TBC1D2/SYDE2/TBC1D10A/RIN3/ARHGEF10/ARHGEF18/SYDE1/CCDC88A/PLCD4/ERRFI1/RHOU/DENND1A/PLEKHG1/OCRL/PLEKHG3/FGD3/STARD8/SH3BP4/EPS8L1/ACAP3/SWAP70/BCAR3/ARHGAP29/FGD4/SGSM2/RGS16/RGL1/ASAP1/OBSCN/RASA2/PDE6D/RALGDS/WDR41/STXBP5/DLC1/RALGAPA1/DENND5A/ARAP1/BCR/CHM/DENND4B/CHML/ITSN1/ARHGEF33"	51
"GOMF_MAP_KINASE_PHOSPHATASE_ACTIVITY"	"GOMF_MAP_KINASE_PHOSPHATASE_ACTIVITY"	"GOMF_MAP_KINASE_PHOSPHATASE_ACTIVITY"	"6/1038"	"18/15910"	0.000714132023260167	0.0783561859920303	0.0727067949520967	"DUSP16/DUSP1/DUSP4/DUSP9/DUSP5/DUSP7"	6
"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"47/1038"	"446/15910"	0.000780958664372395	0.0783561859920303	0.0727067949520967	"MAP3K9/MAPK9/CDK14/FGFR2/FGFR3/STK10/NUAK1/FGFR1/CDC7/STK24/MAPK3/MAPK8/MAP2K6/NEK6/PIK3CA/CDK2/SRPK2/ALPK3/RPS6KC1/RIPK1/BMP2K/IGF1R/EPHA2/PAK1/LATS2/NEK7/OBSCN/DYRK1A/PINK1/PSKH1/JAK1/NUAK2/STK17A/PLK1/DAPK3/PRKCE/ATR/ULK1/PAK2/LIMK2/CSF1R/BCR/SRC/PIM3/STK39/MAP3K3/STK38L"	47
"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING"	"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING"	"GOMF_CALCIUM_DEPENDENT_PROTEIN_BINDING"	"14/1038"	"84/15910"	0.00100706344667318	0.0817844308655595	0.0758878673066216	"CPNE3/WFS1/ANXA11/TNNT3/VPS37B/PEF1/S100A11/VPS37C/RAC3/MYO1D/S100A16/S100A14/S100A4/ANXA6"	14
