"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"81/2355"	"273/15910"	1.96984201071199e-10	2.00529916690481e-07	1.79151947079491e-07	"ARHGAP33/DPEP1/GAB2/ZFYVE16/WIPI1/ZFYVE26/SCARB1/PICALM/ACTN2/EXOC1/TOM1/GGA2/SGK3/LAPTM4B/SNX8/GBF1/SH3PXD2A/SNX25/OSBP/GOLPH3/SNX4/CCDC88A/ESYT2/MREG/DENND1A/ITPR2/TTPAL/SNX9/OSBPL2/LANCL2/PIK3C2B/ARHGAP32/SNX14/VPS36/RPS6KC1/DAB2IP/TLN1/FCHSD2/PHLDA1/ZCCHC14/BCAS3/WDR45B/ZCCHC2/PIGK/SNX27/ANXA9/MYO10/SNX12/GSN/PARD3/JPH2/ASAP1/PITPNC1/OBSCN/MPPE1/FZD7/ZFYVE9/MYO1E/SNX22/MITD1/SNX7/SAP30L/PLEKHF1/SNX20/PXDC1/FRMPD2/MTM1/SNX32/COMMD1/SH3PXD2B/TOM1L2/SNX18/PITPNB/PLCB1/AIDA/ARAP1/PLCD1/SVIL/DENND1C/DENND1B/ANXA8"	81
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"92/2355"	"334/15910"	9.07457709263291e-10	4.61895974015015e-07	4.12654453054465e-07	"GPRC5A/CTNNA1/HSPA5/LIMA1/PFKP/PKM/DHX29/EPN2/PICALM/NOTCH3/ENO1/CAPZB/BZW1/CHMP2B/GCN1/FXYD5/GOLGA3/ITGA6/EZR/TBC1D2/HSP90AB1/CRKL/TBC1D10A/MICALL1/MYH9/CHMP4B/STK24/UBFD1/NDRG1/PPP1R13L/EIF4H/LRRC59/PPFIBP1/KRT18/HDLBP/CD46/ESYT2/TJP2/EPCAM/CALD1/LRRFIP1/MMP24/EPS15L1/MACF1/PAICS/CDC42EP1/SNX9/EPS8L1/SWAP70/NUMB/ARGLU1/APC/TES/FLNB/DAB2IP/TLN1/IDH1/OLA1/CDH24/SCYL1/EPHA2/EGFR/ALDOA/BAG3/CAST/ASAP1/FMNL2/WASF2/TAGLN2/S100A11/GOLGA2/EEF2/GLOD4/SLC3A2/ATXN2L/PCBP1/FASN/RSL1D1/BSG/PTPRM/ARHGAP1/CDH5/PAK2/PKP3/RAB11B/PTPN1/FLNA/SRC/SND1/SPTAN1/CTNND1/PPME1"	92
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"114/2355"	"469/15910"	2.61360778636933e-08	8.8688424217466e-06	7.92335834183545e-06	"ARHGAP33/DPEP1/GRAMD1B/GAB2/ZFYVE16/EPN1/PLA2G10/WIPI1/ZFYVE26/EPN2/SCARB1/PICALM/ACTN2/CPNE3/EXOC1/MICALL1/TOM1/PLTP/PLA2G15/GGA2/SYT17/SGK3/LAPTM4B/SNX8/GBF1/SH3PXD2A/SNX25/OSBP/BIN2/RASAL1/C2CD5/HAVCR1/GOLPH3/ARL6/SNX4/CCDC88A/ESYT2/MREG/DENND1A/ITPR2/TTPAL/PSD4/SNX9/OSBPL2/LANCL2/PIK3C2B/ARHGAP32/SNX14/DYSF/VPS36/RPS6KC1/DAB2IP/TLN1/FCHSD2/MYOF/PHLDA1/CPNE2/ZCCHC14/PCTP/BCAS3/WDR45B/ZCCHC2/PIGK/SNX27/ANXA9/OSBPL10/MYO10/SNX12/GSN/PARD3/JPH2/DOC2A/ASAP1/PITPNC1/OBSCN/MPPE1/FZD7/RASA2/ZFYVE9/MYO1E/SNX22/MITD1/PLA2G2F/SHC1/SNX7/ANXA5/SAP30L/STOML2/PLEKHF1/SNX20/PXDC1/FRMPD2/MTM1/SNX32/COMMD1/SH3PXD2B/TOM1L2/CPNE7/SNX18/PITPNB/PLCB1/GAS6/AIDA/ARAP1/PLCD1/HMGB1/ANXA6/SVIL/UNC13B/SMURF1/UQCC3/DENND1C/DENND1B/ANXA8"	114
"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"118/2355"	"495/15910"	4.73011770277313e-08	1.20381495535576e-05	1.07547939347263e-05	"SS18L2/RSF1/KMT2C/SPEN/TLE2/CBFB/BCL3/ACTN1/SMARCE1/ZZEF1/ENO1/ACTN2/JADE1/SMARCA2/NCOA1/KDM2B/PXN/RCOR1/MED15/SMARCB1/RBFOX2/EP300/ZMYND8/PRPF6/TRIB3/VGLL1/ARL2BP/PPP1R13L/TLE6/MIER2/TRIM14/ZMIZ1/C1QBP/HTATIP2/CCND1/BIRC2/AIP/PSMD9/ATN1/TDP2/MED23/SUB1/KAT2B/FHL2/KDM5B/ARID1A/ZNF410/ENY2/TAF12/PKN1/NMI/MED1/SMARCA4/AJUBA/ACTN4/TRIM21/PER2/DPF2/LMO2/TAF5L/KAT7/TFAP2A/HMGA1/ARRB1/CIR1/TOB1/BRD4/CARM1/RERE/PEX14/CREG1/HDGF/LIMD1/TACC1/BEND6/PTPN14/MED21/CDYL/MMS19/MIER3/RNF20/KAT6B/RBPMS/DYRK1A/CCAR2/RRP1B/PRMT2/SRSF2/ZNF653/YY1AP1/RYBP/SAP30/CITED2/SAP30L/PSIP1/CDYL2/IRF2BP2/SIN3A/ASXL1/KAT5/SMARCC1/NUPR1/BASP1/MAGED1/SERTAD2/FIZ1/FHL3/MAML2/MED12/NOC2L/HMGB1/NCOR2/MAML3/SND1/SFMBT2/DPF3/MYCBP/EID1"	118
"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"79/2355"	"296/15910"	6.16550987765525e-08	1.25529781109061e-05	1.1214737966935e-05	"DVL2/NPC1L1/RALBP1/CYFIP2/YIPF1/YBX3/TNPO3/YBX1/PICALM/ENO1/VPS9D1/USP33/GNB1/HACE1/UNC13D/HPS4/MICALL1/DAAM1/RIN3/RABGGTA/GGA2/DMXL2/NDRG1/CAV1/RAB11FIP2/KPNB1/TNFAIP1/CORO1C/EXOC2/ECT2/ERRFI1/RIMS3/IPO13/OCRL/PKN1/OPTN/CSE1L/ATG14/FGD3/RAB3IP/SH3BP4/YIPF2/KIF3A/RIN2/LCP1/SORL1/PLCE1/FGD4/SGSM2/GOLGA4/TBC1D7/DOCK11/C9orf72/PAK1/EPS8/BICD1/WHAMM/PDE6D/BRAF/FMNL2/CDC42SE2/STOML2/DAPK3/ARHGAP1/ULK1/CDC42EP4/FGD6/PAK2/RNF41/DENND5A/CHM/IPO4/FLNA/UNC13B/RUSC2/INF2/RANBP17/DENND1B/MICAL3"	79
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"106/2355"	"469/15910"	3.3132086308699e-06	0.000562141064370926	0.000502212676679226	"TEAD3/SPEN/BCL3/WIPI1/SMARCE1/ACTB/BAZ2A/NCOA1/DNAJA1/TRIP6/CREM/SETD1A/CRKL/SMARCB1/RBFOX2/EP300/NFKBIA/ZMYND8/PRPF6/KLF5/AKAP8/GATA3/DDX5/HDAC5/WFS1/AIP/PSMD9/PPARD/BCL6/KAT2B/HES1/FOXP1/NCL/FHL2/EPAS1/MEF2D/ARID1A/CENPF/HMGN3/NEK6/TAF12/BHLHE41/PKN1/IKZF4/CNOT1/MED1/MKKS/SMARCA4/ATF4/ACTN4/NR1H2/PPARG/PCNA/BHLHE40/NOTCH2/TBX3/LMO2/KLF4/MYC/HMGA1/BBS7/GABARAPL1/CRTC3/BCAS3/GATA6/TP53/SIK1/ARNT/HES6/DCAF1/TACC1/TCF7L2/MMS19/KAT6B/ETS2/PRMT2/FOXH1/ZNF653/CGGBP1/CITED2/HEY1/PASD1/SMAD3/DAPK3/SIN3A/FOS/ASXL1/CEBPB/KAT5/TRIB1/TAF7/PER1/GATA2/BBS10/FIZ1/ZNF703/MED12/SP1/PBX1/COMMD6/NOC2L/HMGB1/NCOR2/FLNA/SRC/DDRGK1"	106
"GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_PHOSPHATE_BINDING"	"48/2355"	"175/15910"	1.04077475907278e-05	0.0015135838639087	0.00135222464938177	"GAB2/ZFYVE16/WIPI1/ZFYVE26/PICALM/ACTN2/EXOC1/LAPTM4B/GBF1/SH3PXD2A/OSBP/GOLPH3/SNX4/DENND1A/TTPAL/OSBPL2/LANCL2/ARHGAP32/SNX14/VPS36/DAB2IP/FCHSD2/PHLDA1/WDR45B/SNX27/ANXA9/MYO10/SNX12/GSN/PARD3/JPH2/ASAP1/OBSCN/FZD7/SNX22/SAP30L/PLEKHF1/SNX20/COMMD1/SH3PXD2B/SNX18/PLCB1/ARAP1/PLCD1/SVIL/DENND1C/DENND1B/ANXA8"	48
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"96/2355"	"432/15910"	1.95824217970261e-05	0.00249186317367157	0.00222621216218823	"MAP3K14/MAP3K9/TRIO/PHKA2/MAPK9/CDK14/CDK17/MAP2K4/TESK2/CSNK2A2/MAP4K4/SPEG/STK10/NUAK1/MAP2K7/ARAF/CPNE3/CCNK/CDC7/MKNK2/PIM2/CDK16/STK24/MAPK3/BCKDK/SGK3/DMPK/TGFBR1/TESK1/MAPK8/BMPR1A/MAP3K8/RPS6KB1/MAP2K6/HTATIP2/ACVR2B/AAK1/NEK2/TRPM6/NEK6/PKN1/CDK2/ACVR1C/STK35/PNCK/PRKAB2/ADCK2/ALPK3/RPS6KC1/RIPK1/NEK1/KSR1/MINK1/BRD4/SIK1/PRKACB/CDC42BPA/DCAF1/EGFR/PAK1/LATS2/NEK7/OBSCN/SMG1/DYRK1A/BRAF/PINK1/SIK3/NUAK2/SNRK/STK17A/PLK1/DAPK3/PBK/MAP2K1/PRKCE/CDC42BPG/EIF2AK3/OXSR1/ATR/ULK1/ERN1/CLK3/PAK2/MAP3K15/PRKAG1/LIMK2/RIPK4/STK31/DAPK1/IRAK4/RPS6KL1/PIM3/MAP3K3/STK38L/CHUK"	96
"GOMF_TRANSCRIPTION_COREGULATOR_BINDING"	"GOMF_TRANSCRIPTION_COREGULATOR_BINDING"	"GOMF_TRANSCRIPTION_COREGULATOR_BINDING"	"33/2355"	"108/15910"	2.3130823322044e-05	0.0026163531268712	0.00233743056728023	"RORA/ENO1/HDAC6/EP300/GATA3/TFAM/HDAC5/PPARD/PHF1/BCL6/HES1/EPAS1/FOXO3/NEK6/ZNF644/MED1/NR1D1/SIX1/SMARCA4/PPARG/PER2/LMO2/MYC/HMGA1/GATA6/HDGF/VGLL4/SMAD3/FOS/PER1/GATA2/SP1/PBX1"	33
"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"98/2355"	"446/15910"	2.59823448703391e-05	0.00264500270780052	0.00236302589136558	"MAP3K14/MAP3K9/FLT4/TRIO/MAPK9/CDK14/CDK17/ERBB3/MAP2K4/FGFR2/TESK2/CSNK2A2/MAP4K4/SPEG/STK10/NUAK1/MAP2K7/FGFR1/ARAF/JAK2/CDC7/MKNK2/PIM2/CDK16/STK24/MAPK3/SGK3/DMPK/TESK1/MAPK8/MAP3K8/RPS6KB1/MAP2K6/ACVR2B/AAK1/NEK2/TRPM6/NEK6/PKN1/CDK2/STK35/PNCK/ALPK3/RPS6KC1/RIPK1/NEK1/IGF1R/KSR1/MINK1/ERBB2/SIK1/EPHA2/PRKACB/CDC42BPA/DCAF1/EGFR/PAK1/LATS2/NEK7/OBSCN/SMG1/DYRK1A/BRAF/PINK1/SIK3/JAK1/NUAK2/SNRK/STK17A/WEE1/PLK1/DAPK3/PBK/MAP2K1/PTK2/INSR/PRKCE/CDC42BPG/EIF2AK3/OXSR1/ATR/ULK1/ERN1/CLK3/PAK2/MAP3K15/LIMK2/CSF1R/RIPK4/STK31/DAPK1/SRC/IRAK4/RPS6KL1/PIM3/MAP3K3/STK38L/LYN"	98
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"105/2355"	"489/15910"	3.72723780781358e-05	0.00341995123413802	0.0030553591834301	"ARHGAP33/PLEKHG6/RALBP1/DEPDC1/RABEP1/RANBP3/DEPDC1B/TRIO/ARHGEF5/MCF2L2/TBC1D22A/RASGRF1/TBC1D22B/ARHGAP10/RASAL2/VPS9D1/WNT11/TBC1D2/SYDE2/TBC1D10A/HPS4/RIN3/ARL2BP/NPRL3/ARHGEF18/TBC1D17/SYDE1/RAPGEF1/GBF1/ARHGAP21/RASAL1/RASGRF2/ECT2/CCDC88A/PLCD4/ERRFI1/RHOU/ITGB1BP1/DENND1A/PLEKHG1/GPSM2/OCRL/ARHGAP40/PSD4/SH2D3A/PLEKHG3/FGD3/RAB3IP/STARD8/SH3BP4/DOCK6/SESN2/EPS8L1/SH3BP5/RAP1GAP2/RIN2/SWAP70/ARHGAP32/TBC1D4/RALGPS1/DAB2IP/ARRB1/ARHGAP20/BCAR3/PLCE1/FAM13A/FGD4/SGSM2/RGS16/RGL1/IQSEC1/TBC1D7/DOCK11/C9orf72/ASAP1/OBSCN/ELMO1/RASA2/GNAQ/TIAM1/PDE6D/RALGDS/STXBP5/DLC1/TBC1D16/AGFG1/RALGAPA1/ARHGAP1/ELMOD2/FGD6/ARHGAP45/PLCB1/DENND5A/ARAP1/CHM/PLEKHG4/SRGAP1/TBC1D9B/SIPA1L1/ITSN2/DENND4B/ITSN1/DENND1C/DENND1B/ARHGEF33"	105
"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY"	"64/2355"	"266/15910"	4.03137670035916e-05	0.00341995123413802	0.0030553591834301	"SS18L2/KMT2C/CBFB/BCL3/ACTN1/SMARCE1/ZZEF1/ACTN2/JADE1/SMARCA2/NCOA1/SMARCB1/EP300/PRPF6/VGLL1/ARL2BP/TRIM14/ZMIZ1/HTATIP2/BIRC2/AIP/PSMD9/MED23/SUB1/KAT2B/ARID1A/ENY2/TAF12/PKN1/MED1/SMARCA4/ACTN4/TRIM21/PER2/LMO2/TAF5L/HMGA1/ARRB1/BRD4/CARM1/RERE/TACC1/MED21/MMS19/RNF20/RBPMS/DYRK1A/CCAR2/RRP1B/PRMT2/CITED2/SIN3A/ASXL1/KAT5/SMARCC1/NUPR1/MAGED1/SERTAD2/FIZ1/MAML2/MED12/HMGB1/MAML3/MYCBP"	64
