"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"192/5727"	"334/15910"	5.71116602076187e-16	6.16805930242282e-13	5.12802591127356e-13	"LASP1/BAIAP2L1/LYPLA2/ANLN/GPRC5A/SNX1/VCL/CTNNA1/HSPA5/LIMA1/PKP2/CDH3/CNN2/PFKP/PKM/DHX29/EPN2/PICALM/NOTCH3/ENO1/FSCN1/CAPZB/BZW1/COBLL1/ERC1/CHMP2B/RAB10/EPS15/CHMP5/DOCK9/SNX5/GCN1/FXYD5/GOLGA3/ITGA6/EZR/TBC1D2/HSP90AB1/SH3GLB1/ARVCF/RANBP1/CRKL/TBC1D10A/MICALL1/PACSIN2/MYH9/RANGAP1/MAPRE1/CHMP4B/VAPA/EMD/STK24/OLFM4/UBFD1/NDRG1/PPP1R13L/PLIN3/YKT6/EIF4H/PFN1/LRRC59/HSPA8/EHD1/EIF4G2/PPFIBP1/KRT18/CLINT1/DBN1/ACVR1/SPTBN1/STAT1/HDLBP/CD46/CNN3/PRDX6/ESYT2/PPL/TJP2/CTNNAL1/EPCAM/PCMT1/CALD1/GIPC1/CDH26/LRRFIP1/AHNAK/VASP/MMP24/KTN1/EPS15L1/MACF1/PAICS/CDC42EP1/MYO1B/SNX9/PAK4/EIF2S3/ARHGEF16/EPS8L1/ARFIP2/SWAP70/NUMB/LDHA/ARGLU1/P2RX4/TES/FLNB/ABI1/DAB2IP/TLN1/TRIM29/PAK6/FNBP1L/ATIC/IDH1/OLA1/USP8/TMOD3/DIAPH3/CDH24/IQGAP1/SH3GL1/SCYL1/PSMB6/EPHA2/SERBP1/CGN/PKP4/PHLDB2/EIF2A/EGFR/RPL7A/SH3GLB2/PTPRJ/PLCB3/ALDOA/MPP7/ANK3/BAG3/CAST/ASAP1/FMNL2/NCK1/WASF2/TAGLN2/F11R/ABCF3/RPL29/PDLIM5/S100A11/HNRNPK/GAPVD1/YWHAB/GOLGA2/EEF2/GLOD4/SLC3A2/ATXN2L/PCBP1/FASN/RSL1D1/BSG/HCFC1/PTPRM/KLC2/CKAP5/ARHGAP1/RUVBL1/SFN/CDK5R1/EPS8L2/PTPN11/CDH5/EXOC3/PAK2/MB21D2/ANXA2/PKP3/RAB11B/PTPN1/FLNA/SRC/SND1/SPTAN1/PARVA/CTNND1/GIGYF2/BMPR2/SNX2/PPME1/PI4KA/EEF1G"	192
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"250/5727"	"469/15910"	6.5080599685361e-15	3.51435238300949e-12	2.92177639640068e-12	"FKBP4/DHX33/CREBBP/TEAD3/MED24/RNF14/SLC30A9/PIAS1/THRAP3/SPEN/TP53BP1/HDAC4/SIRT2/BCL3/WIPI1/TCF3/SMARCE1/ACTB/BAZ2A/TP73/MEF2C/GSK3B/NCOA1/DNAJA1/TRIP6/PSMC5/CBX5/CREM/SETD1A/CRKL/SMARCB1/RBFOX2/EP300/SNW1/HIF1A/YY1/APEX1/PSMA6/NFKBIA/ZMYND8/STK4/PRPF6/E2F1/ZNF516/SMARCA1/KLF5/KAT8/NBN/MED25/AKAP8/USF2/HSPB1/TLE4/GATA3/MED13/DDX5/MLX/HDAC5/DHRS7B/WFS1/AIP/PSMD9/NCOA7/PPARD/MAPK14/TBP/TCERG1/BCL6/KAT2B/HES1/FOXP1/NCL/STAT1/KDM3A/FHL2/STRN/ATF2/EPAS1/NFE2L2/MEF2D/ZBTB17/PADI2/ID3/ARID1A/CENPF/HMGN3/NEK6/DNMT3A/TAF12/NFYB/TBX2/CRY2/HOXA7/EGR2/DDX54/BHLHE41/PKN1/NR4A1/IKZF4/NCOA3/TRERF1/CNOT1/BBS2/MED1/MKKS/MAX/SMARCA4/YWHAH/ATF4/ACTN4/JUND/MAP3K10/CCDC62/LATS1/NR1H2/PPARG/WBP2/PCNA/BHLHE40/NOTCH2/TBX3/LMO2/KLF4/MYC/HMGA1/YAP1/TACC2/BBS7/TDG/TCF12/GTF2A2/NCOA2/BBS4/CRTC3/BCAS3/TAF4B/GATA6/TP53/SMAD4/SIK1/BCL10/LMO4/ARNT/PARP1/HES6/TMF1/DCAF1/DGKQ/LYAR/NCAPG2/TACC1/CDKN2A/ANKRD1/TCF7L2/MTA2/EIF4E/POU4F1/HHEX/NR4A2/CEBPG/MMS19/GRIP1/KAT6B/ETS2/SKI/USF1/ZBTB8A/PRMT2/CRTC2/FOXH1/ZNF653/BBS5/CGGBP1/EOMES/HDAC11/TCF23/DTX3L/CITED2/HEY1/GTF2A1/NSD1/ANKRD2/PASD1/TAF10/SMAD3/NKX3-1/DAPK3/RBPJ/STAT3/SIN3A/FOS/TADA3/ASXL1/BCL2/JMJD1C/CEBPB/HCFC1/RARG/SP3/KAT5/RELA/TRIB1/STAT5B/CTBP2/DDIT3/MED16/SMAD2/DMAP1/PARP10/TAF7/PER1/CALR/GATA2/BBS10/FIZ1/NRIP1/METTL23/MTA1/BCOR/SETD3/ZNF703/TOB2/MED12/FAF1/PURA/SP1/PBX1/PPARA/PTMA/COMMD6/NOC2L/HMGB1/NIF3L1/NCOR2/TLE1/ARID5A/FLNA/ANXA4/SRC/C1D/DDRGK1/TFDP1/WWP2/NCOA6/CNOT7/CPNE1/PHB2/PRKDC/SCX/PAGR1"	250
"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY"	"258/5727"	"495/15910"	7.4858946469541e-14	2.69492207290348e-11	2.24051513468486e-11	"CREBBP/KDM7A/CCDC124/SS18L2/MPND/MED24/DPF1/RNF14/SLC30A9/YAF2/ZMYND11/WWTR1/BCLAF1/PIAS1/RSF1/ARID1B/THRAP3/KMT2C/MTA3/CCAR1/SPEN/SMARCD1/TP53BP1/CBFB/HYAL2/BCL3/LMCD1/ACTN1/SMARCE1/KDM5A/ZZEF1/ENO1/ACTN2/JADE1/DDX1/SMARCA2/SRCAP/TDRD3/NCOA1/ATXN7L3/DNMT3B/KDM2B/PXN/RCOR1/FBXL19/MED15/SMARCB1/RBFOX2/EP300/PRMT5/SNW1/TRIP11/APEX1/ZMYND8/PRPF6/TRIB3/LPIN2/VGLL1/ARL2BP/KAT8/PPP1R13L/TLE6/MED26/MIER2/EZH2/TRIM14/TLE4/SUFU/ZMIZ1/TRIM37/MED13/C1QBP/SMARCD2/EZH1/DHRS7B/HTATIP2/LPXN/CCND1/BIRC2/AIP/NUP98/PSMD9/CNOT2/ATN1/NCOA7/ZNF451/TRIM38/CNOT6/SUB1/WWC1/TCERG1/KAT2B/KDM3A/FHL2/GON4L/KDM5B/RCOR3/ARID1A/IRF2BPL/ZNF410/SUPT7L/DNMT3A/ENY2/TAF12/KDM3B/DDX54/PKN1/NMI/NCOA3/TRERF1/MED1/SIN3B/SMARCA4/AJUBA/CBFA2T3/ACTN4/HELZ2/MAP3K10/CCDC62/RLIM/PIAS3/TRIM21/TRIM5/TRIM22/PER2/MYBBP1A/WBP2/LPIN3/MED10/BTG1/DPF2/LPIN1/KCTD1/AKIRIN2/LMO2/TAF5L/KAT7/TFAP2A/HMGA1/ARRB1/YAP1/NAB1/CIR1/AEBP2/TDG/TLE3/NCOA2/TOB1/SS18/CBX4/BRD4/CARM1/RERE/PEX14/BCL10/CREG1/HDGF/TMF1/LIMD1/MED12L/ABT1/TACC1/ANKRD1/PPRC1/MTA2/CENPJ/BEND6/PTPN14/MED21/CDYL/HNRNPU/MMS19/MIER3/RNF20/KAT6B/RBPMS/DYRK1A/CCAR2/BTG2/MED8/RRP1B/PRMT2/MED27/PMF1/ZNF653/TFB2M/YY1AP1/RYBP/SFMBT1/SAP30/CITED2/SAP30L/PSIP1/NSD1/COPS2/PCBD1/CDYL2/ATF7IP2/NAB2/KMT2D/IRF2BP2/SIN3A/PA2G4/TADA3/ASXL1/JMJD1C/HCFC1/KAT5/KDM2A/SMARCC1/CTBP2/MED16/RUVBL1/NUPR1/TCERG1L/BASP1/PAWR/DMAP1/PARP10/MAGED1/SERTAD2/CITED4/FIZ1/NRIP1/SIAH2/EWSR1/MTA1/RUVBL2/BCOR/FHL3/SETD3/TRIM52/TOB2/KMT5A/MAML2/MED12/MUC1/BCL9L/TAF9B/SIRT7/NOC2L/HMGB1/TRRAP/NCOR2/TLE1/MAML3/ARID5A/SND1/C1D/NCOA6/CNOT7/SFMBT2/DPF3/SRA1/MYCBP/HSBP1L1/RBM14/EID1"	258
"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"168/5727"	"296/15910"	1.78784482765117e-13	4.82718103465815e-11	4.01324115259591e-11	"ALS2/DVL2/ARHGAP44/RABGAP1/NPC1L1/RALBP1/CYFIP2/YIPF1/YBX3/TNPO3/IPO5/YBX1/GOLGA5/EVI5/EXOC5/ATP6AP1/PICALM/ENO1/VPS9D1/RAB7A/USP33/GNB1/ERC1/TNPO1/ATG16L1/DNM1L/UNC13D/MYO9B/RANBP1/GGA1/HPS4/MICALL1/RANGAP1/DAAM1/RIN3/TRIP11/RABGGTA/KIF3B/PARD6A/TSC2/GGA2/DMXL2/NDRG1/PPP6R1/ANKRD27/TNPO2/CAV1/RIC1/DVL1/RAB11FIP2/KPNB1/PFN1/TNFAIP1/EHD1/EXPH5/CORO1C/ARHGDIB/TBC1D30/EXOC2/ECT2/RTKN/SPTBN1/RAB3GAP1/ERRFI1/ARHGEF2/DOCK7/RIMS3/RAB29/IPO13/RAB3GAP2/MAPKAP1/OCRL/PKN1/OPTN/TBC1D20/ATG14/FGD3/RAB3IP/SH3BP4/XPO7/YIPF2/ARHGEF16/KIF3A/EXOC4/RAF1/ARFIP2/NXT1/RIN2/BICDL1/MICAL1/TMEM127/GCC2/LCP1/BIN1/SORL1/ITPKA/FNBP1L/RABGGTB/PLCE1/ABI2/FGD4/DIAPH3/IQGAP1/SGSM2/SOD1/GOLGA4/TBC1D7/SYTL5/DOCK11/C9orf72/USP6NL/PAK1/CDC42EP2/EPS8/BICD1/POU4F1/FARP1/RABGEF1/WHAMM/PDE6D/BRAF/FMNL2/RADIL/CDC42SE2/PKN3/DVL3/BICDL2/SYTL3/MICALL2/GAPVD1/ATP7A/STOML2/CCDC186/HPS6/AP1G1/DAPK3/XPO6/MYRIP/GNB2/KCTD13/ARHGAP1/BNIP3/ULK1/CDC42EP4/RCC1/FGD6/PAK2/RNF41/DENND5A/XPOT/FMNL1/CIB1/CHM/NOXA1/IPO4/FLNA/CDC42SE1/UNC13B/CDC42BPB/RUSC2/INF2/CHML/RANBP17/IPO7/DENND1B/MICAL3/SRGAP2/CYFIP1"	168
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"155/5727"	"273/15910"	1.4835694562879e-12	3.20451002558185e-10	2.66417841308121e-10	"KRIT1/ARHGAP33/NISCH/PIK3C2A/DPEP1/SNX1/GAB2/SH3YL1/ZFYVE16/SNX29/PLEKHA5/WIPI1/SNX13/ZFYVE26/SCARB1/FERMT2/PICALM/PLD1/ACTN2/TULP3/WDFY1/SNX10/SNX5/SLC9A1/PITPNM2/OSBPL8/GGA1/TOM1/PLEK2/PIGU/EEA1/GGA2/SGK3/LAPTM4B/PLEKHA4/PLEKHA8/SNX8/GBF1/SH3PXD2A/PFN1/SNX25/OSBP/PITPNM1/RAB35/SNX3/GOLPH3/SNX4/STAM2/SNX17/CCDC88A/PASK/PLEKHB2/PLEKHA3/MARK1/ESYT2/MREG/HS1BP3/MAPKAP1/DENND1A/ARAP3/SNX19/ITPR2/SNX21/TTPAL/MCF2L/MYO1B/PLD2/SNX6/SNX9/OSBPL2/HIP1R/ARFIP2/LANCL2/PIK3C2B/SBF2/ARHGAP32/SNX14/AVIL/APPL2/VPS36/RPS6KC1/DAB2IP/TLN1/FCHSD2/SDCBP/PHLDA1/IQGAP1/ZCCHC14/BCAS3/WDR45B/ZCCHC2/GRB7/AKT1/PIGK/SNX27/ANXA9/GOLPH3L/RUBCN/MYO10/SNX12/SNX30/GSN/PARD3/JPH2/ITPR1/ASAP1/NRGN/PITPNC1/OBSCN/MPPE1/FZD7/ZFYVE9/MYO1E/APPL1/LDLRAP1/EPB41/ATP13A2/TPCN2/SNX7/BBS5/SAP30L/ZFYVE1/ZFYVE19/PLEKHF1/SNX20/GSDMA/PXK/PXDC1/FRMPD2/RNF34/MTM1/SNX32/COMMD1/SNX33/PITPNA/SH3PXD2B/TOM1L2/SNX18/PITPNB/PLCB1/ANXA2/ADAP2/HGS/AIDA/ARAP1/PLCD1/PLEKHN1/WDR45/SVIL/SNX2/TECPR1/DENND1C/DENND1B/ANXA2P2/ANXA8"	155
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"244/5727"	"489/15910"	1.19002635550572e-10	2.1420474399103e-08	1.78086400218663e-08	"KRIT1/ALS2/ARHGAP33/ARHGAP44/PLEKHG6/RABGAP1/RALBP1/DEF6/RABEP1/FAM13B/ARHGAP31/RANBP3/DEPDC1B/TRIO/ARHGAP6/ARHGEF5/MCF2L2/TBC1D22A/RASGRF1/PSD/IPO5/TBC1D22B/TBC1D1/EVI5/TBC1D25/RASGRP2/ARHGAP10/LLGL2/HACD3/RASAL2/VPS9D1/RGS11/ARHGEF1/OPHN1/DIS3/WNT11/DNM1L/DOCK9/TBC1D2/SYDE2/MYO9B/RANBP1/TBC1D10A/SH3BP1/HPS4/SBF1/RANGAP1/RIN3/SEC23A/ARHGEF7/ARL2BP/NPRL3/TSC2/ARHGEF18/TBC1D17/SYDE1/ANKRD27/DENND3/CYTH2/CHN2/WASL/AGFG2/RIC1/DOCK8/RAPGEF1/DNMBP/GBF1/ARHGAP21/GIT1/RAPGEFL1/RGS9/LAMTOR3/TBC1D9/RAPGEF2/RASAL1/ARHGDIB/TBC1D30/SMAP1/THG1L/RASGRF2/ECT2/RTKN/CCDC88A/ELMOD3/PLCD4/RAB3GAP1/RALGPS2/ERRFI1/RHOU/ARHGEF2/DOCK7/RGS2/SIPA1L2/RAB3GAP2/ITGB1BP1/DENND1A/GNA13/PLEKHG1/ARAP3/OCRL/PREX1/ARFGEF2/IQSEC2/PSD4/SH2D3A/TBC1D20/MCF2L/PLEKHG3/FGD3/RAB3IP/SERGEF/STARD8/SH3BP4/DOCK6/ARHGEF16/SESN2/EPS8L1/ARHGEF9/SH3BP5/ACAP3/RAP1GAP2/TBC1D14/RIN2/ARHGEF11/AGAP3/SWAP70/SBF2/ARHGAP32/AGAP2/TBC1D4/RALGPS1/DAB2IP/GARNL3/ARHGEF39/ARRB1/ARHGAP20/BCAR3/ARHGAP29/PLCE1/FAM13A/FGD4/GIT2/IQGAP1/ARHGAP17/SGSM2/ARHGDIA/VAV1/RGS5/RGS16/RGL1/IQSEC1/SLIT2/EIF2B5/TBCK/TBC1D7/TIAM2/DENND2A/DOCK11/DOCK5/ARHGAP39/C9orf72/USP6NL/RGS10/CDC42EP2/DOCK1/FARP1/ASAP1/OBSCN/RABGEF1/FLCN/ELMO1/RASA2/GNAQ/TIAM1/PDE6D/AGAP1/RGS12/RALGDS/GPSM1/TBC1D24/ARHGEF3/PLXNB1/MON1A/WDR41/STXBP5/DLC1/GAPVD1/ARHGAP12/FRMD7/ARHGEF40/TBC1D2B/TBC1D16/ARF4/RGS14/DENND5B/PLEKHG5/KNDC1/AGFG1/RALGAPA1/DENND4A/DENND6A/ARHGAP1/DENND2C/EPS8L2/ALS2CL/ELMOD2/RCC1/FGD6/ARHGAP45/PLCB1/SPATA13/RABIF/DENND5A/ADAP2/ARAP1/BCR/LAMTOR4/CHM/PLEKHG4/NF1/ARHGEF12/SRGAP1/TBC1D9B/SYNGAP1/SIPA1L1/CDC42SE1/ITSN2/CHML/TBC1D8/IPO7/RGL3/DENND6B/ITSN1/DENND1C/DENND1B/ARHGAP19/SIPA1/ARHGEF33/FNIP1/ARFGAP3/TBC1D3G/SRGAP2/TBC1D3L/ARHGAP23"	244
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"219/5727"	"432/15910"	1.74312484635623e-10	2.68939262009246e-08	2.2359180360028e-08	"CAMKK1/MAP3K14/MAP3K9/CDKL3/MARK4/MAP4K5/PRKCH/MAP2K3/TRIO/PHKA2/LTBP1/MAPK9/EIF2AK2/CDK14/CDK17/ADCK1/MAP2K4/PRKCQ/PRKCZ/PDK3/MAPK6/TESK2/CSNK2A2/MAP4K4/RPS6KA2/PRKACA/SPEG/STK10/ALPK1/NUAK1/MAP2K7/ARAF/MKNK1/GSK3B/CPNE3/MAST2/MAPKAPK5/LTBP4/CCNK/MAP3K1/CDC7/MAST3/MKNK2/GRK3/STK4/CSNK2A1/RIOK3/PIM2/CDK16/STK24/MAPK3/BCKDK/SGK3/RIPK2/DMPK/PRKAG2/TGFBR1/TESK1/MAPK8/BMPR1A/MAP3K8/RPS6KB1/MAP2K6/HTATIP2/HIPK3/CAMKK2/MAPK14/PRPF4B/CLK4/CSNK1A1/MAPKAPK3/ACVR2B/PIKFYVE/ACVR1/PASK/PRKD3/AAK1/MARK1/TNNI3K/CDK18/RPS6KA1/SGK1/TRPM6/NEK6/NEK9/MASTL/ACVR2A/PKN1/CDK2/ACVR1C/RIOK1/GRK4/STK35/WNK4/DYRK2/EIF2AK4/PAK4/MAP3K10/PNCK/LATS1/PRKAB2/RAF1/DSTYK/CSNK1G2/ADCK2/CAMK1/ERN2/STK26/TAOK3/SRPK2/MAP3K7/CDK4/ACVR1B/ALPK3/RPS6KC1/CDK9/RIPK1/NEK1/ITPKA/PAK6/BMP2K/MAP3K12/MYLK3/KSR1/MINK1/BRD4/HUNK/SIK1/AKT1/PRKACB/DYRK3/CDC42BPA/DCAF1/PLK2/EGFR/CASK/PAK1/TAOK2/LATS2/NEK7/PRKCA/TNIK/OBSCN/CDK19/TTN/CDK20/MAPK13/SMG1/DYRK1A/BRAF/PINK1/PSKH1/PKN3/SIK3/SQSTM1/MAPKAPK2/STK36/NUAK2/PRKCI/SNRK/PRKCD/STK17A/CDK5/MAPK7/PLK1/DAPK3/MAP4K2/PBK/MAP2K1/MAP3K2/SIK2/PPM1D/PRKCE/CDC42BPG/EIF2AK3/TP53RK/OXSR1/GRK2/PLK3/ATR/PDIK1L/ULK1/ERN1/AURKB/CLK3/PAK2/MAP3K15/PRKAG1/LIMK2/RIPK4/PRKX/IRAK1/PRKD1/NRBP2/BCR/SBK2/MAPK12/SBK1/STK31/WNK3/DAPK1/MAP3K5/IRAK4/RPS6KL1/PIM3/TLK1/STK39/CDC42BPB/STKLD1/TOP1/MAP3K3/BMPR2/BRD2/STK38L/CHUK/CSNK1E/CDK3/PRKDC/TGFBR3L"	219
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"234/5727"	"469/15910"	2.90032222031275e-10	3.91543499742222e-08	3.25523007095629e-08	"KRIT1/BAD/ARHGAP33/ARHGAP44/BAIAP3/NISCH/PIK3C2A/DPEP1/GRAMD1B/SNX1/GAB2/SH3YL1/ZFYVE16/SNX29/EPN3/PLEKHA5/PSD/EPN1/PLA2G10/WIPI1/SNX13/ZFYVE26/EPN2/SCARB1/FERMT2/PICALM/PLD1/ACTN2/TULP3/OPHN1/WDFY1/CPNE3/SNX10/SNX5/PEBP1/SLC9A1/PITPNM2/OSBPL8/GGA1/MICALL1/PICK1/PACSIN2/TOM1/PLEK2/PLTP/PIGU/EEA1/SMPD3/PLA2G15/GGA2/SYT17/SGK3/LAPTM4B/PLEKHA4/PLEKHA8/SNX8/GBF1/SH3PXD2A/PFN1/RAPGEF2/SNX25/HSPA8/OSBP/PITPNM1/BIN2/RASAL1/C2CD5/RAB35/SNX3/HAVCR1/CLINT1/GOLPH3/ARL6/SNX4/STAM2/SNX17/SPTBN1/CCDC88A/CHMP3/PASK/PLEKHB2/PLEKHA3/MARK1/F3/ESYT2/MREG/HS1BP3/MAPKAP1/DENND1A/ARAP3/SNX19/ANXA11/ITPR2/SNX21/TTPAL/PREX1/PSD4/MCF2L/MYO1B/PLD2/SNX6/SNX9/OSBPL2/CHMP2A/HIP1R/ARFIP2/LANCL2/PIK3C2B/SBF2/ARHGAP32/SNX14/AVIL/DYSF/APPL2/VPS36/RPS6KC1/BIN1/DAB2IP/TLN1/FCHSD2/SDCBP/PLCB2/MYOF/PHLDA1/MCTP2/IQGAP1/CPNE2/ZCCHC14/PCTP/BCAS3/WDR45B/ZCCHC2/GRB7/AKT1/PIGK/SNX27/ANXA9/GOLPH3L/OSBPL10/RUBCN/MYO10/SYTL5/SNX12/SNX30/GSN/PARD3/SYT8/JPH2/DOC2A/ITPR1/ASAP1/NRGN/PITPNC1/OBSCN/MPPE1/FZD7/RASA2/ZFYVE9/MYO1E/APPL1/LDLRAP1/AGAP1/PLA2G2F/APOA2/EPB41/ATP13A2/CARMIL2/SHC1/TPCN2/SNX7/BBS5/PRKCI/ANXA5/SAP30L/SYTL3/STOML2/VDAC2/ZFYVE1/ZFYVE19/PLEKHF1/TPP1/SNX20/AXL/GSDMA/BSCL2/PXK/PLA2G4F/PXDC1/PTAFR/FRMPD2/RNF34/MTM1/SNX32/COMMD1/SYT12/SNX33/PITPNA/SH3PXD2B/TOM1L2/CPNE7/SNX18/PITPNB/PLCB1/ANXA2/GAS6/ADAP2/HGS/AIDA/ARAP1/PLCD1/PLEKHN1/HMGB1/MME/NF1/ANXA4/WDR45/ANXA6/SVIL/NUP62CL/UNC13B/SMURF1/UQCC3/SNX2/TECPR1/DENND1C/DENND1B/VDAC1/CPNE1/VAMP2/ANXA2P2/PLA2G4B/FER1L5/ANXA8L1/ANXA8"	234
"GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"GOMF_RNA_POLYMERASE_II_SPECIFIC_DNA_BINDING_TRANSCRIPTION_FACTOR_BINDING"	"178/5727"	"347/15910"	2.8276018294079e-09	3.39312219528948e-07	2.82098755612273e-07	"FKBP4/CREBBP/TEAD3/MED24/RNF14/SLC30A9/THRAP3/SPEN/TP53BP1/HDAC4/WIPI1/TCF3/SMARCE1/ACTB/BAZ2A/TP73/MEF2C/GSK3B/NCOA1/DNAJA1/TRIP6/SETD1A/CRKL/SMARCB1/EP300/SNW1/HIF1A/APEX1/PSMA6/NFKBIA/STK4/PRPF6/SMARCA1/KAT8/MED25/AKAP8/HSPB1/GATA3/MED13/DDX5/MLX/HDAC5/AIP/NCOA7/PPARD/MAPK14/TBP/TCERG1/HES1/FOXP1/STAT1/KDM3A/STRN/ATF2/EPAS1/NFE2L2/MEF2D/PADI2/ARID1A/HMGN3/DNMT3A/CRY2/EGR2/DDX54/BHLHE41/PKN1/NR4A1/NCOA3/TRERF1/CNOT1/BBS2/MED1/MKKS/SMARCA4/YWHAH/ATF4/ACTN4/JUND/CCDC62/LATS1/NR1H2/PPARG/WBP2/PCNA/BHLHE40/NOTCH2/TBX3/LMO2/KLF4/HMGA1/TACC2/BBS7/GTF2A2/NCOA2/BBS4/BCAS3/TAF4B/GATA6/TP53/SMAD4/BCL10/ARNT/PARP1/HES6/TMF1/DCAF1/TACC1/CDKN2A/ANKRD1/TCF7L2/MTA2/POU4F1/NR4A2/MMS19/GRIP1/KAT6B/ETS2/ZBTB8A/PRMT2/FOXH1/BBS5/EOMES/TCF23/DTX3L/CITED2/HEY1/GTF2A1/NSD1/ANKRD2/TAF10/SMAD3/NKX3-1/RBPJ/STAT3/SIN3A/FOS/TADA3/ASXL1/JMJD1C/CEBPB/RARG/SP3/RELA/TRIB1/STAT5B/CTBP2/DDIT3/MED16/SMAD2/DMAP1/TAF7/CALR/GATA2/BBS10/FIZ1/NRIP1/MTA1/SETD3/TOB2/MED12/FAF1/SP1/PPARA/COMMD6/HMGB1/NIF3L1/NCOR2/ARID5A/ANXA4/SRC/C1D/DDRGK1/WWP2/NCOA6/CPNE1/PHB2/PRKDC/PAGR1"	178
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"183/5727"	"360/15910"	4.20167285963749e-09	4.53780668840849e-07	3.77265994660082e-07	"CAMKK1/MAP3K14/MAP3K9/CDKL3/MARK4/MAP4K5/PRKCH/MAP2K3/TRIO/MAPK9/EIF2AK2/CDK14/CDK17/MAP2K4/PRKCQ/PRKCZ/MAPK6/TESK2/CSNK2A2/MAP4K4/RPS6KA2/PRKACA/SPEG/STK10/ALPK1/NUAK1/MAP2K7/ARAF/MKNK1/GSK3B/MAST2/MAPKAPK5/MAP3K1/CDC7/MAST3/MKNK2/STK4/CSNK2A1/RIOK3/PIM2/CDK16/STK24/MAPK3/SGK3/RIPK2/DMPK/TESK1/MAPK8/MAP3K8/RPS6KB1/MAP2K6/HIPK3/CAMKK2/MAPK14/PRPF4B/CLK4/CSNK1A1/MAPKAPK3/PIKFYVE/PASK/PRKD3/AAK1/MARK1/TNNI3K/CDK18/RPS6KA1/SGK1/TRPM6/NEK6/NEK9/MASTL/PKN1/CDK2/RIOK1/STK35/WNK4/DYRK2/EIF2AK4/PAK4/MAP3K10/PNCK/LATS1/RAF1/DSTYK/CSNK1G2/CAMK1/ERN2/STK26/TAOK3/SRPK2/MAP3K7/CDK4/ALPK3/RPS6KC1/CDK9/RIPK1/NEK1/PAK6/BMP2K/MAP3K12/KSR1/MINK1/HUNK/SIK1/AKT1/PRKACB/DYRK3/CDC42BPA/DCAF1/PLK2/CASK/PAK1/TAOK2/LATS2/NEK7/PRKCA/TNIK/OBSCN/CDK19/TTN/CDK20/MAPK13/SMG1/DYRK1A/BRAF/PINK1/PSKH1/PKN3/SIK3/MAPKAPK2/STK36/NUAK2/PRKCI/SNRK/PRKCD/STK17A/CDK5/MAPK7/PLK1/DAPK3/MAP4K2/PBK/MAP2K1/MAP3K2/SIK2/PRKCE/CDC42BPG/EIF2AK3/TP53RK/OXSR1/PLK3/ATR/PDIK1L/ULK1/ERN1/AURKB/CLK3/PAK2/MAP3K15/LIMK2/RIPK4/PRKX/IRAK1/PRKD1/BCR/SBK2/MAPK12/SBK1/STK31/WNK3/DAPK1/MAP3K5/IRAK4/RPS6KL1/PIM3/TLK1/STK39/CDC42BPB/MAP3K3/STK38L/CSNK1E/CDK3/PRKDC"	183
