"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY"	"133/3147"	"432/15910"	2.32657875740185e-08	2.47315321911817e-05	2.23596463737672e-05	"CAMKK1/MAP3K14/MAP3K9/CDKL5/PHKA2/MAPK9/EIF2AK2/CDK14/WNK1/TNK2/ADCK1/MYLK/PRKCQ/PHKA1/PDK3/MAST4/TESK2/RPS6KA2/STK10/NUAK1/MKNK1/CPNE3/MAST2/AURKA/CCNK/TRPM7/CDC7/PRKY/MAPK1/RIOK3/STK24/MAPK3/SGK3/IKBKB/DYRK1B/PRKAG2/ENG/TESK1/MAPK8/BMPR1A/MAP3K8/RPS6KB1/MAP2K6/MAPK14/CCND3/GRK7/ACVR2B/PIKFYVE/ACVR1/AAK1/NEK6/NEK9/PIK3CA/ACVR2A/PKN1/CDK2/ACVR1C/PNCK/PRKAB2/PRKAA1/ADCK2/CAMK1/STK26/SRPK2/MAP3K7/ALPK3/RPS6KC1/CDK9/NEK1/PAK6/BMP2K/ULK3/MYLK3/MINK1/SIK1/MAP3K6/PRKACB/DCAF1/CAMK2D/PLK2/EGFR/PAK1/TAOK2/LATS2/NEK7/OBSCN/TTN/MAPK13/DYRK1A/BRAF/PINK1/PSKH1/KALRN/PKN3/MAPKAPK2/TGFBR2/SNRK/PRKCD/STK17A/LMTK2/PLK1/MAP2K1/CDK1/PPM1D/PRKCE/CDC42BPG/EIF2AK3/TP53RK/OXSR1/ADCK5/ATR/PDIK1L/ULK1/ERN1/MAP3K15/PRKAG1/LIMK2/CAMK1D/PRKX/IRAK1/STK40/STK31/IRAK4/RPS6KL1/PIM3/STK39/CDC42BPB/MTOR/MAP3K3/STK38L/CHUK/CDK3/IKBKE"	133
"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"GOMF_PHOSPHATIDYLINOSITOL_BINDING"	"90/3147"	"273/15910"	1.56101235536357e-07	8.29678066875736e-05	7.50107516024704e-05	"ARHGAP33/CYTH3/DPEP1/SNX1/GAB2/ZFYVE16/CAPG/SNX29/ATG2B/PFN2/WIPI1/SCARB1/PICALM/PLD1/ACTN2/SNX5/PLEK2/GGA2/SGK3/LAPTM4B/ADAP1/SNX8/SH3PXD2A/PFN1/SNX15/PITPNM1/GOLPH3/STAM2/PLEKHA3/EXOC8/ESYT2/DENND1A/SNX19/ITPR2/TTPAL/GGA3/SNX6/SNX9/SBF2/SNX14/APPL2/VPS36/RPS6KC1/STAM/DAB2IP/SDCBP/PHLDA1/ZCCHC14/WDR45B/ZCCHC2/GRB7/PIGK/SNX27/RUBCN/MYO10/SNX30/PARD3/JPH2/FRMPD2B/ASAP1/NRGN/PITPNC1/OBSCN/FZD7/MYO1E/LDLRAP1/EPB41/ATP13A2/RACGAP1/ALOX15/BBS5/PLEKHF1/SNX20/PXK/PXDC1/FRMPD2/MTM1/PHLDA3/SH3PXD2B/PITPNB/PLCB1/AMER1/ANKFY1/AIDA/ARAP1/PLCD1/SVIL/DENND1C/TWF2/ANXA8"	90
"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"GOMF_CADHERIN_BINDING"	"104/3147"	"334/15910"	4.2671839468265e-07	0.000151200551182552	0.000136699612050968	"LYPLA2/ANLN/GPRC5A/SNX1/CAPG/CTNNA1/HSPA5/LIMA1/PKP2/PKM/DHX29/EPN2/PICALM/NOTCH3/ENO1/PSEN1/ERC1/SNX5/GCN1/NUDC/GOLGA3/ITGA6/TBC1D2/RANBP1/TBC1D10A/MICALL1/EIF5/MAPRE1/STK24/OLFM4/UBFD1/NDRG1/PPP1R13L/EIF4H/PFN1/LRRC59/EHD1/EIF4G2/ACVR1/PRDX1/CNN3/ESYT2/TJP2/CALD1/LRRFIP1/VASP/MMP24/MACF1/PAICS/CDC42EP1/CDHR3/SNX9/EPS8L1/SWAP70/LDHA/ARGLU1/P2RX4/DBNL/ABI1/DAB2IP/TRIM29/PAK6/OLA1/USO1/CDH24/EPHA2/EFHD2/CGN/PKP4/EGFR/SH3GLB2/PLCB3/ALDOA/ANK3/CAST/ASAP1/LARP1/WASF2/TAGLN2/S100A11/YWHAZ/HNRNPK/YWHAB/GLOD4/SLC3A2/CTNNB1/ATXN2L/FASN/KIF5B/HCFC1/KLC2/SFN/BAIAP2/EPS8L2/PLEC/CDH5/MB21D2/PKP3/PTPN1/SRC/SPTAN1/RPS26/PPME1/TWF2"	104
"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_THREONINE_TYROSINE_KINASE_ACTIVITY"	"131/3147"	"446/15910"	5.72380272475792e-07	0.000152110057410442	0.000137521891781684	"CAMKK1/MAP3K14/MAP3K9/CDKL5/FYN/FLT4/MAPK9/EIF2AK2/CDK14/WNK1/TNK2/PRKCQ/FGFR2/FGFR3/MAST4/TESK2/RPS6KA2/STK10/NUAK1/FGFR1/MKNK1/MAST2/AURKA/TRPM7/TYRO3/CDC7/PRKY/MAPK1/RIOK3/STK24/FLT1/MAPK3/CSK/SGK3/IKBKB/DYRK1B/TYK2/JAK3/TESK1/MAPK8/MAP3K8/RPS6KB1/MAP2K6/MAPK14/PDGFRB/ACVR2B/PIKFYVE/AAK1/NEK6/NEK9/PIK3CA/PKN1/CDK2/PNCK/PRKAA1/CAMK1/STK26/SRPK2/MAP3K7/ALPK3/RPS6KC1/CDK9/NEK1/PAK6/BMP2K/IGF1R/ULK3/MINK1/SIK1/EPHA2/MAP3K6/PRKACB/DCAF1/CAMK2D/PLK2/EGFR/PAK1/TAOK2/LATS2/NEK7/OBSCN/TTN/MAPK13/DYRK1A/BRAF/PINK1/PSKH1/KALRN/PKN3/FGFR4/JAK1/MAPKAPK2/SNRK/PRKCD/STK17A/LMTK2/WEE1/PLK1/AXL/MAP2K1/CDK1/INSR/PRKCE/CDC42BPG/EIF2AK3/TP53RK/OXSR1/ATR/PDIK1L/ULK1/ERBB4/ERN1/MAP3K15/LIMK2/CSF1R/EPHB3/CAMK1D/PRKX/IRAK1/STK40/STK31/SRC/IRAK4/RPS6KL1/PIM3/STK39/CDC42BPB/MTOR/MAP3K3/STK38L/CDK3"	131
"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"GOMF_NUCLEOSIDE_TRIPHOSPHATASE_REGULATOR_ACTIVITY"	"138/3147"	"489/15910"	3.23261187071779e-06	0.000460386928903709	0.000416233367419999	"ARHGAP33/MYCBP2/ARHGAP44/CYTH3/PLEKHG6/RABGAP1/RABEP1/FAM13B/ARHGEF5/MCF2L2/TBC1D22A/RASGRF1/PSD/TNK2/TBC1D22B/MYO9A/EVI5/EIF2B3/ARHGAP10/LLGL2/RASAL2/VPS9D1/RAP1GAP/RAPGEF3/WNT11/ASAP3/PLEKHG2/TBC1D2/RANBP1/TBC1D10A/HPS4/SGSM3/SOS2/EIF5/ARHGEF7/ARL2BP/SYDE1/CYTH2/ADAP1/CHN2/WASL/AGFG2/MADD/RASAL1/ARHGDIB/ARFGEF3/ACAP2/PLCD4/RAP1A/RHOU/DENND1A/EIF2B2/PLEKHG1/OCRL/ARHGAP40/IQSEC2/PSD4/SH2D3A/PLEKHG3/FGD3/RAB3IP/DOCK4/ARHGEF6/STARD8/SH3BP4/EPS8L1/ARHGEF9/SH3BP5/ACAP3/RIN2/SWAP70/SBF2/ARHGEF4/RALGPS1/DAB2IP/GARNL3/ARHGAP20/BCAR3/ARHGAP29/PLCE1/FAM13A/FGD4/SGSM2/EVI5L/RGS16/RGL1/IQSEC1/SLIT2/TBCK/TBC1D7/DENND2A/DOCK11/RGS20/C9orf72/RGS10/ARFGAP2/CYSLTR2/FARP1/ASAP1/PLEKHG4B/OBSCN/PDE6D/KALRN/RALGDS/RACGAP1/TBC1D24/PLXNB1/WDR41/STXBP5/DLC1/FRMD7/TBC1D2B/TBC1D16/AGFG1/NET1/RALGAPA1/DENND2C/EPS8L2/RABEP2/ARHGAP45/PLCB1/RABIF/ARAP1/CHM/SRGAP3/ARHGEF12/TBC1D9B/CDC42SE1/SIRPA/ITSN2/DENND4B/CHML/DENND1C/ARHGEF33/ARHGEF25/ARFGAP3/TBC1D3K/RCC1L"	138
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY"	"107/3147"	"360/15910"	3.37165348355444e-06	0.000460386928903709	0.000416233367419999	"CAMKK1/MAP3K14/MAP3K9/CDKL5/MAPK9/EIF2AK2/CDK14/WNK1/TNK2/PRKCQ/MAST4/TESK2/RPS6KA2/STK10/NUAK1/MKNK1/MAST2/AURKA/TRPM7/CDC7/PRKY/MAPK1/RIOK3/STK24/MAPK3/SGK3/IKBKB/DYRK1B/TESK1/MAPK8/MAP3K8/RPS6KB1/MAP2K6/MAPK14/PIKFYVE/AAK1/NEK6/NEK9/PIK3CA/PKN1/CDK2/PNCK/PRKAA1/CAMK1/STK26/SRPK2/MAP3K7/ALPK3/RPS6KC1/CDK9/NEK1/PAK6/BMP2K/ULK3/MINK1/SIK1/MAP3K6/PRKACB/DCAF1/CAMK2D/PLK2/PAK1/TAOK2/LATS2/NEK7/OBSCN/TTN/MAPK13/DYRK1A/BRAF/PINK1/PSKH1/KALRN/PKN3/MAPKAPK2/SNRK/PRKCD/STK17A/LMTK2/PLK1/MAP2K1/CDK1/PRKCE/CDC42BPG/EIF2AK3/TP53RK/OXSR1/ATR/PDIK1L/ULK1/ERN1/MAP3K15/LIMK2/CAMK1D/PRKX/IRAK1/STK40/STK31/IRAK4/RPS6KL1/PIM3/STK39/CDC42BPB/MTOR/MAP3K3/STK38L/CDK3"	107
"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY"	"110/3147"	"373/15910"	3.68816478754869e-06	0.000460386928903709	0.000416233367419999	"MTMR11/ATP1A2/PNKP/PHLPP2/INPP4A/PTPRN/PTPRU/MTMR1/PDE4A/PTPN3/PTPN18/PLD1/PTPN23/SYNJ2/DUSP13/MTMR2/PTPN4/HMOX1/CDKN3/PPM1A/SAMHD1/MTMR9/PLPPR2/PPP2R1A/LHPP/MYH3/INPP4B/PPM1H/DUSP16/HDDC2/FIG4/PDE4D/PIKFYVE/PLCD4/DNAJC6/DUSP1/DUSP4/PPP3CC/EPHX2/OCRL/PFKFB2/GPCPD1/SGPP1/STYXL1/PLPPR3/PUDP/GDPD2/DUSP9/FBP2/PTPRE/CHRM3/PDE6B/IMPA1/ACP2/TNS3/DUSP5/PLCE1/PPP3CA/PTPRF/CTDSP1/PSPH/INPP5E/PLCB3/MTMR12/NOCT/INPP1/PTPN14/UBASH3B/PLCL2/PPM1J/PXYLP1/GDPD5/SYNJ1/PDE9A/ALPL/BPNT1/ALPP/ATP1A1/PPM1L/DUSP7/PPM1M/UBLCP1/INPPL1/SMPD1/DUSP18/HDHD2/FAM83B/INPP5D/PTPN9/ADPRM/PPM1D/MTM1/SSH3/PPP1R3B/PPM1E/PTPN2/NT5DC1/GDPD4/PLCB1/HDDC3/CHRM5/PLCD1/PTPN1/STYX/INPP5F/INPP5B/PDE7A/NT5M/PLPP6/PPP3R1"	110
"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"GOMF_PHOSPHOLIPID_BINDING"	"133/3147"	"469/15910"	3.69330755871584e-06	0.000460386928903709	0.000416233367419999	"BAD/ARHGAP33/ARHGAP44/BAIAP3/CYTH3/DPEP1/GRAMD1B/SNX1/GAB2/ZFYVE16/CAPG/SNX29/EPN3/PSD/ATG2B/PFN2/WIPI1/EPN2/SCARB1/PICALM/PLD1/ACTN2/CPNE3/SNX5/MICALL1/PLEK2/PLA2G15/NME4/GGA2/SYT17/SGK3/LAPTM4B/ADAP1/SNX8/SH3PXD2A/PFN1/SNX15/PITPNM1/BIN2/RASAL1/C2CD5/HAVCR1/GOLPH3/STAM2/PLEKHA3/EXOC8/FAAH/F3/ESYT2/DENND1A/SNX19/ANXA11/ITPR2/TTPAL/GGA3/PSD4/SNX6/APOC1/SNX9/SBF2/SNX14/APPL2/VPS36/RPS6KC1/BIN1/STAM/DAB2IP/SDCBP/MYOF/PHLDA1/MCTP2/ZCCHC14/WDR45B/ZCCHC2/GRB7/PIGK/SNX27/RUBCN/MYO10/SYTL5/SNX30/PARD3/SYT8/JPH2/FRMPD2B/ASAP1/NRGN/PITPNC1/OBSCN/FZD7/MYO1E/LDLRAP1/PLA2G2F/APOA2/EPB41/ATP13A2/CARMIL2/SHC1/RACGAP1/ALOX15/BBS5/ANXA5/SYTL3/STOML2/PLEKHF1/SNX20/AXL/PXK/PXDC1/FRMPD2/MTM1/PHLDA3/SH3PXD2B/TRIM72/CPNE7/PITPNB/PLCB1/GAS6/AMER1/ANKFY1/AIDA/ARAP1/PLCD1/MME/ANXA4/ANXA6/SVIL/UNC13B/DENND1C/PLA2G4B/TWF2/ANXA8L1/ANXA8"	133
"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"GOMF_ACTIN_BINDING"	"126/3147"	"440/15910"	3.89791379128258e-06	0.000460386928903709	0.000416233367419999	"GAS7/ANLN/RAI14/CAPG/CTNNA1/LIMA1/MYLK/MYO9A/PFN2/ACTN1/KLHL20/CAMSAP3/ACTN2/NEBL/TNS1/CEACAM1/EPB41L2/MYBPC2/EPB41L1/TRPM7/SORBS1/FERMT1/PLS3/COTL1/SLC6A2/VPS18/COBL/WASL/CORO2A/PFN1/SLC6A4/MYH3/KLHL2/KLHL5/CORO1C/TRPV4/PHACTR1/GBP1/CNN3/GJB6/CXCR4/WIPF3/CALD1/PRICKLE4/VASP/PLEKHG3/MACF1/YWHAH/PALLD/AJUBA/TNNT3/TNNI2/SYNE1/EPS8L1/MYO18B/MICAL2/FHOD3/DBNL/BIN1/TMOD1/FHDC1/MYO7A/FGD4/GAS2L3/TPM1/CGN/VASH2/TPM3/MYO10/KLHL3/EGFR/SHROOM2/MSRB2/ALDOA/PSTPIP2/IMPACT/TTN/WHAMM/MYO1E/WASF2/SHROOM4/DMTN/EPB41/MYL3/ARPC5/ARPC2/SHROOM1/CFL2/INPPL1/CLMN/SYNPO2L/TPM4/CORO6/PXK/ANTXR1/PRKCE/CDK5R2/TLN2/SYNPO/SSH3/SYNE3/MYO1D/EPS8L2/MYOZ1/PLEC/KLHL17/S100A4/AFAP1/MYO18A/MYO6/PDLIM7/ANXA6/SVIL/MYO5A/SPTAN1/MYO1C/MYL4/INF2/SPIRE2/STK38L/VPS16/ARPC4/MICAL3/TWF2/FMN1/ANXA8"	126
"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"GOMF_GTPASE_BINDING"	"90/3147"	"296/15910"	7.34087508779248e-06	0.000780335021832341	0.00070549673212153	"MYCBP2/ARHGAP44/CDKL5/RABGAP1/NPC1L1/CYFIP2/YBX3/EVI5/PICALM/ENO1/VPS9D1/RAP1GAP/GNB1/ERC1/UNC13D/RANBP1/HPS4/MICALL1/SGSM3/RABGGTA/KIF3B/NUTF2/PARD6A/GGA2/DMXL2/NDRG1/TNPO2/RAB11FIP2/PFN1/TNFAIP1/EHD1/EXPH5/CORO1C/ARHGDIB/EXOC2/RAP1A/EXOC8/RIMS3/IPO13/OCRL/PKN1/XPO5/GGA3/ATG14/FGD3/RAB3IP/DOCK4/SH3BP4/YIPF2/KIF3A/RIN2/BICDL1/BIN1/SORL1/RABGGTB/PLCE1/FGD4/SGSM2/EVI5L/STRIP1/TBC1D7/SYTL5/DOCK11/C9orf72/PAK1/FARP1/WHAMM/PDE6D/BRAF/PKN3/BICDL2/SYTL3/STOML2/ULK1/GCC1/CDC42EP4/RNF41/ANKFY1/CHM/IPO4/MYO5A/CDC42SE1/MYO1C/UNC13B/CDC42BPB/RUSC2/INF2/CHML/RANBP17/MICAL3"	90
